#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
building_alchemist_guild;Building Alchemists' Guild;Construire une Guilde des Alchimistes;;;Construyendo un Gremio de Alquimistas;;;;;;;;;x
EVTOPTAwildfire.17;...by [Root.Religion.GetRandomGodName], what have I done?;…par [Root.Religion.GetRandomGodName], qu'ai-je fais ?;;;... por [Root.Religion.GetRandomGodName], ¿qué he hecho?;;;;;;;;;x
EVTOPTBwildfire.17;Burn! BURN!;Brûlez ! BRULEZ !;;;Arded! ARDED!;;;;;;;;;x
EVTOPTCwildfire.17;Such are the fortunes of war.;Telles sont les horreurs de la guerre.;;;Son los horrores de la guerra...;;;;;;;;;x
EVTTOOLTIPwildfire.18;[From.GetTitledFirstNameWithDynastyNoRegnal]'s defenses are devastated.;voit ses défenses détruites. ;;;Ves tus defensas destruidas.;;;;;;;;;x
EVTDESCwildfire.18;You are meeting with the garrison commander when the first pot lands, a burst of deadly green flame rapidly consuming one of the towers. You watch in horror as wildfire rains down from the sky, and [Root.Location.GetName] burns.;Vous recevez le commandant de la garnison lorsque le premier pot s'écrase. Une explosion de flammes vertes mortelles consume rapidement l'une des tours. Vous contemplez avec horreur le feu grégeois tomber du ciel et brûler [Root.Location.GetName].;;;Estabas reunido con el comandante de la guarnición cuando los primeros botes cayeron, un estallido de una mortal llama verde consume rápidamente una de las torres. Miras con horror como la lluvia de fuego valyrio cae desde el cielo y lo quema todo a su paso.;;;;;;;;;x
EVTOPTAwildfire.18;Try to cut it off! Keep it out of the granary at all costs!;Essayez de l'éteindre ! Empêchez-le à tous prix d'atteindre la grange !;;;Tratad de apagarlo! Mantenedlo fuera del alcance del granero a toda costa!;;;;;;;;;x
EVTOPTBwildfire.18;It's... it's spreading towards the Alchemists' Guildhall...;Il… il se propage en direction de l'hôtel de la Guilde des Alchimistes…;;;Pues... Se está extendiendo hacia el edificio del Gremio de los Alquimistas...;;;;;;;;;x
EVTTOOLTIPwildfire.19;is caught in the flames!;est atteint par les flammes !;;;está atrapado en las llamas!;;;;;;;;;x
EVTDESCwildfire.19;Green fire rains from the sky and you search desperately for shelter. You try to take cover in one of the old towers along the wall, but the stone cracks from the heat and a burning beam falls toward you.;Le feu vert tombe du ciel tandis que vous cherchez désespérément un abri. Vous essayez de vous réfugier dans l'une des vieilles tours de la muraille, mais la pierre se fend sous l'effet de la chaleur et une poutre enflammée s'écrase sur vous.;;;El fuego verde cae del cielo mientras buscas desesperadamente un refugio. Intentas refugiarte en una de las antiguas torres de la muralla, pero la piedra se funde por el calor y una viga ardiendo te cae encima.;;;;;;;;;x
EVTOPTAwildfire.19;Aaaah!;Aaaah !;;;Aaaah!;;;;;;;;;x
EVTDESC5552926;All it took was one lucky pot of wildfire to breach the Guildhall, and suddenly your own stockpile went up as well. The explosion was enormous, and now the fire is EVERYWHERE.;Il n'aura fallu qu'un unique pot chanceux pour éventrer l'hôtel de la Guilde, et vos propres réserves de feu grégeois se sont embrasées à leur tour. L'explosion fut gigantesque et maintenant le feu est PARTOUT.;;;Sólo hacía falta un bote de fuego valyrio para destruir el Gremio de Alquimistas, y de repente tu propio arsenal sucumbió también. La explosión fue enorme, y ahora el fuego está en todas partes.;;;;;;;;;x
EVTOPTA5552926;Forget the damn siege! Run! Run for your lives!;Oubliez ce maudit siège ! Courez ! Courez pour vos vies !;;;Olvidad el maldito asedio! ¡Corred! Corred por vuestras vidas!;;;;;;;;;x
EVTTOOLTIP5552927;s own troops are caught in the explosion.;voit ses troupes soufflées par l'explosion.;;;Tus propias tropas se encuentran atrapadas en la explosión.;;;;;;;;;x
EVTDESC5552927;You're just beginning to celebrate your impending victory when you hear one explosion worryingly louder than the others. To your horror, you realize that your catapults have hit the [Root.Location.GetName] Alchemists' Guild, and set off your enemy's own wildfire stockpile. Green fire rushes outward, threatening to consume your ownt troops as well as the enemy's.;Vous vous préparez à célébrer votre victoire écrasante lorsque vous entendez une explosion plus forte que les autres. Horrifié, vous réalisez que vos catapultes ont atteints la Guilde des Alchimistes de [Root.Location.GetName] et mis le feu aux réserves de grégeois de vos ennemis. D'immenses flammes vertes se propagent à l'extérieur des murs, menaçant de consumer vos troupes aussi bien que celle de l'ennemi.;;;Estás empezando a celebrar tu inminente victoria cuando escuchas una explosión más alta que las demás. Horrorizado, te das cuenta de que tus catapultas han golpeado el Gremio de Alquimistas de [Root.Location.GetName], y han prendido fuego las reservas de fuego valyrio de tu enemigo. Llamas verdes se propagan hacia afuera, amenazando con consumir tus propias tropas así como las del enemigo.;;;;;;;;;x
EVTOPTA5552927;Forget the damn siege! Run! Run for your lives!;Oubliez ce maudit siège ! Courez ! Courez pour vos vies !;;;Olvidad el maldito asedio! ¡Corred! Corred por vuestras vidas!;;;;;;;;;x
EVTTOOLTIP5552928;will hear of this disaster.;va entendre parler de ce désastre.;;;oirán acerca de este desastre.;;;;;;;;;x
EVTDESC5552928;All it took was a single spark. The wildfire stockpile in [From.Capital.GetName] has been ignited, and now fire rages beyond all possible human control throughout the province.;Tout a commencé avec une simple étincelle… La réserve de feu grégeois de [From.Capital.GetName] s'est enflammée, et maintenant le feu se propage dans la province, incontrôlable. ;;;Sólo hacía falta una chispa. La reserva de fuego valyrio en [From.Capital.GetName] ha prendido, y ahora el fuego ruge incontrolable en toda la provincia.;;;;;;;;;x
EVTOPTA5552928;Just how many will die?;Combien vont mourir ?;;;¿Cuántos morirán?;;;;;;;;;x
EVTTOOLTIPwildfire.20;will hear of this disaster.;va entendre parler de ce désastre.;;;oirán acerca de este desastre.;;;;;;;;;x
EVTDESCwildfire.20;All it took was a single spark. The wildfire stockpile in [Root.Capital.GetName] has been ignited, and now fire rages beyond all possible human control throughout the province.;Tout a commencé avec une simple étincelle… La réserve de feu grégeois de [From.Capital.GetName] s'est enflammée, et maintenant le feu se propage dans la province, incontrôlable. ;;;Sólo hacía falta una chispa. La reserva de fuego valyrio en [From.Capital.GetName] ha prendido, y ahora el fuego ruge incontrolable en toda la provincia.;;;;;;;;;x
EVTOPTAwildfire.20;Somebody do something!;Que quelqu'un fasse quelque chose !;;;Que alguien haga algo!;;;;;;;;;x
EVTDESCwildfire.21;Despite your best efforts to escape, you find yourself caught in the fires ravaging [Root.Location.GetName]!;Malgré tous vos efforts pour vous échapper, vous vous êtes fait piéger par les flammes ravageant [Root.Location.GetName] !;;;A pesar de vuestros esfuerzos por escapar, os encuentra atrapado en las llamas que asolan [Root.Location.GetName].;;;;;;;;;x
EVTOPTAwildfire.21;Help! Help!;Au secours ! Au secours !;;;Ayuda! Ayuda!;;;;;;;;;x
EVTDESCwildfire.22;At last, the wildfire outbreak in [Root.Capital.GetName] has finally subsided.;Enfin, l'incendie de feu grégeois à [Root.Capital.GetName] a finalement cessé. ;;;Por fin, el incendio de fuego valyrio en [Root.Capital.GetName] se ha extinguido.;;;;;;;;;x
EVTOPTAwildfire.22;See to the survivors, and start rebuilding what we can.;Occupez-vous des survivants et commencez à reconstruire le nécessaire. ;;;Ocupaos de los sobrevivientes, y empezar a reconstruir lo que podamos.;;;;;;;;;x
EVTOPTB552913;Good, that was a shrewd action;Bien, ce fut une action judicieuse;;;Bien, fue una acción responsable.;;;;;;;;;x
used_wildfire_in_siege;Used Wildfire in a Siege;A utilisé le feu grégeois lors d'un siège;;;Fuego Valyrio usado en un asedio;;;;;;;;;x
EVTDESCwildfire.23;Despite [From.GetHerHis] best efforts to escape, your [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] has been caught in the fires ravaging [From.Location.GetName]!;Malgré tous ses efforts pour s'échapper, votre [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] s'est fait piéger par les flammes ravageant [Root.Location.GetName] !;;;A pesar de sus mejores esfuerzos para escapar, su [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] ha quedado atrapada en los incendios que destruyen [From.Location.GetName]!;;;;;;;;;x
EVTOPTAwildfire.23;That is terrible!;C'est terrible !;;;Eso es terrible!;;;;;;;;;x
String_the_Alchemists_Guild;the Alchemist's Guild;;;;El Gremio de Alquimistas;;;;;;;;;x
String_Alchemists_Guild;Alchemist's Guild;;;;Gremio de Alquimistas;;;;;;;;;x
Alchemists_guild;Alchemist's Guild;;;;Gremio de Alquimistas;;;;;;;;;x
alchemists_guild_rank_1_male;Patron;;;;Patrón;;;;;;;;;x
alchemists_guild_rank_1_female;Patron;;;;Patrón;;;;;;;;;x
alchemists_guild_rank_2_male;Acolyte;;;;Acólito;;;;;;;;;x
alchemists_guild_rank_2_female;Acolyte;;;;Acólita;;;;;;;;;x
alchemists_guild_rank_3_male;Wisdom;;;;Sabio;;;;;;;;;x
alchemists_guild_rank_3_female;Wisdom;;;;Sabia;;;;;;;;;x
alchemists_guild_rank_4_male;Grand Master;;;;Gran Maestro;;;;;;;;;x
alchemists_guild_rank_4_female;Grand Master;;;;Gran Maestra;;;;;;;;;x
alchemists_guild_leader_desc;The Grand Master of the Guild of Alchemists;;;;El Gran Maestro del Gremio de Alquimistas;;;;;;;;;x
alchemists_guild;The Alchemist's Guild;;;;El Gremio de Alquimistas;;;;;;;;;x
alchemists_guild_desc;The Guild of Alchemists is an old order of pyromancers. The guild was once powerful, though in the recent centuries the maesters rose in prominence and the pyromancers saw their influence dwindle.The pyromancers still claim to possess vast secret stores of knowledge.;;;;El Gremio de Alquimistas es una antigua orden de piromantes. El gremio fue una vez poderoso, aunque en los siglos recientes los maestres han destacado y piromantes vieron disminuir su influencia. Los piromantes aún afirman poseer grandes reservas secretas de conocimiento.;;;;;;;;;x
donate_to_alchemist_guild;Donate to The Guild;;;;Donar al Gremio de Alquimistas;;;;;;;;;x
donate_to_alchemist_guild_desc;Support the Alchemists Guild by way of a generous donation, in return for wisdom;;;;Apoye al Gremio de Alquimistas a través de una donación generosa, a cambio de sabiduría;;;;;;;;;x
donate_to_alchemist_guild_power_desc;Support the Alchemists Guild by way of a generous donation, in return for wisdom;;;;Apoye al Gremio de Alquimistas a través de una donación generosa, a cambio de sabiduría;;;;;;;;;x
donated_to_alchemist_guild;Donated to The Guild;;;;Donar al Gremio de Alquimistas;;;;;;;;;x
hire_alchemist;Hire an Alchemist;;;;Contratar a un alquimista;;;;;;;;;x
hire_alchemist_desc;Send for a trained pyromancer from the Guild of Alchemists to join you in your court;;;;Envía un piromante entrenado del Gremio de Alquimistas para que se una a ti en tu corte;;;;;;;;;x
hire_alchemist_power_desc;Send for a trained pyromancer from the Guild of Alchemists to join you in your court;;;;Envía un piromante entrenado del Gremio de Alquimistas para que se una a ti en tu corte;;;;;;;;;x
hired_alchemist;Hired an Alchemist;;;;Contrató a un alquimista;;;;;;;;;x
TOOLTIPwildfire.55;An alchemist is sent to your court;;;;Un alquimista es enviado a tu corte;;;;;;;;;x
EVTDESCwildfire.47;[Root.PrimaryTitle.GetFOA], we at the Guild of Alchemists in [From.Location.GetName] are pleased to hear of your interest in our old and ancient order. We gladly welcome you as our patron, and trust that you will benefit from our knowledge and power.\n\nYours,\n[From.GetSocietyRank] [From.GetFirstName];;;;[Root.PrimaryTitle.GetFOA], en el Gremio de Alquimistas de [From.Location.GetName] nos complace saber su interés en nuestra vieja y antigua orden. Le damos la bienvenida como nuestro patrón, y confiamos en que se beneficiará de nuestro conocimiento y poder.\n\nTus,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTOPTAwildfire.47;I look forward to learning the secrets of wildfire;;;;Espero aprender los secretos del Fuego Valyrio;;;;;;;;;x
EVTDESCwildfire.55;The Guild of Alchemists in [alchemist_origin.GetName] have sent you one of their order to serve you in your court. [new_alchemist.GetSheHeCap] is a [new_alchemist.GetSocietyRank] by the name of [new_alchemist.GetFirstName], and has pledged [new_alchemist.GetHerHis] loyalty to you.;;;;El Gremio de Alquimistas en [alchemist_origin.GetName] le ha enviado uno de sus alquimistas para que le sirva en su corte. [new_alchemist.GetSheHeCap] es un [new_alchemist.GetSocietyRank] con el nombre de [new_alchemist.GetFirstName], y [new_alchemist.GetHerHis] te ha prometido jurarte lealtad.;;;;;;;;;x
EVTOPTAwildfire.55;Let us hope you prove to be useful;;;;Esperemos que demuestres ser útil;;;;;;;;;x
EVTDESCwildfire.61;[Root.PrimaryTitle.GetFOA] and [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\n[Root.Capital.GetName] has no true abode fit for purpose for the Guild of Alchemists. Therefore me and my fellow Wisdoms have determined that a new Guild Hall in [Root.Capital.GetName] would be most beneficial for the order, and humbly request you grant this project your patronage.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;[Root.PrimaryTitle.GetFOA] y [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\n[Root.Capital.GetName] no tiene una verdadera morada adecuada para el Gremio de Alquimistas. Por lo tanto, mis Sabios y mis colegas han determinado que un nuevo Gremio en [Root.Capital.GetName] sería más beneficioso para ti, y humildemente solicitamos que otorgue este patrocinio al proyecto.\n\nFirmado, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
TOOLTIPwildfire.61;Plans are laid out for a new Guild Hall in [Root.Capital.GetName], its patronage will be your assigned mission. It will cost 300¤ to construct.;;;;Los planes están diseñados para un nuevo Gremio de Alquimistas en [Root.Capital.GetName], su mecenazgo será su misión asignada, Construirlo te costará 300¤;;;;;;;;;x
alchemists_guild_powers_rank_1;Can use stocks of wildfire as a weapon in sieges;;;;Puede usar reservas de Fuego valyrio como arma en asedios;;;;;;;;;x
alchemists_guild_powers_rank_2;Has discount on lower rank decisions\nCan travel to learn from a Wisdom;;;;Tiene descuento en decisiones de rango inferior\nPuede viajar para aprender de un Sabio;;;;;;;;;x
#alchemists_guild_powers_rank_2;Has discount on lower rank decisions;;;;Tiene descuento en decisiones de menor rango;;;;;;;;;x
alchemists_guild_powers_rank_3;Can study the knowledge stores\nCan obtain rare powers;;;;Puede estudiar en los almacenes de conocimiento\nPuede obtener poderes raros;;;;;;;;;x
#alchemists_guild_powers_rank_3; ;;;;;;;;;;;;;x
alchemists_guild_powers_rank_4;Can use a rare elixir;;;;Puedes usar un elixir raro;;;;;;;;;x
#alchemists_guild_powers_rank_4; ;;;;;;;;;;;;;x
quest_alchemists_build_guild;Build an Alchemists Guild in $TARGET$;;;;Construye un Gremio de Alquimistas en el $OBJETIVO$;;;;;;;;;x
quest_alchemists_build_guild_fallback;Build an Alchemists Guild;;;;Construye un gremio de alquimistas;;;;;;;;;x
quest_alchemists_build_guild_desc;The Wisdoms of the Alchemist Guild have decided that a Guildhall should be built in $TARGET$, and have assigned you the mission of its construction and patronage.;;;;Las Sabios del Gremio de Alquimistas han decidido que se construya un Gremio en el $OBJETIVO$, y te han asignado la misión de su construcción y mecenazgo.;;;;;;;;;x
quest_alchemists_build_guild_tooltip;To complete this mission, use the §Y'Build Alchemist's Guild'§! decision in the intrigue menu.;;;;;;;;;;;;;x
request_to_rank_up_within_society_alchemists_guildA;Has learnt how to make §Ywildfire§!;;;;!Has aprendido a hacer §YFuego Valyrio§!;;;;;;;;;x
request_to_rank_up_within_society_alchemists_guildB;There is not already a §YGrand Master§! of the Alchemists Guild in [Root.GetTitledFirstNameNoRegnal]'s realm.;;;;¡No hay un §YGran Maestro§! del Gremio de Alquimistas en [Root.GetTitledFirstNameNoRegnal] reino.;;;;;;;;;x
create_fake_valuables;Create Fake Valuables;;;;Crear objetos de falsos valores;;;;;;;;;x
create_fake_valuables_desc;Use you knowledge of alchemy to create fake valuables;;;;Usa tus conocimientos de alquimia para crear objetos de valor falsos;;;;;;;;;x
create_fake_valuables_power_desc;Use you knowledge of alchemy to create fake valuables;;;;Usa tus conocimientos de alquimia para crear objetos de valor falsos;;;;;;;;;x
made_fake_valuables;Made Fake Valuables;;;;;Hacer objeto de falsos valores;;;;;;;;x
TOOLTIPwildfire.80;You select valuables to fabricate;;;;Usted selecciona objetos de valor para fabricar;;;;;;;;;x
learn_how_to_make_wildfire;Learn How to Make Wildfire;;;;Aprende a hacer Fuego Valyrio;;;;;;;;;x
learn_how_to_make_wildfire_desc;Command [Root.GetTitledFirstNameNoRegnal] to teach you how to make wildfire;;;;Mando a [Root.GetTitledFirstNameNoRegnal] para enseñarle cómo hacer Fuego Valyrio;;;;;;;;;x
EVTTOOLTIPwildfire.67;[Root.GetTitledFirstNameNoRegnal] will teach you how to make wildfire;;;;[Root.GetTitledFirstNameNoRegnal] te enseñará cómo hacer Fuego Valyrio;;;;;;;;;x
EVTDESCwildfire.66;[Root.PrimaryTitle.GetFOA] and [Root.GetSocietyRank], [Root.GetTitledFirstNameNoRegnal],\n\nWe thank you for your continued patronage of The Guild of Alchemists. As a sign of our trust in you, we would like to offer you the chance to learn the secret of making wildfire.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];;;;[Root.PrimaryTitle.GetFOA] y [Root.GetSocietyRank] [Root.GetTitledFirstNameNoRegnal],\n\nTe agradecemos por tu continuo patrocinio al Gremio de Alquimistas. Como una señal de nuestra confianza en ti, nos gustaría ofrecerte la oportunidad de aprender el secreto de hacer Fuego Valyrio.\n\n Firmado, [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
TOOLTIPwildfire.66;You are tasked with the quest of learning to make wildfire. You can ask any acolyte in your court to help you in this.;;;;Se te ha encomendado la misión de aprender a hacer Fuego Valyrio. Puedes pedirle a cualquier acólito de tu corte que lo ayude en esto.;;;;;;;;;x
quest_alchemists_make_wildfire;Learn How to Make WIldfire;;;;Aprenda cómo hacer Fuego Valyrio;;;;;;;;;x
quest_alchemists_make_wildfire_fallback;Learn How to Make WIldfire;;;;Aprenda cómo hacer Fuego Valyrio;;;;;;;;;x
quest_alchemists_make_wildfire_desc;The Wisdoms of the Alchemist Guild have decided they can trust you with their secrets, and so would like to you learn how to make wildfire from an acolyte.;;;;Las Sabios del Gremio de Alquimistas han decidido que pueden confiar en ti para enseñarte sus secretos por eso le gustarían que aprendieras cómo hacer Fuego Valyrio con un acólito.;;;;;;;;;x
quest_alchemists_make_wildfire_tooltip;To complete this mission, §Gright-click§! on an Acolyte or higher in your court and select §Y'Learn How to Make Fire'§!. You may need to use the §Y'Hire an Alchemist'§! decision to get one in your court.;;;;;;;;;;;;;x
EVTDESCwildfire.67;[From.GetSocietyRank] [From.GetFirstName] agrees to your command, and in the coming days will teach you to make wildfire. [From.GetSheHeCap] bids you join [From.GetHerHim] at the guild, to don the proper robes and to prepare the neccesary equipment.;;;;[From.GetSocietyRank] [From.GetFirstName] acepta su orden, y en los próximos días le enseñará a hacer un Fuego Valyrio. [From.GetSheHeCap] te invita a unirte al en el gremio, a ponerte las túnicas adecuadas para preparar el equipo necesario.;;;;;;;;;x
EVTOPTAwildfire.67;I shall learn to manipulate 'the substance';;;;"Aprenderé a manipular ""la sustancia""";;;;;;;;;x
TOOLTIPwildfire.67SUCCESS;[This.GetTitledFirstNameNoRegnal] successfully learns to make wildfire;;;;[This.GetTitledFirstNameNoRegnal] aprende con éxito a hacer Fuego Valyrio;;;;;;;;;x
TOOLTIPwildfire.67FAIL;[This.GetTitledFirstNameNoRegnal] fails to make wildfire;;;;[This.GetTitledFirstNameNoRegnal] falla al hacer Fuego Valyrio;;;;;;;;;x
EVTDESCwildfire.68;Your [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] approaches you with you request. As a trusted [From.GetSocietyRank] of the Alchemists Guild [From.GetSheHe] has been allowed to learn the secrets of making wildfire, and is bidding you to help in this endeavor.;;;;Su [From.GetRootRelation] [From.GetTitledFirstNameNoRegnal] se acerca con su solicitud. Como un [From.GetSocietyRank] de confianza del Gremio de Alquimistas se le ha permitido aprender los secretos de hacer un Fuego Valyrio, y te está pidiendo que le ayudes en este empeño.;;;;;;;;;x
EVTOPTAwildfire.68;I will of course help;;;;Por supuesto, ayudaré;;;;;;;;;x
EVTOPTBwildfire.68;I don't think so, find help elsewhere;;;;No creo, busque ayuda en otro lado;;;;;;;;;x
EVTDESCwildfire.69;[From.GetSocietyRank] [From.GetFirstName] spent many days demonstrating the proper procedure for the manufacture and handling of the 'substance'. [From.GetSheHeCap] made sure I understood the volatility and danger of it, and successfully taught me how to handle it safely. I can now manipulate wildfire.;;;;"[From.GetSocietyRank] [From.GetFirstName] pasó muchos días demostrando el procedimiento adecuado para la fabricación y el manejo de la ""sustancia"". [From.GetSheHeCap] se aseguró de haber entendido la volatilidad y el peligro de la misma, y me enseñó con éxito cómo manejarla de manera segura. Ahora puedo manipular Fuego Valyrio.";;;;;;;;;x
EVTOPTAwildfire.69;Thank you [From.GetSocietyRank] [From.GetFirstName];;;;Gracias [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESCwildfire.70;I spent many days demonstrating to [FromFrom.GetTitledFirstNameNoRegnal] the proper procedure for the manufacture and handling of the 'substance'. I made sure [FromFrom.GetSheHe] understood the volatility and danger of it, and successfully taught [FromFrom.GetHerHim] how to handle it safely.;;;;"Pasé muchos días demostrando a [FromFrom.GetTitledFirstNameNoRegnal] el procedimiento adecuado para la fabricación y el manejo de la ""sustancia"". Me aseguré de que comprendiera la volatilidad y el peligro de la misma, y le enseñé con éxito [FromFrom.GetHerHim] cómo manejarlo de forma segura.";;;;;;;;;x
EVTOPTAwildfire.70;I'm glad there were no unplanned explosions;;;;Me alegro de que no hubo explosiones;;;;;;;;;x
EVTDESCwildfire.71;Despite [From.GetSocietyRank] [From.GetFirstName] best efforts to show you how to saefly make and handle the subtance, your attempts to replicate it were disastrous. Your concoction of wildfire proved most unstable, and when you made an uncareful slip the substance spontaneously exploded!;;;;A pesar de los mejores esfuerzos de [From.GetSocietyRank] [From.GetFirstName] para mostrarle cómo hacer y manejar la sustracción, sus intentos de replicarlo fueron desastrosos. Su combinación de Fuego Valyrio resultó ser muy inestable, y cuando hizo un desliz desagradable, ¡la sustancia explotó espontáneamente!;;;;;;;;;x
EVTDESCwildfire.71B;You and [From.GetSocietyRank] [From.GetFirstName] spent much time going through the procedures of making and using the substance, but you just couldn't grasp the finer nuances of making potent wildfire. [From.GetSocietyRank] [From.GetFirstName] seemed concerned with your technique, and ceased the lessons before an accident could occur.;;;Tú y [From.GetSocietyRank] [From.GetFirstName] pasaron mucho tiempo siguiendo los procedimientos de fabricación y uso de la sustancia, pero no pudiste captar los matices más finos de hacer un potente Fuego Valyrio. [From.GetSocietyRank] [From.GetFirstName] parecía preocupado con su técnica, y dejó las lecciones antes de que pudiera ocurrir un accidente.;;;;;;;;;;x
EVTOPTAwildfire.71;I am not good at this;;;;No soy bueno en eso;;;;;;;;;x
EVTDESCwildfire.72;Despite your best efforts to show [FromFrom.GetTitledFirstNameNoRegnal] how to saefly make and handle the subtance, [FromFrom.GetHerHis] attempts to replicate it were disastrous. [FromFrom.GetHerHisCap] concoction of wildfire proved most unstable, and when [FromFrom.GetSheHe] made an uncareful slip the substance spontaneously exploded!;;;;A pesar de sus mejores esfuerzos para mostrar a [FromFrom.GetTitledFirstNameNoRegnal] cómo hacer y gestionar la sustancia, [FromFrom.GetHerHis] intenta replicarlo pero fue desastroso la mezcla de. [FromFrom.GetHerHisCap] de Fuego Valyrio resultó ser de lo más inestable, y cuando hizo un deslizamiento poco cuidadoso, ¡la sustancia explotó espontáneamente!;;;;;;;;;x
EVTDESCwildfire.72B;You and [FromFrom.GetTitledFirstNameNoRegnal] spent much time going through the procedures of making and using the substance, but [FromFrom.GetSheHe] just couldn't grasp the finer nuances of making potent wildfire. You became concerned with [FromFrom.GetHerHis] technique, and ceased the lessons before an accident could occur.;;;;Usted y [FromFrom.GetTitledFirstNameNoRegnal] pasaron mucho tiempo siguiendo los procedimientos de fabricación y uso de la sustancia, pero simplemente no pudo captar los matices más finos de la creación de un potente Fuego Valyrio. Usted se preocupó por la técnica de [FromFrom.GetHerHis] y dejó de darle lecciones antes de que ocurriera un accidente.;;;;;;;;;x
EVTOPTAwildfire.72;[FromFrom.GetSheHeCap] does not seem ready;;;;[FromFrom.GetSheHeCap] no parece estar listo;;;;;;;;;x
EVTDESCwildfire.73;[From.GetSocietyRank] [From.GetFirstName] has declined to teach you the secrets of making and using wildfire, deeming you not yet ready to learn.;;;;[From.GetSocietyRank] [From.GetFirstName] se ha negado a enseñarte los secretos de hacer y usar Fuego Valyrio, considerando que aún no estás listo para aprender.;;;;;;;;;x
EVTOPTAwildfire.73;Well, I'll just find someone else;;;;Bueno, voy a encontrar a alguien más;;;;;;;;;x
EVTDESCwildfire.80;You have your materials and equipment prepared in your laboratory, and have concocted a fresh batch of the substance. What type of valuable will you fabricate?;;;;Usted tiene sus materiales y equipos preparados en su laboratorio y ha preparado un nuevo lote de la sustancia. ¿Qué tipo va a fabricar?;;;;;;;;;x
EVTOPTAwildfire.80;Fools gold;;;;Joyas de oro falso;;;;;;;;;x
TOOLTIPwildfire.80A;You make a set of fake jewelry made from fools gold;;;Haces un conjunto de joyas falsas hechas de oro falso;;;;;;;;;;x
EVTOPTBwildfire.80;Gemstones;;;;Piedras preciosas falsas;;;;;;;;;x
TOOLTIPwildfire.80B;You make a set of fake jewelry made from fake gemstones;;;;Haces un conjunto de joyas falsas hechas con piedras preciosas falsas;;;;;;;;;x
EVTOPTCwildfire.80;Fake pearls;;;;Perlas falsas;;;;;;;;;x
TOOLTIPwildfire.80C;You make a set of fake jewelry made from fake pearls;;;;Haces un conjunto de joyas falsas hechas de perlas falsas;;;;;;;;;x
EVTOPTDwildfire.80;I shall make counterfeit silver currency;;;;Haré monedas de plata falsificada;;;;;;;;;x
TOOLTIPwildfire.80D;You manufacture fake silver currency and flood the local economy with it;;;;Usted fabrica monedas de plata falsa e inunda la economía local con ella;;;;;;;;;x
EVTDESCwildfire.81A;After many days of manipulating base metals with the substance, you have finally made some fools gold and fashioned it into a set of bracelets.;;;;Después de muchos días de manipular los metales básicos con la sustancia, finalmente has hecho algunas Joyas de oro falso has hecho un conjunto de pulseras.;;;;;;;;;x
EVTDESCwildfire.81B;Using the substance and your knowledge of its properties, you cultivated some crystals into the appearance of precious gemstones. You now have several rubies, amethysts, emeralds and diamonds, at least that is what they appear to be.;;;;Usando la sustancia y su conocimiento de sus propiedades, cultivó algunos cristales en la apariencia de piedras preciosas. Ahora tiene varios rubíes, amatistas, esmeraldas y diamantes, al menos eso es lo que parecen ser.;;;;;;;;;x
EVTDESCwildfire.81C;Through the manipulation of glass and the substance, you have managed to fashion some imitation pearls. You have them set into a necklace, which looks very much like the real thing.;;;;Mediante la manipulación del vidrio y la sustancia, has logrado crear perlas de imitación. Los tienes puestos en un collar, que se parece mucho a lo reales.;;;;;;;;;x
EVTDESCwildfire.81D;Using the substance and its mysterious properties, you have created fake silver from base metals on a large scale. You have this fabricated precious metal minted into coins and embezzled into the local economy of [Root.Capital.GetName], yielding fine returns for yourself, but trouble and unrest for the locals.;;;;Usando la sustancia y sus misteriosas propiedades, ha creado plata falsa a partir de metales básicos a gran escala. Usted usa este metal precioso fabricado acuñado en monedas y malversa  la economía local de [Root.Capital.GetName], que le proporciona buenos rendimientos, pero problemas y disturbios para los lugareños.;;;;;;;;;x
EVTOPTAwildfire.81;No one will be able to tell the difference!;;;;¡Nadie podrá notar la diferencia!;;;;;;;;;x
EVTOPTBwildfire.81;Sell them for a profit;;;;Venderlos para obtener ganancias;;;;;;;;;x
EVTOPTCwildfire.81;It is all for the good of the realm;;;;Todo es por el bien del reino;;;;;;;;;x
EVTDESCwildfire.82;The fabricated [fake_artifact.GetName] you manufactured weeks ago have been found to be a forgery and traced to you! Your reputation and honour has been tarnished.;;;;Se ha encontrado que el [fake_artifact.GetName] fabricado hace semanas ha sido una falsificación y ha sido rastreado. Su reputación y honor han sido empañados.;;;;;;;;;x
