#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
plot_rescue_prisoner_title;Rescue [This.GetTitledFirstNameWithDynasty] from [This.Host.GetTitledFirstName]'s captivity;Secourir [This.GetTitledFirstNameWithDynasty] qui est retenu captif par [This.Host.GetTitledFirstName].;Rescue [This.GetTitledFirstName] from [This.Host.GetTitledFirstName]'s prison;;Rescatar a [This.GetTitledFirstNameWithDynasty]de la prisión de [This.Host.GetTitledFirstName];;;;;;;;;x
EVTDESCrescue_prisoner.17;[From.GetTitledFirstName] has managed to find an opportunity to free [From.PlotTarget.GetTitledFirstName] from captivity in [From.PlotTarget.Location.GetName], and has given [From.GetHerHis] approval of a plan to covertly send a band of men to take advantage.;[From.GetTitledFirstName] a trouvé une opportunité de libérer [From.PlotTarget.GetTitledFirstName] retenu par [From.PlotTarget.Location.GetName], et a approuvé un plan visant à envoyer une bande d'hommes pour accomplir cette mission.;;;[From.GetTitledFirstName] ha encontrado una oportunidad de liberar a [From.PlotTarget.GetTitledFirstName] retenido por [From.PlotTarget.Location.GetName] y ha aprobado un plan consistente en eviar una banda de hombres armados para rescatarlo.;;;;;;;;;x
EVTDESCrescue_prisoner.18;The covert prison break was a success! The men managed to get to [From.GetTitledFirstName]'s cell without being noticed, and then overpowered the guards outside [From.GetHerHis] cell. They then smuggled [From.GetHerHim] out of [From.Location.GetName] to safety and freedom.;L'évasion est un succès ! Les hommes sont parvenus jusqu'à la cellule de [From.GetTitledFirstName] sans se faire repérer, puis ils ont battu les gardes. Ils sont ensuite parvenus à s'échapper de [From.Location.GetName] et à mettre [From.GetTitledFirstName] en sécurité.;;;El rescate ha sido un éxito! Los hombres han llegado a la celda de [From.GetTitledFirstName]sin que les detectaran y han desarmado a los guardias. Lograron huri de [From.Location.GetName] y llevar a [From.GetTitledFirstName] a un lugar seguro.;;;;;;;;;x
EVTOPTArescue_prisoner.18;Good news! A well executed plot;Bonne nouvelle ! Un complot exécuté de main de maître.;;;Buena noticia! Un plan llevado a cabo con maestría.;;;;;;;;;x
opinion_prison_break;Broke Prisoner From My Cells;A fait s'évader un prisonnier de mes cachots;;;Liberó a un prisionero de mis mazmorras.;;;;;;;;;x
EVTDESCrescue_prisoner.20;The band of armed men failed to set [From.GetTitledFirstName] free, they couldn't remain undetected and most were slain by the guards before they could reach [From.GetHerHis] cell. One of them was captured however, and after intense questioning revealed your complicity in the plot!;La bande d'hommes armés a échoué dans sa tentative de libérer [From.GetTitledFirstName]. Ils se sont fait repérer et la plupart furent tués par les gardes avant d'atteindre les cellules. L'un des leurs à même été capturé et, après avoir été questionné, a fini par révéler votre implication dans ce complot ! ;;;La banda de hombres armados no logró rescatar a [From.GetTitledFirstName]. Fueron descubiertos antes de llegar a las mazmorras y los guardias mataron a todos excepto a uno, que ha revelado tu participación.;;;;;;;;;x
EVTOPTArescue_prisoner.20;We should have hired better men;Nous aurions du engager des hommes plus efficaces.;;;Deberíamos haber contratado a hombres más eficaces.;;;;;;;;;x
opinion_attempted_prison_break;Attempted Prison Break;A tenté de faire évader un prisonnier;;;Intentó liberar a un prisionero de mis mazmorras.;;;;;;;;;x
EVTDESCrescue_prisoner.21;The band of armed men failed to set [From.GetTitledFirstName] free, they couldn't remain undetected and all were slain by the guards before they could reach [From.GetHerHis] cell. At least none survived to reveal your part in the plot to [From.Host.GetTitledFirstName].;La bande d'hommes armés a échoué dans sa tentative de libérer [From.GetTitledFirstName]. Ils se sont fait repérer et la plupart furent tués par les gardes avant d'atteindre les cellules. Au moins, aucun d'entre eux n'a survécu et votre implication dans ce complot n'a pas été révélé à [From.Host.GetTitledFirstName].;;;La banda de hombres armados no logró rescatar a [From.GetTitledFirstName]. Fueron descubiertos antes de llegar a las mazmorras y los guardias los mataron a todos.;;;;;;;;;x
EVTOPTArescue_prisoner.21;We will have to try again it seems;Il semble que nous allons devoir réessayer.;;;Parece que tendremos que intentarlo de nuevo...;;;;;;;;;x
EVTDESCrescue_prisoner.5B;Your bodyguard [bodyguard_prison_break.GetTitledFirstName] has proposed a plan to rescue [Root.PlotTarget.GetTitledFirstName] from captivity in [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] says [bodyguard_prison_break.GetSheHe] has figured out how to covertly break into [Root.PlotTarget.Location.GetName], and promises that [bodyguard_prison_break.GetSheHe] will be able to rescue the prisoner.;Votre garde du corps [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;;;Tu guardaespaldas [bodyguard_prison_break.GetTitledFirstName] ha propuesto un plan para rescatar a [Root.PlotTarget.GetTitledFirstName] de su cautiverio en [Root.PlotTarget.Location.GetName]. Dice que ha descubierto un modo de infiltrarse en [Root.PlotTarget.Location.GetName], y promete que será capaz de rescatar al prisionero.;;;;;;;;;x
EVTDESCrescue_prisoner.5C;Your kingsguard [bodyguard_prison_break.GetTitledFirstName] has proposed a plan to rescue [Root.PlotTarget.GetTitledFirstName] from captivity in [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] says [bodyguard_prison_break.GetSheHe] has figured out how to covertly break into [Root.PlotTarget.Location.GetName], and promises that [bodyguard_prison_break.GetSheHe] will be able to rescue the prisoner.;Votre garde royal [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;Votre garde royal [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;Votre garde royal [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;Tu Guardia Real [bodyguard_prison_break.GetTitledFirstName] ha propuesto un plan para rescatar a [Root.PlotTarget.GetTitledFirstName] de su cautiverio en [Root.PlotTarget.Location.GetName]. Dice que ha descubierto un modo de infiltrarse en [Root.PlotTarget.Location.GetName], y promete que será capaz de rescatar al prisionero.;;;;;;;;;x
EVTDESCrescue_prisoner.5D;Your bloodrider [bodyguard_prison_break.GetTitledFirstName] has proposed a plan to rescue [Root.PlotTarget.GetTitledFirstName] from captivity in [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] says [bodyguard_prison_break.GetSheHe] has figured out how to covertly break into [Root.PlotTarget.Location.GetName], and promises that [bodyguard_prison_break.GetSheHe] will be able to rescue the prisoner.;Votre sang-coureur [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;Votre sang-coureur [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;Votre sang-coureur [bodyguard_prison_break.GetTitledFirstName] a suggéré un plan pour secourir [Root.PlotTarget.GetTitledFirstName] qui est emprisonné(e) à [Root.PlotTarget.Location.GetName]. [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a trouvé un moyen de s'infiltrer à [Root.PlotTarget.Location.GetName], et jure qu'[bodyguard_prison_break.GetSheHe] pourra secourir le(a) prisonnier(e).;Tu Jinete de Sangre [bodyguard_prison_break.GetTitledFirstName] ha propuesto un plan para rescatar a [Root.PlotTarget.GetTitledFirstName] de su cautiverio en [Root.PlotTarget.Location.GetName]. Dice que ha descubierto un modo de infiltrarse en [Root.PlotTarget.Location.GetName], y promete que será capaz de rescatar al prisionero.;;;;;;;;;x
EVTOPTErescue_prisoner.5;You have my blessing [bodyguard_prison_break.GetTitledFirstName];Vous avez ma bénédiction [bodyguard_prison_break.GetTitledFirstName];Vous avez ma bénédiction [bodyguard_prison_break.GetTitledFirstName];Vous avez ma bénédiction [bodyguard_prison_break.GetTitledFirstName];Tenéis mi bendición [bodyguard_prison_break.GetTitledFirstName];;;;;;;;;x
EVTOPTFrescue_prisoner.5;I will not risk my own sworn shield;Je ne vais pas risquer la vie d'un de mes hommes;Je ne vais pas risquer la vie d'un de mes hommes;Je ne vais pas risquer la vie d'un de mes hommes;No arriesgaré a mi propio escudo juramentado;;;;;;;;;
EVTTOOLTIPrescue_prisoner.10B;[bodyguard_prison_break.GetTitledFirstName] attempts to covertly rescue the prisoner...;[bodyguard_prison_break.GetTitledFirstName] tente de secourir le(a) prisonnier(e)…;[bodyguard_prison_break.GetTitledFirstName] tente de secourir le(a) prisonnier(e)…;[bodyguard_prison_break.GetTitledFirstName] tente de secourir le(a) prisonnier(e)…;[bodyguard_prison_break.GetTitledFirstName] intenta rescatar al prisionero...;;;;;;;;;x
EVTDESCrescue_prisoner.10B;You were alone in your cell when you heard what sounded like muffled struggling behind you cell door. Shortly the door opens and a man covered in blood bursts through the door...;Vous étiez dans votre cellule lorsque vous avez entendu des bruits de lutte de l'autre côté de la porte. Peu après vous avez vu la porte s'ouvrir sur un homme couvert de sang qui s'empressa de pénétrer dans votre cellule... ;Vous étiez dans votre cellule lorsque vous avez entendu des bruits de lutte de l'autre côté de la porte. Peu après vous avez vu la porte s'ouvrir sur un homme couvert de sang qui s'empressa de pénétrer dans votre cellule... ;Vous étiez dans votre cellule lorsque vous avez entendu des bruits de lutte de l'autre côté de la porte. Peu après vous avez vu la porte s'ouvrir sur un homme couvert de sang qui s'empressa de pénétrer dans votre cellule... ;Estabas en tu celda cuando escuchas sonidos de lucha al otro lado de la puerta. Poco después, ves abrir la puerta a un hombre cubierto de sangre que se apresura a entrar en la celda... ;;;;;;;;;x
EVTDESCrescue_prisoner.11B;It is [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] who stands before you, the guards slain at [bodyguard_prison_break.GetHerHis] feet! [bodyguard_prison_break.GetSheHeCap] says [bodyguard_prison_break.GetSheHe] has been sent by [FromFrom.GetTitledFirstName] to rescue you! You both escape [Root.Host.Capital.GetName], and eventually, after many days of clandestine travelling, to freedom.;Devant vous se tient [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], les cadavres des gardes gisent à ses pieds ! [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a été envoyé par [FromFrom.GetTitledFirstName] pour vous secourir ! Vous vous échappez tous les deux de [Root.Host.Capital.GetName], et, après quelques jours de voyage sous une autre identité, vous vous retrouvez libre !;Devant vous se tient [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], les cadavres des gardes gisent à ses pieds ! [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a été envoyé par [FromFrom.GetTitledFirstName] pour vous secourir ! Vous vous échappez tous les deux de [Root.Host.Capital.GetName], et, après quelques jours de voyage sous une autre identité, vous vous retrouvez libre !;Devant vous se tient [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], les cadavres des gardes gisent à ses pieds ! [bodyguard_prison_break.GetSheHeCap] dit qu'[bodyguard_prison_break.GetSheHe] a été envoyé par [FromFrom.GetTitledFirstName] pour vous secourir ! Vous vous échappez tous les deux de [Root.Host.Capital.GetName], et, après quelques jours de voyage sous une autre identité, vous vous retrouvez libre !;Ante ti tienes a [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], y los cadáveres de los guardias yacen a sus pies! Dice que ha sido enviado por [FromFrom.GetTitledFirstName] para rescatarte! Escapáis ambos de [Root.Host.Capital.GetName], y, tras varios días de viaje con una identidad oculta, eres libre!;;;;;;;;;x
EVTDESCrescue_prisoner.1199D;One of you jailors has brought word from the cells, he says your captive [FromFrom.GetTitledFirstNameWithDynasty] was covertly set free during the night by a single assailant! This [bodyguard_prison_break.GetManWoman], identified as [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], covertly slayed many guards and managed to spirit the prisoner away from [Root.Capital.GetName]. Clearly [bodyguard_prison_break.GetSheHe] was sent by [From.GetTitledFirstNameWithDynasty]!;L'un de vos geôliers vous apporte des nouvelles de vos cachots. Il dit que votre captif(ve) [FromFrom.GetTitledFirstNameWithDynasty] a été libéré(e) durant la nuit par un seul et unique assaillant ! Cet(te) [bodyguard_prison_break.GetManWoman] semble être [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] et n'a pas hésité à tué de nombreux gardes avant de faire sortir le(a) prisonnier(e) de [Root.Capital.GetName]. Il est clair qu'[bodyguard_prison_break.GetSheHe] a été envoyé(e) par [From.GetTitledFirstNameWithDynasty]!;L'un de vos geôliers vous apporte des nouvelles de vos cachots. Il dit que votre captif(ve) [FromFrom.GetTitledFirstNameWithDynasty] a été libéré(e) durant la nuit par un seul et unique assaillant ! Cet(te) [bodyguard_prison_break.GetManWoman] semble être [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] et n'a pas hésité à tué de nombreux gardes avant de faire sortir le(a) prisonnier(e) de [Root.Capital.GetName]. Il est clair qu'[bodyguard_prison_break.GetSheHe] a été envoyé(e) par [From.GetTitledFirstNameWithDynasty]!;L'un de vos geôliers vous apporte des nouvelles de vos cachots. Il dit que votre captif(ve) [FromFrom.GetTitledFirstNameWithDynasty] a été libéré(e) durant la nuit par un seul et unique assaillant ! Cet(te) [bodyguard_prison_break.GetManWoman] semble être [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] et n'a pas hésité à tué de nombreux gardes avant de faire sortir le(a) prisonnier(e) de [Root.Capital.GetName]. Il est clair qu'[bodyguard_prison_break.GetSheHe] a été envoyé(e) par [From.GetTitledFirstNameWithDynasty]!;Uno de tus carceleros trae noticias de las mazmorras. Dice que tu prisionero [FromFrom.GetTitledFirstNameWithDynasty] ha sido liberado por la noche por un único asaltante! Este [bodyguard_prison_break.GetManWoman] parecía ser [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] y no dudó en matar a numerosos guardias para poder liberar al prisionero de [Root.Capital.GetName]. Parece claro que ha sido enviado por [From.GetTitledFirstNameWithDynasty]!;;;;;;;;;x
EVTDESCrescue_prisoner.13B;Your guards enter your cell covered in blood, behind them you notice a [bodyguard_prison_break.GetManWoman] running away wounded. It appears a single assailant tried to covertly break you out. Later, when presented to [Root.Host.GetTitledFirstName] in chains, you are told that is was [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], and was sent on the orders of [From.GetTitledFirstNameWithDynasty] to break you out.;Vos gardes entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez un(e) [bodyguard_prison_break.GetManWoman] blessé(e) qui s'enfuit. Il semble qu'un seul et unique assaillant a tenté de vous libérer. Plus tard, alors que vous êtes enchainé(e) devant [Root.Host.GetTitledFirstName], vous apprenez qu'il s'agissait de [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], qui avait été envoyé(e) par [From.GetTitledFirstNameWithDynasty] pour vous libérer.;Vos gardes entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez un(e) [bodyguard_prison_break.GetManWoman] blessé(e) qui s'enfuit. Il semble qu'un seul et unique assaillant a tenté de vous libérer. Plus tard, alors que vous êtes enchainé(e) devant [Root.Host.GetTitledFirstName], vous apprenez qu'il s'agissait de [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], qui avait été envoyé(e) par [From.GetTitledFirstNameWithDynasty] pour vous libérer.;Vos gardes entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez un(e) [bodyguard_prison_break.GetManWoman] blessé(e) qui s'enfuit. Il semble qu'un seul et unique assaillant a tenté de vous libérer. Plus tard, alors que vous êtes enchainé(e) devant [Root.Host.GetTitledFirstName], vous apprenez qu'il s'agissait de [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], qui avait été envoyé(e) par [From.GetTitledFirstNameWithDynasty] pour vous libérer.;Tus guardias entran en tu celda, cubiertos de sangre. Tras ellos percibes a un [bodyguard_prison_break.GetManWoman] huyendo herido. Parece que un único asaltante ha intentado rescatarte. Más tarde, mientras estás encadenado delante de [Root.Host.GetTitledFirstName], te enteras que se trataba de [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], que había sido enviado por [From.GetTitledFirstNameWithDynasty] para liberarte.;;;;;;;;;x
EVTDESCrescue_prisoner.1399D;Your jailors seek your audience, and they are all covered in blood, and with them they have your captive [From.GetTitledFirstNameWithDynasty] in chains. They say a lone assailant, identified as [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], covertly broke into the cells to try and set [From.GetHerHim] free, clearly sent by [FromFrom.GetTitledFirstNameWithDynasty]! Luckily the guards resisted and [bodyguard_prison_break.GetSheHe] failed.;Vos geôliers vous demandent audience. Ils sont couverts de sang et ils ont apporté avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchainé(e). Ils disent qu'un seul et unique assaillant, [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], a tenté de le(a) libérer. [bodyguard_prison_break.GetSheHeCap] a clairement été envoyé(e) par [FromFrom.GetTitledFirstNameWithDynasty] ! Heureusement les gardes ont résisté et [bodyguard_prison_break.GetSheHe] a échoué.;Vos geôliers vous demandent audience. Ils sont couverts de sang et ils ont apporté avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchainé(e). Ils disent qu'un seul et unique assaillant, [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], a tenté de le(a) libérer. [bodyguard_prison_break.GetSheHeCap] a clairement été envoyé(e) par [FromFrom.GetTitledFirstNameWithDynasty] ! Heureusement les gardes ont résisté et [bodyguard_prison_break.GetSheHe] a échoué.;Vos geôliers vous demandent audience. Ils sont couverts de sang et ils ont apporté avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchainé(e). Ils disent qu'un seul et unique assaillant, [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], a tenté de le(a) libérer. [bodyguard_prison_break.GetSheHeCap] a clairement été envoyé(e) par [FromFrom.GetTitledFirstNameWithDynasty] ! Heureusement les gardes ont résisté et [bodyguard_prison_break.GetSheHe] a échoué.;Tus carceleros te solicitan audiencia. Están cubiertos de sangre y traen con ellos a tu prisionero [From.GetTitledFirstNameWithDynasty] encadenado. Dicen que un único asaltante, [bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName], ha intentado liberarlo y que claramente ha sido enviado por [FromFrom.GetTitledFirstNameWithDynasty]! Afortunadamente los guardias resistieron y el rescate fracasó.;;;;;;;;;x
EVTDESCrescue_prisoner.14B;Your guards enter your cell covered in blood, behind them you notice a [bodyguard_prison_break.GetManWoman] running away wounded. It appears a single assailant tried to covertly break you out! The angry jailors proceed to take you in chains to another cell in [Root.Host.GetTitledFirstName]'s dungeon.;Vos gardes entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez un(e) [bodyguard_prison_break.GetManWoman] blessé(e) qui s'enfuit. Il semble qu'un seul et unique assaillant a tenté de vous libérer ! Les geôliers sont visiblement en colère et il vous enchainent avant de vous déplacer dans un autre cachot de [Root.Host.GetTitledFirstName].;Vos gardes entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez un(e) [bodyguard_prison_break.GetManWoman] blessé(e) qui s'enfuit. Il semble qu'un seul et unique assaillant a tenté de vous libérer ! Les geôliers sont visiblement en colère et il vous enchainent avant de vous déplacer dans un autre cachot de [Root.Host.GetTitledFirstName].;Vos gardes entrent dans votre cellule, couverts de sang. Derrière eux vous apercevez un(e) [bodyguard_prison_break.GetManWoman] blessé(e) qui s'enfuit. Il semble qu'un seul et unique assaillant a tenté de vous libérer ! Les geôliers sont visiblement en colère et il vous enchainent avant de vous déplacer dans un autre cachot de [Root.Host.GetTitledFirstName].;Tus guardias entran en tu celda, cubiertos de sangre. Tras ellos percibes a un [bodyguard_prison_break.GetManWoman] huyendo herido. Parece que un único asaltante ha intentado rescatarte. Los carceleros están visiblemente enfadados y te encadenan antes de trasladarte a otra mazmorra de [Root.Host.GetTitledFirstName].;;;;;;;;;x
EVTDESCrescue_prisoner.1499D;Your jailors seek your audience, and they are all covered in blood, and with them they have your captive [From.GetTitledFirstNameWithDynasty] in chains. They say a lone assailant covertly broke into the cells to try and set [From.GetHerHim] free, but luckily the guards resisted. The [bodyguard_prison_break.GetManWoman] escaped unidentified, clearly someone employed them to do this.;Vos geôliers vous demandent audience. Ils sont couverts de sang et ils ont apporté avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchainé(e). Ils disent qu'un seul et unique assaillant a tenté de le(a) libérer. Heureusement les gars sont parvenus à le(a) repousser. Mais l'(a) [bodyguard_prison_break.GetManWoman] s'est échappé(e) et les gardes ne savent rien de son identité. Mais il est clair qu'il ou elle a été envoyé par quelqu'un.;Vos geôliers vous demandent audience. Ils sont couverts de sang et ils ont apporté avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchainé(e). Ils disent qu'un seul et unique assaillant a tenté de le(a) libérer. Heureusement les gars sont parvenus à le(a) repousser. Mais l'(a) [bodyguard_prison_break.GetManWoman] s'est échappé(e) et les gardes ne savent rien de son identité. Mais il est clair qu'il ou elle a été envoyé par quelqu'un.;Vos geôliers vous demandent audience. Ils sont couverts de sang et ils ont apporté avec eux votre captif(ve) [From.GetTitledFirstNameWithDynasty] qui est enchainé(e). Ils disent qu'un seul et unique assaillant a tenté de le(a) libérer. Heureusement les gars sont parvenus à le(a) repousser. Mais l'(a) [bodyguard_prison_break.GetManWoman] s'est échappé(e) et les gardes ne savent rien de son identité. Mais il est clair qu'il ou elle a été envoyé par quelqu'un.;Tus carceleros te solicitan audiencia. Están cubiertos de sangre y traen con ellos a tu prisionero [From.GetTitledFirstNameWithDynasty] encadenado. Dicen que un único asaltante ha intentado liberarlo. Afortunadamente los guardias consiguieron rechazar el asalto, a pesar de que el [bodyguard_prison_break.GetManWoman] escapó y los guardias no conocen su identidad. Parece claro que ha sido enviado por alguien.;;;;;;;;;x
EVTDESCrescue_prisoner.18B;[bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] successfully rescued [From.GetTitledFirstNameNoRegnal]! [bodyguard_prison_break.GetSheHeCap] covertly entered [From.Location.GetName] and got to the captive's cell without being noticed, and then overpowered the guards outside [From.GetHerHis] cell. [bodyguard_prison_break.GetSheHeCapl] then smuggled [From.GetHerHim] out of [From.Location.GetName] to safety and freedom.;[bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] a secouru [From.GetTitledFirstNameNoRegnal] ! [bodyguard_prison_break.GetSheHeCap] est entré(e) sans se faire remarquer à [From.Location.GetName], s'est rendu jusqu'à la cellule du(e la) captif(ve) et s'est débarassé(e) des gardes. [bodyguard_prison_break.GetSheHeCapl] l'a ensuite fait sortir clandestinement de [From.Location.GetName].;[bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] a secouru [From.GetTitledFirstNameNoRegnal] ! [bodyguard_prison_break.GetSheHeCap] est entré(e) sans se faire remarquer à [From.Location.GetName], s'est rendu jusqu'à la cellule du(e la) captif(ve) et s'est débarassé(e) des gardes. [bodyguard_prison_break.GetSheHeCapl] l'a ensuite fait sortir clandestinement de [From.Location.GetName].;[bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] a secouru [From.GetTitledFirstNameNoRegnal] ! [bodyguard_prison_break.GetSheHeCap] est entré(e) sans se faire remarquer à [From.Location.GetName], s'est rendu jusqu'à la cellule du(e la) captif(ve) et s'est débarassé(e) des gardes. [bodyguard_prison_break.GetSheHeCapl] l'a ensuite fait sortir clandestinement de [From.Location.GetName].;[bodyguard_prison_break.GetTitledFirstName] [bodyguard_prison_break.GetOnlyDynastyName] ha rescatado a [From.GetTitledFirstNameNoRegnal]! Se coló en [From.Location.GetName], llegó hasta la celda del prisionero, se deshizo de los guardias y finalmente, consiguió salir clandestinamente de [From.Location.GetName].;;;;;;;;;x
