job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
EVTDESC_RIP_30224_A;More often than not, you retreat to your chambers in the evening feeling exhausted and weary. Tonight is no exception. Falling asleep is usually easy after a long and taxing day, however recently, sleep seems to elude you. You are sitting in your study, idly moving cyvasse pieces on the board before you, sipping a glass of [Root.GetAlcoholicDrink] hoping that it shall give you the rest you seek.\n\nSuddenly, someone knocks. Who could it be at this hour? Before you can shout at the intruder to leave you alone, the door opens and [From.GetFirstName] strides in. “Good evening, [Root.PrimaryTitle.GetFOA]. I realized that I never introduced myself properly. I am The Stranger, and I am here to collect you.” A dagger is glinting in [From.GetHerHis] hand…;Le plus souvent, vous vous retirez dans votre chambre le soir en vous sentant épuisé(e). Ce soir ne fait pas exception. S'endormir est d'habitude facile après une journée longue et pénible, mais récemment, le sommeil semble vous échapper. Vous êtes assis(s) dans votre bureau, déplaçant des pièces sur l'échiquier devant vous et buvant à petites gorgées un verre de vin dans l'espoir qu'il vous donnera le repos recherché.\n\nSoudainement, quelqu'un frappe. Qui cela pourrait-il être à cette heure ? Avant que vous ne puissiez crier à l'intrus de vous laisser tranquille, la porte s'ouvre et [From.GetFirstName] entre. 'Bonsoir, [Root.PrimaryTitle.GetFOA]. Je me suis rendu compte que je ne m'étais jamais présenté(e) correctement. Je suis l'Etranger et je suis ici pour vous emmener.' Un poignard brille dans sa main...;Meist zieht Ihr Euch Abends erschöpft und müde in Eure Gemächer zurück. Auch heute ist keine Ausnahme. Normalerweise schlaft Ihr nach einem langen, anstrengenden Tag im Nu ein, heute scheint der Schlaf Euch aber nicht zu glücken. Ihr sitzt in Eurem Arbeitszimmer und spielt müßig mit den Schachfiguren auf dem Brett vor Euch und nippt dabei ein Glas Wein, in der Hoffnung, dass es Euch endlich Schlaf schenken möge.\n\nPlötzlich klopft jemand an. Wer könnte das zu dieser Stunde wohl sein? Bevor Ihr rufen könnt, dass der Eindringling Euch in Ruhe lassen möge, öffnet sich die Tür und [From.GetFirstName] tritt ein. „Guten Abend, mein/e [Root.GetLordLady]. Mir ist aufgefallen, dass ich mich nie richtig vorgestellt habe. Ich bin der Tod, und ich bin hier, um Euch abzuholen.“ Ein Dolch glänzt in [From.GetHerHis] Hand …;;Con bastante frecuencia, te retiras a tus aposentos en la noche con sensación de agotamiento y fatiga. Hoy no es excepción. Normalmente es fácil dormir después de un largo y arduo día, pero recientemente el sueño te elude. Estás en tu estudio, moviendo piezas del ajedrez distraídamente ante una copa de vino, esperando que eso te dé el descanso que buscas.\n\nDe repente, alguien llama. ¿Quién será a estas horas? Antes de que puedas gritar al intruso que te deje a solas, la puerta se abre y [From.GetFirstName] entra a zancadas. 'Buenas noches, mi [Root.GetLordLady]' Me he dado cuenta de que nunca me he presentado debidamente. Soy la Muerte, y he venido a por ti.' Una daga reluce en su mano...;;;;;;;;;x
EVTDESC_RIP_30224_B;More often than not, you retreat to your chambers in the evening feeling exhausted and weary. Tonight is no exception. Falling asleep is usually easy after a long and taxing day, however recently, sleep seems to elude you. You are sitting in your study, idly moving cyvasse pieces on the board before you, sipping a glass of [Root.GetAlcoholicDrink] hoping that it shall give you the rest you seek.\n\nSuddenly, you hear a sound behind you, and you turn around in your chair. There stands the [From.GetManWoman] you walked with a few days ago. “Good evening, [Root.PrimaryTitle.GetFOA]. I realized that I never introduced myself properly. I am The Stranger, and I am here to collect you.” A dagger is glinting in [From.GetHerHis] hand…;Le plus souvent, vous vous retirez dans votre chambre le soir en vous sentant épuisé(e). Ce soir ne fait pas exception. S'endormir est d'habitude facile après une journée longue et pénible, mais récemment, le sommeil semble vous échapper. Vous êtes assis(e) dans votre bureau, déplaçant des pièces sur l'échiquier devant vous et buvant à petites gorgées un verre de vin dans l'espoir qu'il vous donnera le repos recherché.\n\nSoudainement, vous entendez un bruit derrière vous et vous vous retournez. La personne avec laquelle vous avez marché il y a quelques jours se tient là, debout. 'Bonsoir, [Root.PrimaryTitle.GetFOA]. Je me suis rendu compte que je ne m'étais jamais présenté(e) correctement. Je suis l'Etranger et je suis ici pour vous emmener.' Un poignard brille dans sa main...;Meist zieht Ihr Euch Abends erschöpft und müde in Eure Gemächer zurück. Auch heute ist keine Ausnahme. Normalerweise schlaft Ihr nach einem langen, anstrengenden Tag im Nu ein, heute scheint der Schlaf Euch aber nicht zu glücken. Ihr sitzt in Eurem Arbeitszimmer und spielt müßig mit den Schachfiguren auf dem Brett vor Euch und nippt dabei ein Glas Wein, in der Hoffnung, dass es Euch endlich Schlaf schenken möge.\n\nPlötzlich hört Ihr hinter Euch ein Geräusch, und Ihr dreht euch in Eurem Stuhl um. Dort steht der/die [From.GetManWoman], mit der/dem Ihr vor einigen Tagen spazieren gegangen seid. „Guten Abend, mein/e [Root.GetLordLady]. Mir ist aufgefallen, dass ich mich nie richtig vorgestellt habe. Ich bin der Tod, und ich bin hier, um Euch abzuholen.“ Ein Dolch glänzt in [From.GetHerHis] Hand …;;Con bastante frecuencia, te retiras a tus aposentos en la noche con sensación de agotamiento y fatiga. Hoy no es excepción. Normalmente es fácil dormir después de un largo y arduo día, pero recientemente el sueño te elude. Estás en tu estudio, moviendo piezas del ajedrez distraídamente ante una copa de vino, esperando que eso te dé el descanso que buscas.\n\nDe repente, oyes un sonido detrás de ti y te giras en tu asiento. Ahí está la persona con quien paseaste hace unos días. 'Buenas noches, mi [Root.GetLordLady]' Me he dado cuenta de que nunca me he presentado debidamente. Soy la Muerte, y he venido a por ti.' Una daga reluce en su mano...;;;;;;;;;x
EVTDESC_RIP_30224_C;More often than not, you retreat to your chambers in the evening feeling exhausted and weary. Tonight is no exception. Falling asleep is usually easy after a long and taxing day, however recently, sleep seems to elude you. You are sitting in your study, idly moving cyvasse pieces on the board before you, sipping a glass of [Root.GetAlcoholicDrink] hoping that it shall give you the rest you seek.\n\nSuddenly, you hear a sound behind you, and you turn around in your chair. There stands a [From.GetManWoman] you have never seen before, a faint smile on [From.GetHerHis] lips. “Good evening, [Root.PrimaryTitle.GetFOA]. I am The Stranger, and I am here to collect you.” A dagger is glinting in [From.GetHerHis] hand…;Le plus souvent, vous vous retirez dans votre chambre le soir en vous sentant épuisé(e). Ce soir ne fait pas exception. S'endormir est d'habitude facile après une journée longue et pénible, mais depuis peu, le sommeil a semblé vous échapper. Vous êtes assis(e) dans votre bureau, déplaçant des pièces sur l'échiquier devant vous et buvant à petites gorgées du vin dans l'espoir qu'il vous permettra de retrouver le repos recherché.\n\nSoudainement, vous entendez un bruit derrière vous et vous vous retournez. Une personne que vous n'avez jamais vue auparavant se tient là, debout, avec un sourire discret. 'Bonsoir, [Root.PrimaryTitle.GetFOA]. Je suis l'Etranger et je suis ici pour vous emmener.' Un poignard brille dans sa main...;Meist zieht Ihr Euch Abends erschöpft und müde in Eure Gemächer zurück. Auch heute ist keine Ausnahme. Normalerweise schlaft Ihr nach einem langen, anstrengenden Tag im Nu ein, heute scheint der Schlaf Euch aber nicht zu glücken. Ihr sitzt in Eurem Arbeitszimmer und spielt müßig mit den Schachfiguren auf dem Brett vor Euch und nippt dabei ein Glas Wein, in der Hoffnung, dass es Euch endlich Schlaf schenken möge.\n\nPlötzlich hört Ihr hinter Euch ein Geräusch, und Ihr dreht euch in Eurem Stuhl um. Dort steht ein/e [From.GetManWoman], den/die Ihr noch nie zuvor gesehen habt. Ein feines Lächeln spielt um [From.GetHerHis] Lippen. „Guten Abend, mein/e [Root.GetLordLady]. Ich bin der Tod, und ich bin hier, um Euch abzuholen.“ Ein Dolch glänzt in [From.GetHerHis] Hand …;;Con bastante frecuencia, te retiras a tus aposentos en la noche con sensación de agotamiento y fatiga. Hoy no es excepción. Normalmente es fácil dormir después de un largo y arduo día, pero recientemente el sueño te elude. Estás en tu estudio, moviendo piezas del ajedrez distraídamente ante una copa de vino, esperando que eso te dé el descanso que buscas.\n\nDe repente, oyes un sonido detrás de ti y te giras en tu asiento. Ves a alguien desconocido con una ligera sonrisa en los labios. 'Buenas noches, mi [Root.GetLordLady]' Soy la Muerte, y he venido a por ti.' Una daga reluce en su mano...;;;;;;;;;x
EVTOPTA_RIP_30224;I… I challenge you to a game of cyvasse!;Je... je vous défie au Cyvosse !;Ich ... ich fordere Euch zu einem Schachspiel heraus!;;Te... ¡Te desafío a una partida de ajedrez!;;;;;;;;;x
EVTOPTA_RIP_30224_TOOLTIP;Attempt to buy yourself time by challenging §Y[From.GetFirstName]§! to a game of cyvasse.;Vous tentez de gagner du temps en défiant §Y[From.GetFirstName]§! à une partie de Cyvosse.;Versucht, Euch Zeit zu kaufen, indem Ihr §Y[From.GetFirstName]§! zu einem Schachspiel herausfordert.;;Tratas de ganar algo de tiempo desafiando a §Y[From.GetFirstName]§! a una partida de ajedrez.;;;;;;;;;x
EVTDESC_RIP_30228_GREAT;In the first few minutes of the game, you manage to advance across the board, taking out several of [From.GetFirstName]'s pieces while barely suffering any losses yourself. As you capture [From.GetHerHis] second trebuchet, [From.GetSheHe] clicks [From.GetHerHis] tongue testily. “Do not get too confident. It is not over yet.”;Durant les premières minutes de la partie, vous réussissez à développer vos pièces sur le plateau et même à vous emparer de quelques pions. Alors que vous prenez encore un second trébuchet, [From.GetSheHe] dit d'un ton irrité 'Ne soyez pas trop confiant(e). Ce n'est pas encore fini.';In den ersten Spielminuten könnt Ihr auf dem Brett vorrücken und mehrere der Figuren von [From.GetFirstName] nehmen, ohne selbst große Verluste zu erleiden. Als Ihr [From.GetHerHis] zweites Pferd schlagt, [From.GetSheHe] schnalzt [From.GetHerHis] verärgert mit der Zunge. „Werdet nicht zu frech. Das ist noch nicht vorbei.“;;En los primeros minutos de partida, logras la ventaja general sobre el tablero y eliminas algunas de las piezas de [From.GetFirstName] sin apenas perder ninguna de las tuyas. Cuando te comes al segundo caballo, [From.GetHerHis] chasquea la lengua de manera irritable. 'No te confíes demasiado. Aún no ha terminado'.;;;;;;;;;x
EVTOPTF_RIP_30229_TOOLTIP;Attempt to make §Y[From.GetFirstName]§! nervous by bragging about your cyvasse skills.;Vous tentez d'augmenter la nervosité de §Y[From.GetFirstName]§! en vantant vos mérites au Cyvosse.;Versucht, §Y[From.GetFirstName]§! nervös zu machen, indem Ihr Eure Schachkünste betont.;;Tratas de alterar los nervios de §Y[From.GetFirstName]§! presumiendo sobre tus dotes para el ajedrez.;;;;;;;;;x
EVTDESC_RIP_30230_BRAG;You almost cannot believe it, but surely it is so – the plan is successful! As you keep playing, you tell [From.GetFirstName] stories about your masterful cyvasse skills, and prove them too by some clever moves. [From.GetSheHeCap] seems to have lost some of [From.GetHerHis] focus.;Vous ne pouvez presque pas le croire, mais... le plan fonctionne ! Alors que vous continuez à jouer, vous racontez à [From.GetFirstName] des histoires sur vos capacités à jouer au Cyvosse hors du commun, tout en le prouvant par des coups judicieux. [From.GetSheHeCap] semble avoir perdu de sa concentration.;Ihr könnt es fast nicht glauben, aber es scheint so zu sein - der Plan ist erfolgreich! Als Ihr weiterspielt, erzählt Ihr [From.GetFirstName] Geschichten über Eure meisterhaften Schachkünste und stellt diese mit cleveren Zügen unter Beweis. [From.GetSheHeCap] scheint sich nicht richtig konzentrieren zu können.;;Casi no te lo crees, pero es así: ¡tu plan funciona! Mientras sigues jugando, le cuentas a [From.GetFirstName] historias sobre tu maestría para el ajedrez, y se lo demuestras con unas cuantas jugadas brillantes. Parece que pierde un poco la concentración.;;;;;;;;;x
EVTDESC_RIP_30230_GOOD_TRICK;You almost cannot believe it, but surely it is so – the plan is successful! The wine spills all over [From.GetFirstName]'s garb. As [From.GetSheHe] rubs a cloth on the huge, red stain, cursing you under [From.GetHerHis] breath, you restore one of your elephants. That was worth getting called a [GetFromRootInsult], for sure!;Vous ne pouvez presque pas le croire, mais... le plan fonctionne ! Le vin se répand sur l'habit de [From.GetFirstName]. Alors qu'[From.GetSheHe] frotte un chiffon sur l'énorme tache rouge, vous maudissant entre ses dents, vous replacez un de vos éléphants ! Cela valait bien la peine d'être traité d'espèce de [GetFromRootInsult] !;Ihr könnt es fast nicht glauben, aber es scheint so zu sein - der Plan ist erfolgreich! Der Wein wird über die ganze Kleidung von [From.GetFirstName] verschüttet. Während [From.GetSheHe] mit einem Tuch den riesigen roten Fleck bearbeitet und dabei vor sich hin flucht, holt Ihr Euch einen Eurer Türme wieder. Das war es mit Sicherheit Wert, ein [GetFromRootInsult] genannt zu werden!;;Casi no te lo crees, pero es así: ¡tu plan funciona! El vino se desparrama por toda la ropa de [From.GetFirstName]. Mientras [From.GetSheHe] se pasa un trapo por la enorme mancha roja, maldiciéndote por lo bajo, tú vuelves a colocar una de tus torres. ¡Merecerá la pena que me llamen [GetFromRootInsult]!;;;;;;;;;x
EVTDESC_RIP_30230_BAD_TRICK;The wine spills all over [From.GetFirstName]'s garb. As [From.GetSheHe] rubs a cloth on the huge, red stain, cursing you under [From.GetHerHis] breath, you attempt to restore one of your elephants. For a moment, you think your move went undetected, but then [From.GetFirstName] scans the board and sighs “Oh, how I despise cheaters…”;Le vin se répand sur l'habit de [From.GetFirstName]. Alors qu'[From.GetSheHe] frotte un chiffon sur l'énorme tache rouge, vous maudissant entre ses dents, vous tentez de replacer un de vos éléphants. Pendant un instant, vous pensez que votre coup était passé inaperçu, mais [From.GetFirstName] examine le plateau et dans un soupir dit 'Oh, comme je méprise la triche.';Der Wein wird über die ganze Kleidung von [From.GetFirstName] verschüttet. Während [From.GetSheHe] mit einem Tuch den riesigen roten Fleck bearbeitet und dabei vor sich hin flucht, versucht Ihr, Euch einen Eurer Türme wieder zu holen. Einen Moment lang glaubt Ihr, Euer Zug blieb unbemerkt, aber dann sieht sich [From.GetFirstName] das Brett an und seufzt: „Ach, wie ich Betrüger hasse ...“;;El vino se desparrama por toda la ropa de [From.GetFirstName]. Mientras [From.GetSheHe] se pasa un trapo por la enorme mancha roja, maldiciéndote por lo bajo, tú tratas de volver a colocar una de tus torres. Por un momento crees que no se ha dado cuenta, pero luego [From.GetFirstName] mira al tablero y suspira 'Ah, cómo odio a los tramposos...'.;;;;;;;;;x
EVTDESC_RIP_30231_GOOD;Never have you met such a tenacious, unnerving opponent and never have so much been at stake. The game is nearing its end, and seemingly against all odds you have the upper hand. [From.GetFirstName] slams your captured catapult down on the table. “I could be persuaded to return this to you, for the right price…”;Jamais vous n'avez eu d'adversaire aussi tenace et troublant, et jamais il n'y eut un tel enjeu. La partie s'approche de la fin, et contre toute attente, vous avez l'avantage. [From.GetFirstName] pose brutalement votre catapulte capturée sur la table. 'Je pourrais accepter de vous la rendre, pour un prix adéquat...';Noch nie ist Euch so ein zäher, gnadenloser Gegner begegnet, und noch nie stand so viel auf dem Spiel. Das Spiel nähert sich dem Ende, und scheinbar entgegen aller Erwartungen hast du die Oberhand. [From.GetFirstName] schmeißt Euren gefangenen Turm auf den Tisch. „Für den richtigen Preis könne ich mich davon überzeugen lassen, Euch das hier zurückzugeben...“;;Nunca te habías enfrentado a un oponente tan tenaz y desconcertante, y nunca te habías jugado tanto. La partida casi ha acabado, y contra toda probabilidad, tú llevas ventaja. [From.GetFirstName] toma la torre que has perdido y la golpea con fuerza sobre el tablero. 'Quizá podrías persuadirme para que te devolviera esto, por un buen precio...'.;;;;;;;;;x
EVTDESC_RIP_30231_NEUTRAL;Never have you met such a tenacious, unnerving opponent and never have so much been at stake. The game is nearing its end, and it is looking even, indeed. [From.GetFirstName] is playing with your captured dragon, smiling confidently. “I could be persuaded to return this to you, for the right price…”;Jamais vous n'avez eu d'adversaire aussi tenace et troublant, et jamais il n'y eut un tel enjeu. La partie s'approche de la fin, et cela semble égal. [From.GetFirstName] s'amuse avec votre dragon capturé, et sourit d'un air assuré. 'Je pourrais accepter de vous la rendre, pour un prix adéquat...';Noch nie ist Euch so ein zäher, gnadenloser Gegner begegnet, und noch nie stand so viel auf dem Spiel. Das Spiel nähert sich dem Ende, und es sieht ausgeglichen aus. [From.GetFirstName] spielt mit deiner gefangenen Dame und lächelt voller Selbstvertrauen. „Für den richtigen Preis könne ich mich davon überzeugen lassen, Euch das hier zurückzugeben...“;;Nunca te habías enfrentado a un oponente tan tenaz y desconcertante, y nunca te habías jugado tanto. La partida casi ha acabado, y parece que estáis igualados. [From.GetFirstName] juega con la reina que te ha robado y sonríe con confianza. 'Quizá podrías persuadirme para que te devolviera esto, por un buen precio...'.;;;;;;;;;x
EVTDESC_RIP_30231_BAD;Never have you met such a tenacious, unnerving opponent and never have so much been at stake. The game is nearing its end, and it is looking grim, indeed. [From.GetFirstName] is playing with your captured dragon, smiling confidently. “I could be persuaded to return this to you, for the right price…”;Jamais vous n'avez eu d'adversaire aussi tenace et troublant, et jamais il n'y eut un tel enjeu. La partie s'approche de la fin, et cela semble très mal engagé. [From.GetFirstName] s'amuse avec votre dragon capturé, et sourit d'un air assuré. 'Je pourrais accepter de vous la rendre, pour un prix adéquat...';Noch nie ist Euch so ein zäher, gnadenloser Gegner begegnet, und noch nie stand so viel auf dem Spiel. Das Spiel nähert sich dem Ende, und es sieht übel aus. [From.GetFirstName] spielt mit deiner gefangenen Dame und lächelt voller Selbstvertrauen. „Für den richtigen Preis könne ich mich davon überzeugen lassen, Euch das hier zurückzugeben...“;;Nunca te habías enfrentado a un oponente tan tenaz y desconcertante, y nunca te habías jugado tanto. La partida casi ha acabado, y no pinta muy bien.[From.GetFirstName] juega con la reina que te ha robado y sonríe con confianza. 'Quizá podrías persuadirme para que te devolviera esto, por un buen precio...'.;;;;;;;;;x
EVTDESC_RIP_30232_GOOD;During the last few moves, it feels as if time is standing still. Random, disjointed thoughts flashes through your mind. Places you once visited, old friends you have not seen in years, dreams you gave up on. Is it too late…? \n\nThen suddenly, you see it. The move. With a shaking hand, you pick up the light horseman and set it down across the board with a soft thud. “Checkmate”, you whisper, looking up into [From.GetFirstName]'s eyes. For the first time this evening, you can really see it, and it chills you to your core. This is no mortal [From.GetManWoman], but the Stranger [From.GetHerselfHimself]. “It seems as if you have outwitted me, [Root.GetFirstName], so I will give you a few more years”, [From.GetSheHe] sighs. ”It is of little consequence, for in the end all come with me.” And then, as you blink, [From.GetSheHe] is gone.;Durant les derniers coups, c'est comme si le temps s'était arrêté. Des souvenirs défilent de manière décousue dans votre esprit. Les endroits que vous avez visités, les amis que vous n'avez pas vus depuis des années, les rêves que vous n'avez pas réalisés. Est-ce trop tard ? \n\nPuis soudainement, vous le voyez. Le coup. D'une main tremblante, vous saisissez le fou et le faites glisser à travers l'échiquier. 'Échec et mat', dites-vous, en regardant [From.GetFirstName] dans les yeux. Pour la première fois, vous pouvez vraiment le voir, et cela vous fait froid dans le dos. Ce n'est pas une personne mortelle, mais l'Etranger lui-même. 'Il semble que vous vous soyez montré(e) plus malin(gne) que moi, [Root.GetFirstName], donc je vous accorde quelques années de plus', soupire-t-[From.GetSheHe]. 'Cela importe peu, puisque tout le monde finit par partir avec moi.' Et puis, alors que vous clignez des yeux, [From.GetSheHe] disparut.;In den letzten Zügen hattet Ihr das Gefühl, die Zeit würde stillstehen. Wirre, unzusammenhängende Gedanken jagen durch Euren Kopf. Orte, die Ihr einst besucht habt, alte Freunde, die Ihr seit Jahren nicht gesehen habt, Träume, die Ihr aufgegeben hattet. Ist es zu spät …? \n\nDann plötzlich seht Ihr ihn. Den Zug. Mit zitternder Hand nehmt ihr den Läufer und setzt ihn am anderen Ende des Brett mit dumpfen Aufprall nieder.  „Schachmatt“, flüstert Ihr und blickt auf in die Augen von [From.GetFirstName]. Zum ersten Mal an diesem Abend könnt Ihr es richtig sehen, und es geht Euch bis ans Herz. Das ist kein/e sterbliche/r [From.GetManWoman], sondern der Tod [From.GetHerselfHimself]. „Anscheinend habt Ihr mich ausmanövriert, [Root.GetFirstName], daher werde ich Euch noch ein paar Jährchen schenken”, seufzt [From.GetSheHe]. „Es macht keinen großen Unterschied, an Ende kommen alle mit mir.“ Und dann, mit einem Blinzeln, ist [From.GetSheHe] weg.;;Durante las últimas jugadas parece como si el tiempo se hubiera detenido. Muchos pensamientos inconexos te pasan por la mente. Lugares que has visitado, viejos amigos que no has visto durante años, o sueños que abandonaste. ¿Es demasiado tarde...?\n\nDe repente, lo ves claro. La jugada. Con mano temblorosa, tomas el alfil y lo colocas sobre el tablero con un suave golpe sordo. 'Jaque mate', susurras mirando a [From.GetFirstName] a los ojos. Por primera vez esta noche puedes verlo, y te hiela hasta la médula. Esta no es una figura mortal cualquiera, sino la mismísima Muerte. 'Parece que has sido más inteligente que yo, [Root.GetFirstName], así que te concederé unos años más', suspira. 'No tiene importancia, pues al final todos vienen junto a mí'. Y entonces, en un abrir y cerrar de ojos, se va.;;;;;;;;;x
RIP.30300.d.highlander;Word has reached you that there is another Immortal, Yin Tar, who is seeking you out. This YiTish has heard of your Immortality and has vowed to put it to an end. While his motivations are unknown, his intentions appear clear and it is only a matter of time until he finds you.;Il paraît qu'il y a un autre immortel, Yin Tar, qui vous recherche. Cet homme qui vient de Yi-Ti a entendu parler de votre immortalité et a juré d'y mettre un terme. Tandis que ses motivations sont inconnues, ses intentions paraissent claires et ce n'est qu'une affaire de temps avant qu'il ne vous trouve.;Ihr habt Gerüchte vernommen, dass es einen anderen Unsterblichen gibt, [immortal_rival.GetFirstName], der nach Euch sucht. Dieser Spanier hat von Eurer Unsterblichkeit gehört, und geschworen, ihr ein Ende zu setzen. Seine Motive sind zwar unbekannt, seine Absichten jedoch eindeutig und es ist nur eine Frage der Zeit, bis er Euch findet.;;Oyes rumores de que hay otro Inmortal, [immortal_rival.GetFirstName], que te está buscando. Dicho español ha oído sobre tu inmortalidad y ha jurado ponerle fin. Aunque se desconocen sus motivos, sus intenciones sí están claras, y solo es cuestión de tiempo que dé con tu paradero.;;;;;;;;;x
RIP.30300.d.evildude;Word of a monstrous man has reached you. This sadistic creature, known as Urras, is also Immortal and has dedicated his long life to inflicting cruelty upon others in the most terrible ways he can imagine. Rumors say his cruelty is only outmatched by his all-consuming jealousy, and hearing of another Immortal has driven him into a frothing rage. If these rumors are to be believed, he is certain track you down and attempt to kill you sooner rather than later...;Des rumeurs vous sont parvenues au sujet d'un homme monstrueux. Cet être sadique, qui s'appelle Uran, est aussi un immortel et il a passé sa longue vie à infliger aux autres les sévices les plus horribles qui puissent être. Sa cruauté est seulement surpassée par sa jalousie dévorante, et entendre parler d'un autre immortel l'aurait fait écumer de rage. Il serait même à votre recherche afin de vous tuer le plus vite possible.;Ihr habt Gerüchte über einen monströsen Menschen vernommen. Dieses sadistische Wesen ist als [immortal_rival.GetFirstName] bekannt. Er ist auch ein Unsterblicher und hat sein langes Leben dazu gewidmet, anderen auf die schrecklichst mögliche Weise Grausamkeiten zuzufügen. Gerüchten zufolge wird seine Grausamkeit nur von einer alles verzehrenden Eifersucht übertroffen. Er hat gehört, dass es noch einen anderen Unsterblichen gibt und ist in schäumenden Wahn ausgebrochen. Wenn man diesen Gerüchten Glauben schenken kann, wird er Euch mit Sicherheit ausfindig machen und früher oder später versuchen, Euch zu töten ...;;Te han llegado rumores de un hombre monstruoso. Dicha criatura sádica, conocida como [immortal_rival.GetFirstName], también es Inmortal y ha dedicado su larga vida a derrochar crueldad sobre los demás de una manera inimaginable. Se rumorea que su crueldad es tanta como su envidia obsesiva, y al saber de la existencia de otro Inmortal, se ha despertado una ira irrefrenable en su ser. Si los rumores son ciertos, no cabe duda de que hallará tu paradero y tratará de matarte antes o después...;;;;;;;;;x
RIP.30300.d.goodguy;Of late you have been hearing tales of another Immortal, Hugor. This man, this paragon of goodness, seems to have devoted his life to helping others and righting wrongs. It seems like a dull life, but everyone needs a hobby you suppose. You have never considered yourself a bad sort, perhaps a little boisterous at times, but [immortal_rival.GetFirstName] seems to have some kind of grudge against you. Phrases such as 'ending the reign of terror' and 'stopping the unending bloodshed' have been bandied about. It all seems very excessive.;Dernièrement, vous avez entendu des histoires au sujet d'un Immortel, [immortal_rival.GetFirstName]. Cet homme, ce parangon de bonté, semble avoir consacré sa vie à aider les autres et redresser les torts. Cela a l'air d'être une vie terne, mais vous supposez que tout le monde a besoin d'un passe-temps. Vous n'avez jamais pensé vous-même une mauvaise personne, peut-être un peu turbulent parfois, mais [immortal_rival.GetFirstName] semble avoir une sorte de rancune envers vous. Des expressions telles que 'mettre fin au règne de la terreur' et 'arrêter l'interminable effusion de sang' ont été avancées. Tout cela semble très excessif.;In letzter Zeit sind Euch Geschichten über einen anderen Unsterblichen, [immortal_rival.GetFirstName], zu Ohren gekommen. Dieser Mann, ein wahrer Tugendbold, scheint sein Leben dazu zu widmen, anderen zu helfen und Fehler wieder gut zu machen. Scheint ein sehr ödes Leben zu sein, aber jeder braucht wohl ein Hobby. Ihr habt Euch nie selbst für schlecht gehalten, vielleicht hin und wieder etwas übermütig, aber [immortal_rival.GetFirstName] scheint anscheinend was gegen Euch zu haben. Phrasen wie „der Terrorherrschaft ein Ende setzen“, und „das endlose Blutvergießen beenden“ scheinen in aller Munde zu sein. Scheint alles sehr übertrieben.;;Últimamente has oído historias sobre otro ser Inmortal, [immortal_rival.GetFirstName]. Ese ser, ese ejemplo de bondad, parece haber dedicado su vida a ayudar a los demás y a resarcir sus errores. Podría parecer una vida insulsa, pero supones que todos necesitamos una ocupación. Nunca te has considerado mala persona, quizás un poco beligerante a veces, pero [immortal_rival.GetFirstName] siente algún tipo de rencor por ti. Ha mencionado frases como 'terminar con la era del terror' y 'detener este baño de sangre eterno'. Parece excesivo.;;;;;;;;;x
RIP.30300.d.shieldmaiden;Bards sing of a warrior-maiden named Nymeria, or perhaps she is a god walking the earth. Regardless, it is said she is another Immortal and that she thrives on battle. In the most popular ballad she fights her greatest duel against an immortal dragon rider named Aurion, and after her victory she weeps because she will never again find such a worthy foe. If these tales are true, she may well seek you out and challenge you to a duel.;Les bardes chantent les exploits de Nymeria, une princesse-guerrière foulant la terre. Quoi qu'il en soit, il est dit que c'est une immortelle et qu'elle se nourrit de batailles. Dans la ballade la plus populaire, elle se bat dans son plus grand duel contre un homme immortel chevaucheur de dragon nommé Aurion, et après sa victoire, elle pleure parce qu'elle ne trouvera jamais à nouveau un tel adversaire. Si ces histoires sont vraies, elle pourrait bien vous être à votre recherche pour vous défier en duel.;Die Barden singen von einer Schildmaid namens [immortal_rival.GetFirstName], oder vielleicht ist sie eine Walküre auf Erden. Egal, sie soll eine andere Unsterbliche sein, die im Kampf aufblüht. In der beliebtesten Ballade kämpft sie ihr größtes Duell gegen einen Unsterblichen namens Caine, und nach ihrem Sieg weint sie, weil sie nie wieder einen so galanten Gegner finden wird. Sollten diese Geschichten stimmen, kann es gut sein, dass sie Euch aufsucht und zu einem Duell herausfordert.;;Los bardos cantan sobre una doncella escudera llamada [immortal_rival.GetFirstName], aunque quizás sea una valkiria que ha bajado a la tierra. Bueno, da igual. Dicen que es otra Inmortal y que la guerra le ayuda a prosperar. La balada más popular cuenta que en su mejor duelo se enfrenta a un Inmortal llamado Caine, y que tras su victoria llora porque nunca encontrará a un enemigo tan respetable. Si la historia es cierta, podría buscarte a ti y desafiarte a un duelo.;;;;;;;;;x
TOOLTIPRIP.39302;You duel the immortal...;Vous vous battez en duel avec l'immortel…;;;;;;;;;;;;x
EVTNAME_RIP_30232;Dealings with The Stranger;Un marché avec l'Etranger;Verhandlungen mit dem Tod;;Tratos con la Muerte;;;;;;;;;x
typhoid_fever;Winter Fever;Fièvre d'hiver;Schleichendes Fieber;;Fiebre tifoidea;;;;;;;;;x
