#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_increase_demesne_5_title;Increase Size of Demesne;Agrandir la taille du domaine;Ländereien vergrößern;Increase Size of Demesne;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_5_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;La taille de ses terres ne satisfait pas [This.GetTitledFirstName]. ;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] no está satisfecho con el tamaño de sus tierras.;;;;;;;;;x
obj_increase_demesne_6_title;Increase Size of Demesne;Agrandir la taille du domaine;Ländereien vergrößern;Increase Size of Demesne;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_6_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;La taille de ses terres ne satisfait pas [This.GetTitledFirstName]. ;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] no está satisfecho con el tamaño de sus tierras.;;;;;;;;;x
obj_increase_demesne_7_title;Increase Size of Demesne;Agrandir la taille du domaine;Ländereien vergrößern;Increase Size of Demesne;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_7_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;La taille de ses terres ne satisfait pas [This.GetTitledFirstName]. ;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] no está satisfecho con el tamaño de sus tierras.;;;;;;;;;x
obj_increase_demesne_8_title;Increase Size of Demesne;Agrandir la taille du domaine;Ländereien vergrößern;Increase Size of Demesne;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_8_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;La taille de ses terres ne satisfait pas [This.GetTitledFirstName]. ;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] no está satisfecho con el tamaño de sus tierras.;;;;;;;;;x
obj_increase_demesne_9_title;Increase Size of Demesne;Agrandir la taille du domaine;Ländereien vergrößern;Increase Size of Demesne;Aumentar el tamaño de la heredad;;;;;;;;;x
obj_increase_demesne_9_desc;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;La taille de ses terres ne satisfait pas [This.GetTitledFirstName]. ;[This.GetTitledFirstName] ist nicht mit der größe der Länderreien von [This.GetHerHis] zufrieden.;[This.GetTitledFirstName] is not satisfied with the size of [This.GetHerHis] lands.;[This.GetTitledFirstName] no está satisfecho con el tamaño de sus tierras.;;;;;;;;;x
obj_five_children_title;Have Five Children;Avoir cinq enfants;Bekommen sie fünf Kinder;Have Five Children;Tener cinco hijos;;;;;;;;;x
obj_five_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] veut une grande famille et de nombreux enfants pour perpétuer sa lignée.;[This.GetTitledFirstName]will eine große Familie und viele Kinder um das Vermächtnis der [This.GetHerHis]fortzusetzen.;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] quiere una gran familia y muchos niños para perpetuar su linaje.;;;;;;;;;x
obj_ten_children_title;Have Ten Children;Avoir dix enfants;Bekommen sie zehn Kinder;Have Ten Children;Tener diez hijos;;;;;;;;;x
obj_ten_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] veut une grande famille et de nombreux enfants pour perpétuer sa lignée.;[This.GetTitledFirstName]will eine große Familie und viele Kinder um das Vermächtnis der [This.GetHerHis]fortzusetzen.;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] quiere una gran familia y muchos niños para perpetuar su linaje.;;;;;;;;;x
obj_fifteen_children_title;Have Fifteen Children;Avoir quinze enfants;Bekommen sie fünfzehn Kinder;Have Fifteen Children;Tener quince hijos;;;;;;;;;x
obj_fifteen_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] veut une grande famille et de nombreux enfants pour perpétuer sa lignée.;[This.GetTitledFirstName]will eine große Familie und viele Kinder um das Vermächtnis der [This.GetHerHis]fortzusetzen.;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] quiere una gran familia y muchos niños para perpetuar su linaje.;;;;;;;;;x
obj_twenty_children_title;Have Twenty Children;Avoir vingt enfants;Bekommen sie zwanzig Kinder;Have Twenty Children;Tener veinte hijos;;;;;;;;;x
obj_twenty_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] veut une grande famille et de nombreux enfants pour perpétuer sa lignée.;[This.GetTitledFirstName]will eine große Familie und viele Kinder um das Vermächtnis der [This.GetHerHis]fortzusetzen.;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;[This.GetTitledFirstName] quiere una gran familia y muchos niños para perpetuar su linaje.;;;;;;;;;x
obj_find_lover_title;Fall in Love;Tomber amoureux;Legen Sie sich einen Liebhaber zu;Fall in Love;Enamorarse;;;;;;;;;x
obj_find_lover_desc;[This.GetTitledFirstName] desires romance and passion.;[This.GetTitledFirstName] veut de la romance et de la passion.;[This.GetTitledFirstName] wünscht sich die Romantik und die Leidenschaft einer Liebelei.;[This.GetTitledFirstName] desires romance and passion.;[This.GetTitledFirstName] desea romance y pasión.;;;;;;;;;x
obj_become_independent_title;Become Independent;Devenir indépendant;Werden Sie unabhängig;Become Independent;Convertirse en independiente;;;;;;;;;x
obj_become_independent_desc;[This.GetTitledFirstName] desires independence from [This.GetHerHis] tyrannical liege.;[This.GetTitledFirstName] souhaite acquérir son indépendance vis-à-vis de [This.GetHerHis] suzerain(e) tyrannique.;[This.GetTitledFirstName] verlangt unabhängigkeit von der Tyrannei [This.GetHerHis] .;[This.GetTitledFirstName] desires independence from [This.GetHerHis] tyrannical liege.;[This.GetTitledFirstName] desea independizarse de su tiránico señor.;;;;;;;;;x
war_of_independence;War of Independence;Guerre d'indépendance;Unabhängigkeitskrieg;War of Independence;Guerra de independencia;;;;;;;;;x
war_of_independence_desc;Freedom shall be ours!;La liberté est à nous !;Die Freiheit soll unser sein!;Freedom shall be ours!;La libertad será nuestra!;;;;;;;;;x
temple_tax_0;Minimal Faith Taxes;Taxes de la Foi minimales;Minimale Kirchensteuern;;Impuestos a la Fe mínimos;;;;;;;;;x
temple_tax_0_option;Min;Minimum;Minimal;;Mínimos;;;;;;;;;x
temple_tax_0_desc;Landed Priests are expected to make a minimal financial contribution to the greater good of the realm.;On attend une contribution financière minimale de la part des septons possessionnés pour le bien du Royaume.;Wie man erwartet, leisten Landpriester einen minimalen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera mínima por parte de los septones con tierras por el bien del Reino.;;;;;;;;;x
temple_tax_1;Small Faith Taxes;Impôts de la Foi faibles;Kleine Kirchensteuern;;Impuestos a la Fe pequeños;;;;;;;;;x
temple_tax_1_option;Small;Faibles;Klein;;Pequeños;;;;;;;;;x
temple_tax_1_desc;Landed Priests are expected to make a small financial contribution to the greater good of the realm.;On attend une faible contribution financière de la part des septons possessionnés pour le bien du Royaume.;Wie man erwartet, leisten Landpriester einen kleinen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera pequeña por parte de los septones con tierras por el bien del Reino.;;;;;;;;;x
temple_tax_2;Medium Faith Taxes;Impôts de la Foi normaux;Mittlere Kirchensteuern;;Impuestos a la Fe normales;;;;;;;;;x
temple_tax_2_option;Medium;Normaux;Mittel;;Normales;;;;;;;;;x
temple_tax_2_desc;Landed Priests are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des septons possessionnés pour le bien du Royaume.;Wie man erwartet, leisten Landpriester einen gemäßigten Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera normal por parte de los septones con tierras por el bien del Reino.;;;;;;;;;x
temple_tax_3;Large Faith Tax;Impôts de la Foi importants;Hohe Kirchensteuern;;Impuestos a la Fe altos;;;;;;;;;x
temple_tax_3_option;Large;Importants;Hoch;;Altos;;;;;;;;;x
temple_tax_3_desc;Landed Priests are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des septons possessionnés pour le bien du Royaume.;Wie man erwartet, leisten Landpriester einen wesentlichen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera alta por parte de los septones con tierras por el bien del Reino.;;;;;;;;;x
temple_tax_4;Harsh Faith Tax;Impôts de la Foi lourds;Strenge Kirchensteuern;;Impuestos a la Fe severos;;;;;;;;;x
temple_tax_4_option;Harsh;Lourds;Streng;;Severos;;;;;;;;;x
temple_tax_4_desc;Landed Priests are expected to make a large financial contribution to the greater good of the realm.;On attend une contribution financière importante de la part des septons possessionnés pour le bien du Royaume.;Wie man erwartet, leisten Landpriester einen großen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera severa por parte de los septones con tierras por el bien del Reino.;;;;;;;;;x
city_tax_0;Minimal City Taxes;Impôts des villes minimaux;Minimale Stadtsteuern;;Impuestos de la villa mínimos;;;;;;;;;x
city_tax_0_option;Min;Minimum;Minimal;;Mínimos;;;;;;;;;x
city_tax_0_desc;The Burghers are expected to make a minimal financial contribution to the greater good of the realm.;On attend une contribution financière minimale de la part des bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen minimalen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera mínima por parte de los burgueses por el bien del Reino.;;;;;;;;;x
city_tax_1;Small City Taxes;Impôts des villes faibles;Kleine Stadtsteuern;;Impuestos de la villa pequeños;;;;;;;;;x
city_tax_1_option;Small;Faibles;Klein;;Pequeños;;;;;;;;;x
city_tax_1_desc;The Burghers are expected to make a small financial contribution to the greater good of the realm.;On attend une faible contribution financière minimale de la part des bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen kleinen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera pequeña por parte de los burgueses por el bien del Reino.;;;;;;;;;x
city_tax_2;Medium City Taxes;Impôts des villes normaux;Mittlere Stadtsteuern;;Impuestos de la villa normales;;;;;;;;;x
city_tax_2_option;Medium;Normaux;Mittel;;Normales;;;;;;;;;x
city_tax_2_desc;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen gemäßigten Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera normal por parte de los burgueses por el bien del Reino.;;;;;;;;;x
city_tax_3;Large City Tax;Impôts des villes importants.;Hohe Stadtsteuern;;Impuestos de la villa altos;;;;;;;;;x
city_tax_3_option;Large;Importants;Hoch;;Altos;;;;;;;;;x
city_tax_3_desc;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen wesentlichen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera alta por parte de los burgueses por el bien del Reino.;;;;;;;;;x
city_tax_4;Harsh City Tax;Impôts des villes lourds;Strenge Stadtsteuern;;Impuestos de la villa severos;;;;;;;;;x
city_tax_4_option;Harsh;Lourds;Streng;;Severos;;;;;;;;;x
city_tax_4_desc;The Burghers are expected to make a large financial contribution to the greater good of the realm.;On attend une contribution financière importante de la part des bourgeois pour le bien du Royaume.;Die Bürger müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten.;;Esperamos una contribución financiera severa por parte de los burgueses por el bien del Reino.;;;;;;;;;x
feudal_tax_0;Minimal Feudal Taxes;Impôts féodaux minimaux;Minimale Feudalsteuern;;Impuestos feudales mínimos;;;;;;;;;x
feudal_tax_0_option;Min;Minimum;Minimal;;Mínimos;;;;;;;;;x
feudal_tax_0_desc;Feudal Lords expected to make a minimal financial contribution to the greater good of the realm.;On attend une contribution financière minimale de la part des seigneurs féodaux pour le bien du Royaume.;Feudal Lords expected to make a minimal financial contribution to the greater good of the realm.;;Esperamos una contribución financiera mínima por parte de los señores feudales por el bien del Reino.;;;;;;;;;x
feudal_tax_1;Small Feudal Taxes;Impôts féodaux faibles;Kleine Feudalsteuern;;Impuestos feudales pequeños;;;;;;;;;x
feudal_tax_1_option;Small;Faibles;Klein;;Pequeños;;;;;;;;;x
feudal_tax_1_desc;Feudal Lords are expected to make a small financial contribution to the greater good of the realm.;On attend une faible contribution financière de la part des seigneurs féodaux pour le bien du Royaume.;Wie man erwartet, leisten Feudalherren einen kleinen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera pequeña por parte de los señores feudales por el bien del Reino.;;;;;;;;;x
feudal_tax_2;Medium Feudal Taxes;Impôts féodaux normaux;Mittlere Feudalsteuern;;Impuestos feudales normales;;;;;;;;;x
feudal_tax_2_option;Medium;Normaux;Mittel;;Normales;;;;;;;;;x
feudal_tax_2_desc;Feudal Lords are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des seigneurs féodaux pour le bien du Royaume.;Wie man erwartet, leisten Feudalherren einen gemäßigten Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera normal por parte de los señores feudales por el bien del Reino.;;;;;;;;;x
feudal_tax_3;Large Feudal Tax;Impôts féodaux importants;Hohe Feudalsteuern;;Impuestos feudales altos;;;;;;;;;x
feudal_tax_3_option;Large;Importants;Hoch;;Altos;;;;;;;;;x
feudal_tax_3_desc;Feudal Lords are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des seigneurs féodaux pour le bien du Royaume.;Wie man erwartet, leisten Feudalherren einen wesentlichen Finanzbeitrag zum größeren Nutzen des Bereichs.;;Esperamos una contribución financiera alta por parte de los señores feudales por el bien del Reino.;;;;;;;;;x
feudal_tax_4;Harsh Feudal Tax;Impôts féodaux lourds;Strenge Feudalsteuern;;Impuestos feudales severos;;;;;;;;;x
feudal_tax_4_option;Harsh;Lourds;Streng;;Severos;;;;;;;;;x
feudal_tax_4_desc;Feudal Lords are expected to make a large financial contribution to the greater good of the realm.;On attend une contribution financière importante de la part des seigneurs féodaux pour le bien du Royaume.;Die Bürger müssen für das allgemeine Wohl des Reichs einen großen finanziellen Beitrag leisten.;;Esperamos una contribución financiera severa por parte de los señores feudales por el bien del Reino.;;;;;;;;;x
feudal_contract_0;Minimal Feudal Levies;Troupes féodales minimales;Minimale Feudalaushebungen;Minimal Feudal Levies;Levas feudales mínimas;;Minimal Feudal Levies;;;;;;;x
feudal_contract_0_option;Min;Minimum;Minimal;;Mínimas;;;;;;;;;x
feudal_contract_0_desc;Feudal Lords may retain their entire levies for themselves.;Les seigneurs féodaux peuvent conserver l'intégralité de leurs troupes pour eux-mêmes.;Feudalherren können ihre kompletten Erhebungen für sich selbst behalten.;;Los Señores Feudales pueden conservar la totalidad de sus levas.;;;;;;;;;x
feudal_contract_1;Small Feudal Levies;Troupes féodales faibles;Kleine Feudalaushebungen;;Levas feudales pequeñas;;;;;;;;;x
feudal_contract_1_option;Small;Faible;Klein;;Pequeñas;;;;;;;;;x
feudal_contract_1_desc;Feudal Lords may retain almost their entire levies for themselves.;Les seigneurs féodaux peuvent conserver la quasi-intégralité de leurs troupes pour eux-mêmes.;Feudalherren können fast ihre kompletten Erhebungen für sich selbst behalten.;;Los Señores Feudales pueden conservar casi la totalidad de sus levas.;;;;;;;;;x
feudal_contract_2;Medium Feudal Levies;Troupes féodales normales;Mittlere Feudalaushebungen;;Levas feudales normales;;;;;;;;;x
feudal_contract_2_option;Medium;Normales;Mittel;;Normales;;;;;;;;;x
feudal_contract_2_desc;Feudal Lords may retain the majority of their levies for themselves.;Les seigneurs féodaux peuvent conserver la majorité de leurs troupes pour eux-mêmes.;Feudalherren können die Mehrheit ihrer Erhebungen für sich selbst behalten.;;Los Señores Feudales pueden conservar la mayoría de sus levas.;;;;;;;;;x
feudal_contract_3;Large Feudal Levies;Troupes féodales importantes;Hohe Feudalaushebungen;;Levas feudales altas;;;;;;;;;x
feudal_contract_3_option;Large;Importantes;Hoch;;Altas;;;;;;;;;x
feudal_contract_3_desc;Feudal Lords may retain a significant portion of their levies for themselves.;Les seigneurs féodaux peuvent conserver une portion significative de leurs troupes pour eux-mêmes.;Feudalherren können einen bedeutenden Teil ihrer Erhebungen für sich selbst behalten.;;Los Señores Feudales pueden conservar una parte significativa de sus levas.;;;;;;;;;x
feudal_contract_4;Maximum Feudal Levies;Troupes féodales maximales;Maximale Feudalaushebungen;;Levas feudales máximas;;;;;;;;;x
feudal_contract_4_option;Max;Maximales;Maximal;;Máximas;;;;;;;;;x
feudal_contract_4_desc;Feudal Lords are obliged to provide a large portion of their levy.;Les seigneurs féodaux sont obligés de fournir une importante portion de leurs troupes.;Feudalherren sind verpflichtet, einen großen Teil ihrer Erhebung zur Verfügung zu stellen.;;Los Señores Feudales están obligados a ceder una parte importante de sus levas.;;;;;;;;;x
city_contract_0;Minimal City Levies;Troupes citadines minimales;Minimale Stadtaushebungen;Minimal City Levies;Levas de la villa mínimas;;Minimal City Levies;;;;;;;x
city_contract_0_option;Min;Minimales;Minimal;;Mínimas;;;;;;;;;x
city_contract_0_desc;The Burghers may retain their entire levies for themselves.;Les bourgeois peuvent conserver l'intégralité de leurs troupes pour eux-mêmes. ;Die Bürger können ihre kompletten Erhebungen für sich selbst behalten.;;Los burgueses pueden conservar la totalidad de sus levas.;;;;;;;;;x
city_contract_1;Small City Levies;Troupes citadines faibles;Kleine Stadtaushebungen;;Levas de la villa pequeñas;;;;;;;;;x
city_contract_1_option;Small;Faibles;Klein;;Pequeñas;;;;;;;;;x
city_contract_1_desc;The Burghers may retain almost their entire levies for themselves.;Les bourgeois peuvent conserver presque l'intégralité de leurs troupes pour eux-mêmes. ;Die Bürger können fast ihre kompletten Erhebungen für sich selbst behalten.;;Los burgueses pueden conservar casi la totalidad de sus levas.;;;;;;;;;x
city_contract_2;Medium City Levies;Troupes citadines normales;Mittlere Stadtaushebungen;;Levas de la villa normales;;;;;;;;;x
city_contract_2_option;Medium;Normales;Mittel;;Normales;;;;;;;;;x
city_contract_2_desc;The Burghers may retain the majority of their levies for themselves.;Les bourgeois peuvent conserver la majorité de leurs troupes pour eux-mêmes. ;Die Bürger können die Mehrheit ihrer Erhebungen für sich selbst behalten.;;Los burgueses pueden conservar la mayoría de sus levas.;;;;;;;;;x
city_contract_3;Large City Levies;Troupes citadines importantes;Hohe Stadtaushebungen;;Levas de la villa altas;;;;;;;;;x
city_contract_3_option;Large;Importantes;Hoch;;Altas;;;;;;;;;x
city_contract_3_desc;The Burghers may retain a significant portion of their levies for themselves.;Les bourgeois peuvent conserver une portion significative de leurs troupes pour eux-mêmes. ;Die Bürger können einen bedeutenden Teil ihrer Erhebungen für sich selbst behalten.;;Los burgueses pueden conservar una parte significativa de sus levas.;;;;;;;;;x
city_contract_4;Maximum City Levies;Troupes citadines maximales;Maximale Stadtaushebungen;;Levas de la villa máximas;;;;;;;;;x
city_contract_4_option;Max;Maximales;Maximal;;Máximas;;;;;;;;;x
city_contract_4_desc;The Burghers are obliged to provide a large portion of their levy.;Les bourgeois sont obligés de fournir une importante portion de leurs troupes.;Die Bürger sind verpflichtet, einen großen Teil ihrer Erhebung zur Verfügung zu stellen.;;Los burgueses están obligados a ceder una parte importante de sus levas.;;;;;;;;;x
temple_contract_0;Minimal Faith Levies;Troupes de la Foi minimales;Minimale Kirchaushebungen;Minimal Septs Levies;Levas de la Fe mínimas;;Minimal Septs Levies;;;;;;;x
temple_contract_0_option;Min;Minimales;Minimal;;Mínimas;;;;;;;;;x
temple_contract_0_desc;Landed Priests may retain their entire levies for themselves.;Les septons possessionnés peuvent conserver l'intégralité de leurs troupes pour eux-mêmes. ;Landpriester können ihre kompletten Erhebungen für sich selbst behalten.;;Los septones pueden conservar la totalidad de sus levas.;;;;;;;;;x
temple_contract_1;Small Faith Levies;Troupes de la Foi faibles;Kleine Kirchaushebungen;;Levas de la Fe pequeñas;;;;;;;;;x
temple_contract_1_option;Small;Faibles;Klein;;Pequeñas;;;;;;;;;x
temple_contract_1_desc;Landed Priests may retain almost their entire levies for themselves.;Les septons possessionnés peuvent conserver presque l'intégralité de leurs troupes pour eux-mêmes. ;Landpriester können fast ihre kompletten Erhebungen für sich selbst behalten.;;Los septones pueden conservar casi la totalidad de sus levas.;;;;;;;;;x
temple_contract_2;Medium Faith Levies;Troupes de la Foi normales;Mittlere Kircherhebungen;;Levas de la Fe normales;;;;;;;;;x
temple_contract_2_option;Medium;Normales;Mittel;;Normales;;;;;;;;;x
temple_contract_2_desc;Landed Priests may retain the majority of their levies for themselves.;Les septons possessionnés peuvent conserver la majorité de leurs troupes pour eux-mêmes. ;Landpriester können die Mehrheit ihrer Erhebungen für sich selbst behalten.;;Los septones pueden conservar la mayoría de sus levas.;;;;;;;;;x
temple_contract_3;Large Faith Levies;Troupes de la Foi importantes;Hohe Kirchaushebungen;;Levas de la Fe altas;;;;;;;;;x
temple_contract_3_option;Large;Importantes;Hoch;;Altas;;;;;;;;;x
temple_contract_3_desc;Landed Priests may retain a significant portion of their levies for themselves.;Les septons possessionnés peuvent conserver une portion importante de leurs troupes pour eux-mêmes. ;Landpriester können einen bedeutenden Teil ihrer Erhebungen für sich selbst behalten.;;Los septones pueden conservar una parte significativa de sus levas.;;;;;;;;;x
temple_contract_4;Maximum Faith Levies;Troupes de la Foi maximales;Maximale Kirchaushebungen;;Levas de la Fe máximas;;;;;;;;;x
temple_contract_4_option;Max;Maximales;Maximal;;Máximas;;;;;;;;;x
temple_contract_4_desc;Landed Priests are obliged to provide a large portion of their levy.;Les septons possessionnés sont obligés de fournir une importante portion de leurs troupes;Landpriester sind verpflichtet, einen großen Teil ihrer Erhebung zur Verfügung zu stellen.;;Los septones están obligados a ceder una parte importante de sus levas.;;;;;;;;;x
centralization_0;Autonomous Vassals;Vassaux autonomes;Autonome Vasallen;;Vasallos autónomos;;;;;;;;;x
centralization_0_option;Min;Minimum;Minimal;;Mínima;;;;;;;;;x
centralization_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms.;Les vassaux imposent leur loi et dirigent leurs fiefs comme s’il s’agissait de petits royaumes. Leurs obligations envers leur suzerain sont minimes.;Vasallen sind ihre eigenen Gesetzgeber und beherrschen ihre Lehen wie kleine Königreiche. Ihre Verpflichtungen ihrem Lehnsherrn gegenüber sind minimal.;;Los vasallos tienen sus propias leyes y gobiernan sus feudos como si fueran pequeños reinos. Sus obligaciones hacia su señor son mínimas.;;;;;;;;;x
centralization_1;Limited Realm Authority;Autorité de la couronne minimum;Einschränkte Kronautorität;;Autoridad de la Corona limitada;;;;;;;;;x
centralization_1_option;Low;Faible;Gering;;Baja;;;;;;;;;x
centralization_1_desc;Vassals enjoy a very large degree of autonomy.;Les vassaux jouissent d’une très grande autonomie, mais doivent fournir à leur suzerain des troupes.;Vasallen erfreuen sich sehr großer Autonomie, müssen ihrem Lehnsherrn aber ein ziemlich beträchtliches Wehrpflichtigenkontingent zur Verfügung stellen.;;Los vasallos gozan de mucha autonomía, pero tienen que proporcionar levas suficientes a su señor.;;;;;;;;;x
centralization_2;Medium Realm Authority;Autorité de la couronne intermédiaire;Moderate Kronautorität;;Autoridad de la Corona media;;;;;;;;;x
centralization_2_option;Medium;Intermédiaire;Moderat;;Media;;;;;;;;;x
centralization_2_desc;The powers of the nobility and the monarch are in precarious balance. Vassals can no longer wage private wars within the realm.;Les pouvoirs de la noblesse et du monarque reposent sur un équilibre précaire. Les vassaux ne peuvent plus livrer de guerres privées au sein du royaume.;Die Macht des Adels und des Monarchen liegen in einem prekären Gleichgewicht. Vasallen können keine Privatkriege innerhalb des Reichs führen.;;El poder de la nobleza y el del monarco están en precario equilibrio. Los vasallos ya no podrán declarar guerras en el reino.;;;;;;;;;x
centralization_3;High Realm Authority;Haute autorité de la couronne;Hohe Kronautorität;;Autoridad de la Corona alta;;;;;;;;;x
centralization_3_option;High;Haute;Hoch;;Alta;;;;;;;;;x
centralization_3_desc;The monarch has curbed the rights of the high nobility, relying instead on a budding bureaucracy led by the lesser nobility.;Le monarque a limité les droits de la haute noblesse, préférant s’appuyer sur une bureaucratie aux mains d’une noblesse de moindre naissance.;Der Monarch hat die Rechte des Hochadels beschränkt und verlässt sich mehr auf die aufkeimende, vom niederen Adel geführte Bürokratie.;;El monarca ha limitado los derechos de la alta nobleza y, en su lugar, confía en una burocracia en ciernes dirigida por la baja nobleza.;;;;;;;;;x
centralization_4;Absolute Realm Authority;Autorité de la couronne absolue;Absolute Kronautorität;;Autoridad de la Corona absoluta;;;;;;;;;x
centralization_4_option;Max;Maximum;Maximal;;Absoluta;;;;;;;;;x
centralization_4_desc;The Lords of the Realm are chafing under the unrestricted powers of the absolute monarch.;Les seigneurs du royaume doivent se plier aux pouvoirs illimités du monarque absolu.;Die Fürsten des Reichs haben gegen die uneingeschränkte Macht des absoluten Monarchen keine Chance.;;Los señores del reino deben plegarse a los poderes ilimitados del monarca absoluto.;;;;;;;;;x
obj_amass_wealth_1_title;Amass Wealth;Amasser des richesses;Reichtum anhäufen;;Acumular riqueza;;;;;;;;;x
obj_amass_wealth_1_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.GetTitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_amass_wealth_2_title;Amass Wealth;Amasser des richesses;Reichtum anhäufen;;Acumular riqueza;;;;;;;;;x
obj_amass_wealth_2_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.GetTitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_amass_wealth_3_title;Amass Wealth;Amasser des richesses;Reichtum anhäufen;;Acumular riqueza;;;;;;;;;x
obj_amass_wealth_3_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.GetTitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_amass_wealth_4_title;Amass Wealth;Amasser des richesses;Reichtum anhäufen;;Acumular riqueza;;;;;;;;;x
obj_amass_wealth_4_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;[This.GetTitledFirstName] souhaite amasser de nombreuses richesses;[This.GetTitledFirstName] will großen Reichtum anhäufen;;[This.GetTitledFirstName] quiere acumular riqueza en abundancia.;;;;;;;;;x
obj_become_exalted_1_title;Become Exalted among Men;Devenir un exalté parmi les hommes;Vorbild für die Menschheit werden;;Ser glorificado entre los hombres;;;;;;;;;x
