#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
obj_become_regent_title;Become Regent;Devenir régent(e);;;Convertirse en Regente;;;;;;;;;x
EVTDESCregency.23;To all bannermen of [From.Liege.GetTitle] [From.Liege.GetFirstName], the corrupt regency of [From.GetTitledFirstName] over [From.Liege.PrimaryTitle.GetName] is at an end. [From.GetSheHeCap] as agreed to hand over power to me, and henceforth all shall obey my will whilst the noble [From.Liege.GetTitle] [From.Liege.GetFirstName] is unable to rule.\n\nSigned\n[FromFrom.GetFirstName] of House [FromFrom.GetOnlyDynastyName], [FromFrom.GetTitle] Regent of [From.Liege.PrimaryTitle.GetName];A tous les bannerets de [From.Liege.GetTitle] [From.Liege.GetFirstName], la régence corrompue de [From.GetTitledFirstName] sur [From.Liege.PrimaryTitle.GetName] est terminée. [From.GetSheHeCap] a accepté de renoncer à sa charge en ma faveur, aussi tous me doivent désormais obéissance jusqu'à ce que [From.Liege.GetTitle] [From.Liege.GetFirstName] soit capable de gouverner.\n\nSigné\n[FromFrom.GetFirstName] de la maison [FromFrom.GetOnlyDynastyName], [FromFrom.GetTitle] régent de [From.Liege.PrimaryTitle.GetName];;;A todos los vasallos de [From.Liege.GetTitle] [From.Liege.GetFirstName], la regencia corrupta de [From.GetTitledFirstName] sobre [From.Liege.PrimaryTitle.GetName] ha terminado. [From.GetSheHeCap] ha aceptado renunciar a su cargo en mi favor, ahora todos me debéis obediencia hasta que [From.Liege.GetTitle] [From.Liege.GetFirstName] sea capaz de gobernar.\n\nFirmado\n[FromFrom.GetFirstName] de la casa [FromFrom.GetOnlyDynastyName], [FromFrom.GetTitle] regente de [From.Liege.PrimaryTitle.GetName];;;;;;;;;x
EVTOPTAregency.23;A scheme well executed;Un plan bien exécuté.;;;Un plan bien ejecutado.;;;;;;;;;x
EVTOPTBregency.23;I am sure threats and coercion were used;Je suis sûr que les menaces et la violence ont joué un rôle.;;;Estoy seguro que las amenazas y la violencia jugaron su papel.;;;;;;;;;x
EVTDESCregency.24;Court intrigues often seem confusing, and you have had word the realm was on the brink of war. Apparently [FromFrom.GetTitledFirstNameWithDynasty] issued an ultimatum under the threat of force to my regent [From.GetTitledFirstName], demanding [From.GetSheHe] surrender the regency. [From.GetSheHeCap] refused, and now violence will surely come.;Les intrigues de cour semble souvent confuses et vous avez appris que le royaume était à deux doigts d'une guerre. Apparemment [FromFrom.GetTitledFirstNameWithDynasty] a envoyé un ultimatum à mon(a) régent(e) [From.GetTitledFirstName], exigeant qu'[From.GetSheHe] renonce à la régence. [From.GetSheHeCap] a refusé et maintenant la guerre va sûrement éclater. ;;;Las intrigas de la corte son a menudo confusas y acabas de enterarte que el reino ha estado a un paso de la guerra. Al parecer [FromFrom.GetTitledFirstNameWithDynasty] envió un ultimátum a mi regente [From.GetTitledFirstName], exigiendo que renuncie a la regencia. Rechazó el ultimátum y ahora seguramente estallará la guerra. ;;;;;;;;;x
EVTOPTAregency.24;Why can't we share power?;Pourquoi ne pourrions-nous pas partager le pouvoir ?;;;¿Por qué no podemos compartir el poder?;;;;;;;;;x
EVTDESCregency.25;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal],\nI will never surrender [Root.Liege.GetTitle] [Root.Liege.GetFirstName] to the likes of you, as surely you and your cronies will ruin this realm. Know that the forces of [Root.Liege.PrimaryTitle.GetName] are ready to stand against your threats.\nSigned,\n[FromFrom.GetTitledFirstName];[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal],\nJe ne donnerai jamais [Root.Liege.GetTitle] [Root.Liege.GetFirstName] à quelqu'un comme vous, voilà une chose aussi sûre que la ruine que vous apporterez au royaume, vous et vos lèche-culs. Sachez que les forces de [Root.Liege.PrimaryTitle.GetName] sont prêtes à écraser votre pitoyable tentative de coup d'état.\nSigné,\n[FromFrom.GetTitledFirstName];;;[Root.GetTitledFirstNameWithDynastyAndTitleNoRegnal],\nNo rendiré nunca [Root.Liege.GetTitle] [Root.Liege.GetFirstName] a alguien como vos, que traerá la ruina al Reino. Sabed que las fuerzas de [Root.Liege.PrimaryTitle.GetName] están preparadas para aplastar vuestras lastimosas amenazas.\nFirmado,\n[FromFrom.GetTitledFirstName];;;;;;;;;x
EVTOPTAregency.25;Then war it is!;Alors ce sera la guerre !;;;Es la guerra!;;;;;;;;;x
EVTDESCregency.26;[From.Liege.PrimaryTitle.GetName] is turmoil, the regency of [From.Liege.GetTitle] [From.Liege.GetFirstName] is in dispute. [FromFrom.GetTitledFirstNameWithDynasty] has apparently issued an ultimatum to the current regent [From.GetTitledFirstName] to surrender the regency to [FromFrom.GetHerHim]. [From.GetTitledFirstName] refused however, and now war is upon us.;[From.Liege.PrimaryTitle.GetName] est plongé dans les troubles, la régence de [From.Liege.GetTitle] [From.Liege.GetFirstName] est disputée. [FromFrom.GetTitledFirstNameWithDynasty] a apparemment envoyé un ultimatum à [From.GetTitledFirstName], le(a) régent(e) actuel(le) exigeant qu'il lui remette sa charge. [From.GetTitledFirstName] a cependant refusé et la guerre a éclaté. ;;;[From.Liege.PrimaryTitle.GetName] está sumido en el desorden, la regencia de [From.Liege.GetTitle] [From.Liege.GetFirstName] está disputada. [FromFrom.GetTitledFirstNameWithDynasty] envió un ultimátum a [From.GetTitledFirstName], el actual regente exigiendo que renuncie al cargo. [From.GetTitledFirstName] rechazó el ultimátum y la guerra ha estallado. ;;;;;;;;;x
EVTOPTAregency.26;We shall prevail;Nous prévaudrons !;;;Prevaleceremos!;;;;;;;;;x
EVTOPTBregency.26;This cannot be good;Voilà une mauvaise nouvelle.;;;Esto no puede ser bueno.;;;;;;;;;x
EVTOPTA61002;I will keep my eye on [From.GetHerHim];Je vais garder un œil sur [From.GetHerHim];;;Mantendré un ojo en [From.GetHerHim];;;;;;;;;x
EVTOPTB61002;A little embezzlement never hurt anyone;Un petit détournement d'argent n'a jamais fait de mal à personne.;;;Una pequeña malversación de fondos no hace daño a nadie.;;;;;;;;;x
EVTOPTC61002;Perhaps we can work together in this;Peut-être pourrions nous travailler de concert.;;;Tal vez podríamos trabajar juntos en esto.;;;;;;;;;x
TOOLTIPregency.61002;You inform [From.GetTitledFirstName] you suspect embezzlement, and ask for a cut ;Vous informez [From.GetTitledFirstName] que vous suspectez un détournement de fonds, et vous en demandez une partie;;;Informas a [From.GetTitledFirstName] que sospechas de una malversación de fondos, y pides una parte;;;;;;;;;x
EVTOPTA61004;The realm should know of this treachery;Le royaume sera informé de cette trahison.;;;El Reino será informado de esta traición.;;;;;;;;;x
TOOLTIPregency.61004;You send letters to the Lords of [From.Liege.PrimaryTitle.GetName] informing them of [From.GetTitledFirstName]'s corruption, resigning and leaving [Root.Liege.Capital.GetName] in the process.\n\n;Vous envoyez des lettres aux lords de [From.Liege.PrimaryTitle.GetName] les informant de la corruption de [From.GetTitledFirstName], et de votre démission et départ de [Root.Liege.Capital.GetName].\n\n;;;Envías cartas a los Señores de [From.Liege.PrimaryTitle.GetName] informándoles de la corrupción de [From.GetTitledFirstName], dimitiendo y dejando [Root.Liege.Capital.GetName] en el proceso.\n\n;;;;;;;;;x
TOOLTIPregency.61005;You inform [From.GetTitledFirstName] you know about the embezzlement, and demand a cut ;Vous informez [From.GetTitledFirstName] que savez à propos du détournement de fonds, et vous en demandez une partie;;;Informas a [From.GetTitledFirstName] que sabes lo de la malversación de fondos, y pides una parte;;;;;;;;;x
EVTDESCregency.61001;Despite my best efforts to conceal my embezzlement, it has been noticed by the council that the treasury has been unexpectedly depleted. [From.GetTitle] [From.GetFirstName] will suspect my involvement.;Malgré mes efforts pour dissimuler mes détournements de fonds, le conseil semble avoir noté la disparition d'argent dans le trésor. [From.GetTitle] [From.GetFirstName] va suspecter mon implication dans cette affaire.;;;A pesar de mis esfuerzos por ocultar mis desfalcos. el consejo parece haber notado la desaparición de dinero en el tesoro. [From.GetTitle] [From.GetFirstName] sospechará de mi implicación en este asunto.;;;;;;;;;x
EVTOPTAregency.61001;They can do nothing about it anyway;Ils ne peuvent rien y faire de toutes façons.;;;No pueden hacer nada al respecto de todos modos.;;;;;;;;;x
EVTDESCregency.61002;After a meeting of the council, [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] approaches me. [From.GetSheHeCap] says [From.GetSheHe] has been keeping a close eye on the treasury, and has not failed to notice gold and funds going missing. [From.GetSheHeCap] says [From.GetSheHe] believes me to be the culprit, but says [From.GetSheHe] will keep [From.GetHerHis] silence if given a cut.;Après une réunion du conseil, [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] vous approche. [From.GetSheHeCap] dit qu'[From.GetSheHe] a gardé un oeil sur le trésor et a noté la disparition de fortes sommes. [From.GetSheHeCap] dit qu'[From.GetSheHe] me soupçonne d'être le(a) coupable, mais [From.GetSheHe] ajoute qu'[From.GetSheHe] gardera le silence contre une part du butin.;;;Tras una reunión del Consejo, [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] se te acerca. [From.GetSheHeCap] dice que [From.GetSheHe] ha estado vigilando el tesoro y ha notado la desaparición de fuertes sumas. [From.GetSheHeCap] dice que [From.GetSheHe] sospecha que soy el culpable, pero que guardará silencio si le doy una parte.;;;;;;;;;x
EVTOPTAregency.61002;I confess, take your gold and keep silent;J'avoue, prenez votre or et gardez le silence.;;;Lo admito, coged el oro y guardad silencio.;;;;;;;;;x
EVTOPTBregency.61002;Groundless lies! Be gone!;Des mensonges éhontés ! Dehors !;;;Mentiras sin fundamento! Fuera de aquí!;;;;;;;;;x
EVTDESCregency.61003;Despite my best efforts to conceal my embezzlement, proof has emerged that I have been taking funds from the treasury! No doubt [From.GetTitle] [From.GetFirstName]'s council were informed by spies working under me.;Malgré mes efforts pour pour dissimuler mes détournements de fonds, des preuves sont apparues m'accusant de m'être servi dans le trésor ! Il ne fait aucun doute que le conseil de [From.GetTitle] [From.GetFirstName] a été informé par des espions qui me surveillaient !;;;A pesar de mis esfuerzos por ocultar mis desfalcos, han aparecido pruebas que me acusan de haberme servido del tesoro! No hay duda de que el consejo de [From.GetTitle] [From.GetFirstName] ha sido informado por espías que me vigiliban!;;;;;;;;;x
EVTOPTAregency.61003;I care not, I still hold power in [Root.Liege.Capital.GetName];Je m'en fiche, je détiens toujours le pouvoir à [Root.Liege.Capital.GetName];;;No me importa, todavía mantengo el poder en [Root.Liege.Capital.GetName];;;;;;;;;x
EVTDESCregency.61004;The council are clearly not happy with my actions, [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] has even resigned. Before [From.GetSheHe] left [Root.Liege.Capital.GetName], however, [From.GetSheHe] sent ravens to all the nobles of [Root.Liege.PrimaryTitle.GetName] accusing me of corruption and treason.;Le conseil est clairement en colère contre moi, [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] a même démissionné. Avant de quitter [Root.Liege.Capital.GetName],  [From.GetSheHe] a envoyé des corbeaux à tous les nobles de  [Root.Liege.PrimaryTitle.GetName] m'accusant de corruption et de trahison !;;;El consejo está muy enfadado conmigo, [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] incluso ha dimitido. Antes de dejar [Root.Liege.Capital.GetName], ha enviado cuervos a todos los nobles de [Root.Liege.PrimaryTitle.GetName] acusándome de corrupción y traición!;;;;;;;;;x
EVTOPTAregency.61004;[From.GetSheHeCap] is the real traitor here!;[From.GetSheHeCap] est le véritable traître ici !;;;[From.GetSheHeCap] es el verdadero traidor aquí!;;;;;;;;;x
EVTDESCregency.61005;At a meeting of the council many present accused me of treason and corruption, afterwards [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] approaches me. [From.GetSheHeCap] says [From.GetSheHe] has close eyes on the treasury, and has the power and influence to disprove my involvement in the embezzlement. [From.GetSheHeCap] demands a cut to do so, otherwise [From.GetSheHe] says [From.GetSheHe] will recommend the council inform the realm.;Lors d'une réunion du conseil, de nombreux membres m'ont accusé de trahison et de corruption, après quoi [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] m'a approché. [From.GetSheHeCap] dit qu'[From.GetSheHe] a un oeil sur la trésorerie et qu'il a le pouvoir et l'influence pour nier ma participation au détournement de fonds. [From.GetSheHeCap] exige néanmoins une part, autrement [From.GetSheHe] recommandera au conseil d'en informer le royaume. ;;;En una reunión del consejo, muchos de sus miembros me han acusado de traición y corrupción, tras lo cual [Root.Liege.GetMyTreasurerName] [From.GetTitledFirstName] se me ha acercado. [From.GetSheHeCap] dice que [From.GetSheHe] ha estado vigilando el tesoro y que tiene el poder y la influencia para negar mi participación en la malversación de fondos. No obstante, exige una parte, de otro modo [From.GetSheHe] recomendará al consejo informar al Reino. ;;;;;;;;;x
EVTOPTAregency.61005;Fine, take your gold and clear my name;Bien, prenez votre or et faîtes taire les rumeurs.;;;Bien, coged el oro y limpiad mi nombre;;;;;;;;;x
EVTOPTBregency.61005;I will not be blackmailed by the likes of you!;Un type tel que vous ne me fera pas chanter !;;;No seré chantajeado por alguien como vos!;;;;;;;;;x
EVTDESCregency.61006;After a meeting of the council you approached [From.GetTitledFirstName] and effectively blackmailed [From.GetHerHim.] [From.GetSheHeCap] admitted [From.GetHerHis] corruption, and agreed to give you a cut in exchange for your silence.;Après une réunion du conseil vous approchez [From.GetTitledFirstName] et le(a) faîtes chanter. [From.GetSheHeCap] admet sa corruption et accepte de vous donner une part en échange de votre silence.;;;Tras una reunión del consejo te acercas a [From.GetTitledFirstName] y le haces confesar. [From.GetSheHeCap] admite su corrupción y acepta darte una parte a cambio de tu silencio.;;;;;;;;;x
EVTOPTAregency.61006;Good, now we are corrupt together!;Bien, nous voilà deux corrompus désormais !;;;Bien, ahora somos dos corruptos!;;;;;;;;;x
EVTDESCregency.61007;After a meeting of the council you approached [From.GetTitledFirstName] and effectively blackmailed [From.GetHerHim.] [From.GetSheHeCap] reacted angrily to this, fiercely denying any corruption and professing loyalty to [From.Liege.GetTitle] [From.Liege.GetFirstName].;Après une réunion du conseil vous approchez [From.GetTitledFirstName] et le(a) faîtes chanter. [From.GetSheHeCap] a réagi avec colère, niant fermement être corrompu et professant sa loyauté à [From.Liege.GetTitle] [From.Liege.GetFirstName].;;;Tras una reunión del consejo te acercas a [From.GetTitledFirstName] y le haces confesar. [From.GetSheHeCap] reacciona con ira, negando firmemente ser un corrupto y profesando su lealtad a [From.Liege.GetTitle] [From.Liege.GetFirstName].;;;;;;;;;x
EVTOPTAregency.61007 ;I best keep the proof to my self for now;Je ferai mieux de conserver les preuves pour le moment.;;;Será mejor conservar las pruebas de momento.;;;;;;;;;x
EVTOPTCregency.61007 ;[From.GetSheHeCap] will regret this decision;[From.GetSheHeCap] regrettera sa décision.;;;[From.GetSheHeCap] lamentará su decisión.;;;;;;;;;x
EVTOPTBregency.61007;Fine, the realm will be informed of your treachery!;Bien, le royaume sera informé de votre trahison !;;;Bien, el Reino será informado de vuestra traición!;;;;;;;;;x
EVTDESCregency.61008;[Root.GetTitledFirstName], in my position as [From.Liege.GetTitledFirstName]'s [From.Liege.GetMyTreasurerName] I have received proof of the most villainous treachery. [From.Liege.GetTitledFirstName]'s regent [FromFrom.GetTitledFirstNameWithDynasty] has been embezzling gold and silver from the treasury of [From.Liege.PrimaryTitle.GetName], revealing [FromFrom.GetHerHim] to be a corrupt traitor. I bid all loyal nobles join together to cast [FromFrom.GetHerHim] down.\n\nSigned,\n[From.GetTitledFirstName] of House [From.GetOnlyDynastyName];[Root.GetTitledFirstName], en tant que [From.Liege.GetMyTreasurerName] de [From.Liege.GetTitledFirstName] j'ai obtenu des preuves d'une perfide trahison. Le(a) régent(e) de [From.Liege.GetTitledFirstName], [FromFrom.GetTitledFirstNameWithDynasty], a détourné l'or et l'argent du trésor de [From.Liege.PrimaryTitle.GetName] à son profit, ce qui en fait un(e) traître(sse) corrompu(e). J'espère que tous les nobles loyaux se réuniront pour le(a) mettre à bas.\n\nSigné,\n[From.GetTitledFirstName] de la maison [From.GetOnlyDynastyName];;;[Root.GetTitledFirstName], como [From.Liege.GetMyTreasurerName] de [From.Liege.GetTitledFirstName] he obtenido pruebas de una pérfida traición. El regente de [From.Liege.GetTitledFirstName], [FromFrom.GetTitledFirstNameWithDynasty], ha desviado oro y plata del tesoro de [From.Liege.PrimaryTitle.GetName] para su provecho, lo que le convierte en un traidor corrompido. Espero que todos los nobles leales se unan para derrocarlo.\n\nFirmado,\n[From.GetTitledFirstName] de la casa [From.GetOnlyDynastyName];;;;;;;;;x
EVTOPTAregency.61008;This cannot stand!;Cela ne peut plus durer !;;;Esto no puede continuar.;;;;;;;;;x
EVTOPTBregency.61008;A little embezzlement never hurt anyone;Un petit détournement d'argent n'a jamais fait de mal à personne.;;;Una pequeña malversación de fondos no hace daño a nadie.;;;;;;;;;x
EVTOPTCregency.61008;[From.GetSheHeCap] will regret slandering me like this;[From.GetSheHeCap] regrettera de m'avoir calomnié(e).; ;;[From.GetSheHeCap] lamentará haberme calumniado.;;;;;;;;;x
EVTOPTDregency.61008A;I have a regent?;J'ai un régent ?;;;Tengo un regente?;;;;;;;;;x
EVTOPTDregency.61008B;I will sort this when I take power;Je m'occuperai de ça lorsque je gouvernerai.;;;Me ocuparé de esto cuando gobierne.;;;;;;;;;x
regent_grant_self_title;Grant Self Liege's Title;S'octroyer un titre du suzerain;;;Otorgarse un título del Señor;;;;;;;;;x
regent_grant_self_title_desc;Using you power as regent, you can grant yourself one of [Root.Liege.GetTitledFirstName]'s titles;En usant de vos pouvoirs de régent, vous pouvez vous octroyer l'un des titres de [Root.Liege.GetTitledFirstName];;;Utilizando tus poderes como regente, puedes otorgarte uno de los títulos de [Root.Liege.GetTitledFirstName];;;;;;;;;x
TOOLTIPgrant_self_titleTITLE;[Root.Liege.GetTitledFirstName] has a spare holding which can be given away\n;[Root.Liege.GetTitledFirstName] a une possession qui peut être donnée\n;;;[Root.Liege.GetTitledFirstName] tiene una posesión que puede ser donada \n;;;;;;;;;x
TOOLTIPgrant_self_titleGENDER;[Root.GetTitledFirstName] is of the correct gender to inherit under the laws of [Root.Liege.PrimaryTitle.GetName]\n;[Root.GetTitledFirstName] est du genre adéquat pour hériter sous les lois de [Root.Liege.PrimaryTitle.GetName]\n;;;[Root.GetTitledFirstName] es del género adecuado para heredar bajo las leyes de [Root.Liege.PrimaryTitle.GetName]\n;;;;;;;;;x
regent_lower_crown_authority;Lower Realm Authority;Réduire l'autorité de la Couronne;;;Reducir la autoridad de la Corona;;;;;;;;;x
regent_lower_crown_authority_desc;Using you power as regent, you can lower realm authority in [Root.Liege.GetTitledFirstName]'s realm.;En usant de votre pouvoir de régent, vous pouvez réduire l'autorité du royaume de [Root.Liege.GetTitledFirstName].;;;Utilizando tus poderes como regente, puedes reducir la autoridad de la Corona de [Root.Liege.GetTitledFirstName].;;;;;;;;;x
TOOLTIPregent_lower_crown_authorityFLAG;[Root.Liege.GetTitledFirstName] has NOT had realm authority lowered by [Root.Liege.GetHerHis] regent\n;[Root.Liege.GetTitledFirstName] n'a pas vu l'autorité de la Couronne réduite par son(a) régent(e)\n;;;[Root.Liege.GetTitledFirstName] no ha visto la autoridad de la Corona reducida por su regente\n;;;;;;;;;x
TOOLTIPregent_lower_crown_authorityTITLE;[Root.Liege.GetTitledFirstName] has a title in which realm authority can be lowered AND is the dejure title of [Root.PrimaryTitle.GetName]\n;[Root.Liege.GetTitledFirstName] a un titre dont l'autorité de la Couronne peut être réduite ET est le titre de jure de [Root.PrimaryTitle.GetName]\n;;;[Root.Liege.GetTitledFirstName] tiene un título donde la autoridad de la Corona puede ser reducida Y es el título de jure de [Root.PrimaryTitle.GetName]\n;;;;;;;;;x
TOOLTIPregent_lower_crown_authorityPLEASED;The lords and nobles of [This.GetName] will like you for this action\n;Les nobles et lords de [This.GetName] vous aimeront pour cette décision\n;;;Los nobles y señores de [This.GetName] os querrán por esta decisión\n;;;;;;;;;x
plot_declare_liege_incapable;Declare Liege Incapable;Déclarer le suzerain incapable;;;Declarar incapaz al Señor;;;;;;;;;x
plot_declare_liege_incapable_desc;[Root.Liege.GetTitledFirstName] current ability to rule is questionable, and so with enough support it would be possible to declare [Root.Liege.GetHerHim] incapable and become [Root.Liege.GetHerHis] regent.;Les capacités de [Root.Liege.GetTitledFirstName] à gouverner peuvent actuellement être remises en doute. Avec assez de soutien il pourrait être possible de le(a) délcarer incapable et de devenir son(a) régent(e).;;;Las capacidades de [Root.Liege.GetTitledFirstName] para gobernar pueden ser puestas en duda. Con apoyo suficiente sería posible declararlo incapaz y convertirse en su regente.;;;;;;;;;x
TOOLTIPplot_declare_liege_incapableCOUNCIL;At least 2 of [Root.Liege.GetTitledFirstName]'s councillors back the plot\n;Au moins deux des conseillers de [Root.Liege.GetTitledFirstName] soutiennent le complot\n;;;Al menos 2 consejeros de [Root.Liege.GetTitledFirstName] apoyan el complot\n;;;;;;;;;x
EVTTOOLTIPregency.27;You declare [Root.Liege.GetTitledFirstName] incapable, and assume the regency;Vous déclarez [Root.Liege.GetTitledFirstName] incapable, et assumez la régence.;;;Declaras a [Root.Liege.GetTitledFirstName] incapaz, y asumes la regencia.;;;;;;;;;x
EVTDESCregency.27;Your condition has made it hard to rule, yet rule in your own name you did. But now, as you sit in your hall presiding over court, [From.GetTitledFirstName] storms through the door flanked by [From.GetHerHis] supporters. [From.GetSheHeCap] declares you incapable to rule effectively, and assumes the regency without opposition.;Votre condition a rendu le gouvernement difficile mais vous continuez d'assumer votre charge. Mais alors que vous présidiez votre cour dans la grande salle, [From.GetTitledFirstName] pénètre dans la pièce accompagné de ses soutiens et vous déclare incapable de gouverner. [From.GetSheHeCap] affirme désormais assumer la régence, et personne ne s'y oppose.;;;Tu condición ha hecho complicado el gobierno pero continuas asumiendo tu cargo. Pero cuando presidías el consejo en la gran sala, [From.GetTitledFirstName] entra en la sala acompañado de sus seguidores y te declaran incapaz para gobernar. Afirma que asumirá la regencia, y nadie se opone. ;;;;;;;;;x
EVTOPTAregency.27;No-one backs me to rule;Personne ne me soutient !;;;Nadie me respalda!;;;;;;;;;x
EVTDESCregency.28;[From.GetTitledFirstName] time of ill rule is at an end. Whilst [From.GetSheHe] is presiding at court, you storm through the door flanked by your supporters. You declare the [From.GetTitle] incapable to rule effectively, and assume the regency without opposition.;Le règne maladif de [From.GetTitledFirstName] est terminé. Alors qu'[From.GetSheHe] présidait la cour, vous avez fait irruption, suivi par vos soutiens. Vous déclarez le(a) [From.GetTitle] incapable de gouverner et assumez la régence, et personne ne s'y oppose.;;;El reinado enfermizo de [From.GetTitledFirstName] ha acabado. Cuando [From.GetSheHe] presidía el consejo, hiciste irrupción junto a tus seguidores. Declaraste al [From.GetTitle] incapaz de gobernar y asumes la regencia, a lo que nadie se opuso.;;;;;;;;;x
EVTOPTAregency.28;This will benefit [From.GetHerHim] and the realm;Ce sera bénéfique pour [From.GetHerHim] et pour le royaume.;;;Esto será beneficioso para [From.GetHerHim] y para el Reino.;;;;;;;;;x
declared_me_insane;Declared Me Incapable;M'a déclaré incapable;;;Me ha declarado incapaz;;;;;;;;;x
EVTDESCregency.29;[From.GetTitledFirstName] time of ill rule is at an end. Whilst [From.GetSheHe] is presiding at court, [FromFrom.GetTitledFirstName] storms through the door flanked by you and [FromFrom.GetHerHis] supporters. [FromFrom.GetSheHeCap] declares the [From.GetTitle] incapable to rule effectively, and assumes the regency without opposition.;Le règne maladif de [From.GetTitledFirstName] est terminé. Alors qu'[From.GetSheHe] présidait la cour, [FromFrom.GetTitledFirstName] a fait irruption, suivi par ses soutiens. [FromFrom.GetSheHeCap] a déclaré le(a) [From.GetTitle] incapable de gouverner et a assumé la régence, et personne ne s'y est opposé.;;;El reinado enfermizo de [From.GetTitledFirstName] ha acabado. Cuando [From.GetSheHe] presidía el consejo, [FromFrom.GetTitledFirstName] hizo irrupción junto a sus seguidores. [FromFrom.GetSheHeCap] ha declarado al [From.GetTitle] incapaz de gobernar y ha asumido la regencia, a lo que nadie se opuso.;;;;;;;;;x
EVTOPTAregency.29;[FromFrom.GetTitledFirstName] will bring stability;[FromFrom.GetTitledFirstName] ramènera la stabilité.;;;[FromFrom.GetTitledFirstName] traerá la estabilidad.;;;;;;;;;x
EVTDESCregency.30;[Root.GetTitledFirstName], due to [From.GetHerHis] current inability to rule effectively, the council of [From.GetTitledFirstName] has seen fit to name a regent to rule in [From.GetHerHis] stead. The council has named me as this regent, and bids you follow my rule as you would [From.GetTitledFirstName]s.\n\nSigned,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector of [FromFrom.Liege.PrimaryTitle.GetName];[Root.GetTitledFirstName], étant donné son actuelle incapacité à régner, le conseil de [From.GetTitledFirstName] a jugé bon de nommer un régent pour gouverner à sa place. Le conseil m'a choisi pour occuper cette charge et espère que vous m'obéirez comme vous obéissiez à [From.GetTitledFirstName].\n\nSigné,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protecteur de [FromFrom.Liege.PrimaryTitle.GetName];;;[Root.GetTitledFirstName], dada su incapacidad actual para reinar, el consejo de [From.GetTitledFirstName] ha nombrado un regente para gobernar en su lugar. El consejo me ha escogido para ocupar este cargo y espero que me obedezcáis como si fuese [From.GetTitledFirstName].\n\nFirmado,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector de [FromFrom.Liege.PrimaryTitle.GetName];;;;;;;;;x
regent_fire_councillor;Remove From Liege's Council;Démettre de ses fonctions du conseil du suzerain;;;Destituir del Consejo;;;;;;;;;x
regent_fire_councillor_desc;Using you powers as [Root.Liege.GetTitledFirstName]'s regent, you can fire [Root.GetTitledFirstName] from [Root.Liege.GetHerHis] council.;En usant de vos pouvoirs de régent de [Root.Liege.GetTitledFirstName], vous pouvez démettre [Root.GetTitledFirstName] de sa position au conseil.;;;Utilizando tus poderes como regente de [Root.Liege.GetTitledFirstName], puedes destituir a [Root.GetTitledFirstName] de su cargo en el Consejo.;;;;;;;;;x
fired_from_council_by_regent;Fired From Council by Regent;Démis du conseil par le(la) régent(e);;;Destituido del Consejo por el Regente;;;;;;;;;x
EVTDESCregency.50;[Root.GetTitledFirstName], in the name of [From.Liege.GetTitledFirstName], I hereby remove you from your position on the council. I bid you leave [From.Liege.Capital.GetName] as soon as is possible.\n\nSigned,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector of [FromFrom.Liege.PrimaryTitle.GetName];[Root.GetTitledFirstName], au nom de [From.Liege.GetTitledFirstName], je vous démet par la présente de votre position au conseil. Je vous demande de quitter au plus vite [From.Liege.Capital.GetName].\n\nSigné,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protecteur de [FromFrom.Liege.PrimaryTitle.GetName];;;[Root.GetTitledFirstName], en nombre de [From.Liege.GetTitledFirstName], por la presente sois destituido de vuestro cargo en el Consejo. Os pido que os marchéis lo antes posible de [From.Liege.Capital.GetName].\n\nFirmado,\n[FromFrom.GetTitledFirstName], [FromFrom.GetLordLady] Protector de [FromFrom.Liege.PrimaryTitle.GetName];;;;;;;;;x
EVTOPTAregency.50;This is an outrage!;Quel outrage !;;;Ultraje!;;;;;;;;;x
EVTDESCregency.51;[FromFrom.GetTitledFirstName], using [FromFrom.GetHerHis] powers as regent, has decided to remove [From.GetTitledFirstName] from [From.GetHerHis] position on your council. Clearly [FromFrom.GetSheHe] thought [From.GetTitledFirstName] unsuitable for the task.;[FromFrom.GetTitledFirstName], usant de ses pouvoirs de [FromFrom.GetHerHis] a décidé de démettre [From.GetTitledFirstName] de sa position au conseil.  Il est clair qu'[FromFrom.GetSheHe] pense que [From.GetTitledFirstName] n'est pas à la hauteur de la fonction.;;;[FromFrom.GetTitledFirstName], ha decidido destituir a [From.GetTitledFirstName] de su puesto en el Consejo. Está claro que piensa que [From.GetTitledFirstName] no está a la altura del cargo.;;;;;;;;;x
