skin_decision;Flay [Root.GetTitledFirstName] Alive;Écorcher le prisonnier;;;Despellejar a [Root.GetTitledFirstName] vivo.;;;;;;;;;x;;;;
EVTDESCwildling.67;[From.GetTitledFirstName] comes to your cell and brings you to be excuted, along the way informing how [From.GetSheHe] and the rest of [From.GetHerHis] clan will cook up and feast on your remains for their supper...;[From.GetTitledFirstName] se rend à votre cellule et vous emmène pour être exécuté(e), en vous racontant le long du chemin comment, avec ceux de son clan, l'on va vous faire cuire et festoyer de vos restes pour leur souper …;;;[From.GetTitledFirstName] llega a tu celda y se te lleva, a lo largo del camino te informa de cómo te cocinarán el y su clan y se deleitarán con tu carne para su cena.;;;;;;;;;x;;;;
EVTOPTAwildling.67;How demeaning...;Quel avilissement !;;;¡Qué degradación!;;;;;;;;;;;;x;
EVTOPTBwildling.67;Who cares... I'll be dead anyway...;Quelle importance…  Je serai mort(e) de toute façon...;;;A quién le importa... de todos modos voy a estar muerto (a);;;;;;;;;;;;x;
EVTDESCwildling.68;[From.GetTitledFirstName] and [From.GetHerHis] clansmen have executed your [FromFrom.GetRootRelation] and then feasted on [FromFrom.GetHerHis] remains for their supper...;[From.GetTitledFirstName] et son clan ont exécuté votre [FromFrom.GetRootRelation] et festoyé avec ses restes pour leur souper...;;;Los miembros del clan [From.GetTitledFirstName] han ejecutado a [FromFrom.GetRootRelation] y luego se han deleitado con su carne...;;;;;;;;;;;;x;
EVTOPTAwildling.68;How disgusting!;Quelle horreur!;;;¡Qué asco!;;;;;;;;;;;;x;
DEATH_BATTLE_RAIDING;gloriously died in battle whilst raiding by $KILLER$;est mort glorieusement au combat lors d'un raid mené par $KILLER$;;;gloriosamente murió en la batalla mientras asaltaba por $KILLER$;;;;;;;;;;;;x;
DEATH_BATTLE_RAIDING_NO_KILLER;gloriously died in battle whilst raiding;mort glorieusement au combat lors d'un raid;;;gloriosamente murió en la batalla mientras asaltaba;;;;;;;;;;;;x;
DEATH_TOURNEY_JOUST;was unfortunately killed in a tourney joust by $KILLER$;a été malheureusement tué(e) lors d'une joute dans un tournoi par $KILLER$;;;desafortunadamente fue asesinado (a) en una justa de torneo por $KILLER$;;;;;;;;;;;;x;
DEATH_TOURNEY_JOUST_NO_KILLER;was unfortunately killed in a tourney joust;a été malheureusement tué(e) lors d'une joute dans un tournoi;;;desafortunadamente fue asesinado (a) en una justa de torneo;;;;;;;;;;;;x;
DEATH_BANDITS;was killed by bandits;a été tué(e) par des bandits;;;fue asesinado (a) por un bandido;;;;;;;;;;;;x;
DEATH_STILLBORN;died stillborn;était mort-né(e);;;nació muerto;;;;;;;;;;;;x;
DEATH_SOLD_SLAVE;was sold to an unknown slave trader;a été vendu(e) à un marchand d'esclave inconnu;;;fue vendido (a) a un comerciante de esclavos desconocido;;;;;;;;;;;;x;
DEATH_DRAGON;was killed by the dragon $KILLER$;a été tué(e) par le dragon $KILLER$;;;fue asesinado (a) por el dragón $KILLER$;;;;;;;;;;;;x;
DEATH_DRAGON_NO_KILLER;was killed by a dragon;a été tué(e) par un dragon;;;fue asesinado (a) por un dragón;;;;;;;;;;;;x;
DEATH_BATTLE_DRAGON_FIRE;was killed by $KILLER$'s dragon;a été tué(e) par le dragon de $KILLER$;;;fue asesinado (a) por el dragón de $KILLER$;;;;;;;;;;;;x;
DEATH_BATTLE_DRAGON_FIRE_NO_KILLER;was killed by a dragon rider;a été tué(e) par un chevaucheur de dragon;;;fue asesinado (a) por un jinete de dragón;;;;;;;;;;;;x;
DEATH_DRAGON_DUEL;was killed by $KILLER$ in an epic dragon duel;a été tué(e) par $KILLER$ dans un duel de dragons épique;;;fue asesinado (a) por $KILLER$ en un épico duelo de dragones;;;;;;;;;;;;x;
DEATH_DRAGON_DUEL_NO_KILLER;was killed in an epic dragon duel;a été tué(e) dans un duel de dragons épique;;;fue asesinado (a) en un épico duelo de dragones;;;;;;;;;;;;x;
DEATH_ACCIDENT_FACELESS;died in an unusual accident;est décédé(e) dans un accident inhabituel;;;murió en un accidente inusual;;;;;;;;;;;;x;
DEATH_ACCIDENT_FACELESS_NO_KILLER;died in an unusual accident;est décédé(e) dans un accident inhabituel;;;murió en un accidente inusual;;;;;;;;;;;;x;
DEATH_ACCIDENT_HORSE;was tragically trampled to death by a horse;a été tragiquement et mortellement piétiné(e) par un cheval;;;fue pisoteado (a) trágicamente hasta la muerte por un caballo;;;;;;;;;;;;x;
DEATH_ACCIDENT_DRAGON_HATCHING;was burnt to death during $KILLER$'s attempt to hatch a dragon egg;a été brûlé(e) mortellement pendant la tentative de $KILLER$ pour faire éclore un oeuf de dragon;;;fue quemado (a) durante el intento de $KILLER$ de incubar un huevo de dragón;;;;;;;;;;;;x;
DEATH_ACCIDENT_DRAGON_HATCHING_NO_KILLER;was burnt to death attempting to hatch a dragon egg;a été brûlé(e) mortellement en essayant de faire éclore un oeuf de dragon;;;fue quemado (a) hasta la muerte tratando de incubar un huevo de dragón;;;;;;;;;;;;x;
DEATH_ACCIDENT_HUNTING;died in a hunting accident;est mort(e) dans un accident de chasse;;;murió en un accidente de caza;;;;;;;;;;;;x;
DEATH_ACCIDENT_WILDFIRE;was burnt to death in a wildfire accident;a été brûlé(e) mortellement par du feu grégeois;;;fue quemado (a) asta la muerte en un accidente de Fuego Valyrio;;;;;;;;;;;;x;
DEATH_ACCIDENT_WILDFIRE_NO_KILLER;was burnt to death in a wildfire accident;a été brûlé(e) mortellement par du feu grégeois;;;;;;;;;;;;x;;;;
DEATH_ACCIDENT_IRON_THRONE;was accidentally killed whilst sitting on the Iron Throne;a été tué(e) accidentellement pendant qu'il siégeait sur le trône de fer;;;fue quemado (a) asta la muerte en un accidente de Fuego valyrio;;;;;;;;;;;;x;
DEATH_ACCIDENT_WYVERN;was mauled to death by a wild wyvern;a été mis(e) en pièce par une vouivre sauvage;;;murio a machetazos por un Guiverno salvaje;;;;;;;;;;;;x;
DEATH_MURDER_SLAYED;was slayed in cold blood by $KILLER$;a été abattu(e) de sang froid par $KILLER$;;;ue asesinado (a) a sangre fría por $KILLER$;;;;;;;;;;;;x;
DEATH_MURDER_SLAYED_NO_KILLER;was slayed in cold blood;a été abattu(e) de sang froid;;;fue asesinado (a) a sangre fría;;;;;;;;;;;;x;
DEATH_MURDER_SLAYED_UNKNOWN;was slayed in cold blood by an unknown assailant;a été abattu(e) de sang froid par un assaillant inconnu;;;fue asesinado (a) a sangre fría por un agresor desconocido;;;;;;;;;;;;x;
DEATH_MURDER_SLAYED_UNKNOWN_NO_KILLER;was slayed in cold blood by an unknown assailant;a été abattu(e) de sang froid par un assaillant inconnu;;;fue asesinado (a) a sangre fría por un agresor desconocido;;;;;;;;;;;;x;
DEATH_MURDER_SHADOW;was slayed by a dark shadow on the orders of $KILLER$;a été abattu(e) par une ombre noire aux ordres de $KILLER$;;;fue asesinado (a) por una sombra oscura a las órdenes de $KILLER$;;;;;;;;;;;;x;
DEATH_MURDER_SHADOW_NO_KILLER;was slayed by a dark shadow;a été abattu(e) par une ombre noire;;;fue asesinado (a) por una sombra oscura;;;;;;;;;;;;x;
DEATH_MURDER_SHADOW_UNKNOWN;was murdered in mysterious circumstances;a été assassiné(e) dans de mystérieuses circonstances;;;fue asesinado (a) en misteriosas circunstancias;;;;;;;;;;;;x;
DEATH_MURDER_SHADOW_UNKNOWN_NO_KILLER;was murdered in mysterious circumstances;a été assassiné(e) dans de mystérieuses circonstances;;;fue asesinado (a) en misteriosas circunstancias;;;;;;;;;;;;x;
DEATH_SUICIDE_DRANK_WILDFIRE;died after drinking wildfire;est mort(e) après avoir bu du feu grégeois ;;;;murió después de beber Fuego Valyrio;;;;;;;;;;;;x
DEATH_SACRIFICED_ABANDONED;was abandoned to die by $KILLER$;a été abandonné(e) pour mourir par $KILLER$;;;fue abandonado (a) para morir por $KILLER$;;;;;;;;;;;;x;
DEATH_SACRIFICED_ABANDONED_NO_KILLER;was abandoned to die;a été abandonné(e) pour mourir;;;fue abandonado (a) para morir;;;;;;;;;;;;x;
DEATH_SACRIFICED_RHLLOR;was burnt alive as an offering to R'hllor by $KILLER$;a été brulé(e) vivant(e) en offande à R'hllor par $KILLER$;;;fue quemado (a) vivo como una ofrenda a R'hllor por $KILLER$;;;;;;;;;;;;x;
DEATH_SACRIFICED_RHLLOR_NO_KILLER;was burnt alive as an offering to R'hllor;a été brulé(e) vivant(e) en offande à R'hllor;;;fue quemado (a) vivo como ofrenda a R'hllor;;;;;;;;;;;;x;
DEATH_EXECUTION_DOTHRAKI_MUTILATION;was mutilated, emasculated and then burnt to death on the orders of $KILLER$;a été mutilé(e), châtré(e) (sic) puis mortellement brulé(e) sur les ordres de $KILLER$;;;fue mutilado, castrado y luego fatalmente quemado por órdenes de $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_DOTHRAKI_MUTILATION_NO_KILLER;was mutilated, emasculated and then burnt to death;a été mutilé(e), châtré(e) (sic) puis mortellementbrulé(e);;;fue mutilado, castrado y luego fatalmente quemado;;;;;;;;;;;;x;
DEATH_EXECUTION_DRAGON;was fed to $KILLER$'s dragon;a été donné(e) en pâture au dragon de $KILLER$;;;fue alimentado (a) al dragón de $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_DRAGON_NO_KILLER;was fed to a dragon;a été donné(e) en pâture à un dragon;;;fue alimentado (a) a un dragón;;;;;;;;;;;;x;
DEATH_EXECUTION_TORTURE;was tortured to death on the orders of $KILLER$;a été torturé(e) à mort sur les ordres de $KILLER$;;;fue torturado (a) hasta la muerte bajo las órdenes de $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_TORTURE_NO_KILLER;was tortured to death;a été torturé(e) à mort;;;fue torturado (a) hasta la muerte;;;;;;;;;;;;x;
DEATH_SACRIFICED_DROWNED;was drowned as a sacrifice to the Drowned God by $KILLER$;a été noyé(e) en sacrifice au dieu Noyé par $KILLER$;;;fue ahogado (a) como un sacrificio al Dios Ahogado por $KILLER$;;;;;;;;;;;;x;
DEATH_SACRIFICED_DROWNED_NO_KILLER;was drowned as a sacrifice to the Drowned God;a été noyé(e) en sacrifice au dieu Noyé;;;fue ahogado (a) como un sacrificio al Dios Ahogado;;;;;;;;;;;;x;
DEATH_EXECUTION_MOON_DOOR;was thrown out of the Moon Door on the orders of $KILLER$;a été précipité(e) par la porte de la Lune sur les ordres de $KILLER$;;;fue arrojado (a) a la Puerta de la Luna bajo las órdenes de $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_MOON_DOOR_NO_KILLER;was thrown out of the Moon Door;a été précipité(e) par la porte de la Lune;;;fue arrojado (a) a la Puerta de la Luna;;;;;;;;;;;;x;
DEATH_EXECUTION_SNU_SNU;was killed by snu snu on the orders of $KILLER$;a été tué(e) par abus sexuels sur les ordres de $KILLER$;;;fue asesinado (a) por abuso sexual bajo las órdenes de $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_SNU_SNU_NO_KILLER;was killed by snu snu;a été tué(e) par abus sexuels;;;fue asesinado (a) por abuso sexual;;;;;;;;;;;;x;
DEATH_EXECUTION_STRANGLE;was strangled to death by $KILLER$;a été étranglé(e) mortellement par $KILLER$;;;fue estrangulado (a) asta la muerte por $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_STRANGLE_NO_KILLER;was strangled to death;a été étranglé(e) jusqu'à ce que mort s'en suive;;;fue estrangulado (a) asta la muerte;;;;;;;;;;;;x;
DEATH_SICKLY_DRAGON;died sick and misshapen;est mort(e) malade et malformé(e);;;murió enfermo (a) y deforme;;;;;;;;;;;;x;
DEATH_SICKLY;died a sickly infant;est mort(e) de maladie infantile;;;murió de una enfermedad de la infancia;;;;;;;;;;;;x;
execute_decision;Execute Imprisoned;Exécute un(e) prisonnier(e);;;Ejecutar al prisionero;;;;;;;;;;;x;;
execute_decision_desc;Have [Root.GetTitledFirstNameWithDynasty] executed;A exécuté [Root.GetTitledFirstNameWithDynasty];;;Hacer que [Root.GetTitledFirstNameWithDynasty] sea ejecutado (a);;;;;;;;;;;x;;
TOOLTIP_EXECUTION_REALM_UPSET;This will upset rulers in [Root.TopLiege.PrimaryTitle.GetName]\n;Cela affectera les dirigeants de [From.TopLiege.PrimaryTitle.GetName]\n;;;Esto afectará a los líderes de [From.TopLiege.PrimaryTitle.GetName]\n;;;;;;;;;;;x;;
EVTDESCimprisoned.10;[Root.PrimaryTitle.GetFOA], [From.GetTitledFirstNameWithDynasty] has been brought from [From.GetHerHis] cell for execution. How shall [From.GetSheHe] be dispatched?;[Root.PrimaryTitle.GetFOA], [From.GetTitledFirstNameWithDynasty] a été sorti(e) de sa cellule pour être exécuté(e). Quel moyen sera-t-il employé ?;;;[Root.PrimaryTitle.GetFOA], [From.GetTitledFirstNameWithDynasty] a sido traído (a) de la celda para su ejecución. ¿Cómo se le Ejecutará?;;;;;;;;;;;x;;
EVTOPTAimprisoned.10;[From.GetSheHeCap] will be beheaded;[From.GetSheHeCap] sera décapité(e);;;[From.GetSheHeCap] será decapitado (a);;;;;;;;;;;;x;
EVTOPTBimprisoned.10;Have [From.GetHerHim] hanged;Qu'on [From.GetHerHim] pende !;;;Lo (a) ahorcaremos;;;;;;;;;;;;x;
EVTOPTCimprisoned.10;Burn [From.GetHerHim]!;Brûlez-[From.GetHerHim]!;;;!Fuego!;;;;;;;;;;;;x;
EVTOPTDimprisoned.10;[From.GetSheHeCap] will be a sacrifice to [Root.Religion.GetHighGodName];[From.GetSheHeCap] sera sacrifié(e) à [Root.Religion.GetHighGodName];;;[From.GetSheHeCap] se sacrificará a [Root.Religion.GetHighGodName];;;;;;;;;;;;x;
EVTOPTEimprisoned.10;I want this defeated opponent mutilated and burnt!;Je veux que cet adversaire vaincu(e) soit mutilé(e) et brulé(e) vif(ve).;;;¡Quiero que este oponente sea mutilado (a) y quemado vivo!;;;;;;;;;;;;x;
EVTOPTFimprisoned.10;Have [From.GetHerHim] flayed alive;Faites-[From.GetHerHim] écorcher vif.;;;Haz que sea desollado (a) vivo;;;;;;;;;;;;x;
EVTOPTGimprisoned.10;Feed [From.GetHerHim] to my dragon;Donnez-[From.GetHerHim] en pâture à mon dragon;;;Alimentar a mi dragón;;;;;;;;;;;;x;
EVTOPTHimprisoned.10;[From.GetSheHeCap] will make a good meal!;On en fera un bon repas !;;;![From.GetSheHeCap] sera una buena comida!;;;;;;;;;;;;x;
EVTOPTIimprisoned.10;I want to see [From.GetHerHim] fly!;Je veux [From.GetHerHim] voir voler !;;;¡Quiero ver como vuela!;;;;;;;;;;;;x;
EVTOPTJimprisoned.10;Crucify [From.GetHerHim];Crucifiez-[From.GetHerHim];;;Crucificar;;;;;;;;;;;;x;
EVTOPTKimprisoned.10;It will be death by snu snu!;Ce sera une exécution par sexe jusqu'à ce que mort s'ensuive !;;;¡Será una ejecución de sexo hasta que no pueda mas y muera!;;;;;;;;;;;;x;
EVTOPTLimprisoned.10;I will personally strangle [From.GetHerHim] to death!;Je l'étranglerai moi-même jusqu'à la mort !;;;Lo estrangularé personalmente;;;;;;;;;;;;x;
EVTOPTMimprisoned.10;I want [From.GetHerHim] crushed to death!;Je [From.GetHerHim] veux écrabouillé(e) à mort !;;;!Quiero que muera aplastado!;;;;;;;;;;;;x;
EVTOPTNimprisoned.10;Have [From.GetHerHim] buried in hot ash;L'enterrer dans des cendres brûlantes;;;Haz que se convierta en cenizas;;;;;;;;;;;;x;
EVTOPTOimprisoned.10;[From.GetSheHeCap] will be hung, drawn and quartered;[From.GetSheHeCap] sera pendu(e), étiré(e) et écartelé(e);;;![From.GetSheHeCap] será ahorcado (a), estirado y descuartizado!;;;;;;;;;;;;x;
EVTOPTPimprisoned.10;Put [From.GetHerHim] in the bear pit!;Jetez-[From.GetHerHim] dans la fosse aux ours !;;;¡Lanzalo (a) al pozo del oso!;;;;;;;;;;;;x;
EVTOPTQimprisoned.10;Feed [From.GetHerHim] to the lions;Jetez-[From.GetHerHim] en pâture aux lions;;;Alimenta a los leones;;;;;;;;;;;;x;
EVTOPTRimprisoned.10;Make [From.GetHerHim] suffer in the snake pit;Faites- [From.GetHerHim] souffrir dans la fosse aux serpents;;;Haz que sufra en el pozo de las serpientes;;;;;;;;;;;;x;
EVTOPTSimprisoned.10;Tear [From.GetHerHis] bowels out!;Arrachez-lui les entrailles !;;;¡Arráncale los intestinos!;;;;;;;;;;;;x;
EVTOPTTimprisoned.10;Boil [From.GetHerHim] alive;Faites [From.GetHerHim] bouillir vivant(e);;;Hervirlo (a) vivo ;);;;;;;;;;;;;x
EVTOPTUimprisoned.10;I know, saw [From.GetHerHim] in half!;Je sais, tronçonnez-[From.GetHerHim] en deux !;;;!Ya sé, lo (a) cortare en dos!;;;;;;;;;;;;x;
EVTOPTVimprisoned.10;Let the hunt begin!;Et maintenant, que la chasse commence !;;;;¡Y ahora, que comience la caza!;;;;;;;;;;;;x
EVTOPTWimprisoned.10;Bury [From.GetHerHim] alive;Enterrez-[From.GetHerHim] vivant(e) !;;;Entiérralo (a) vivo;;;;;;;;;;;;x;
EVTOPTXimprisoned.10;Wall [From.GetHerHim] up in a tomb;Emmurez-[From.GetHerHim] dans une tombe;;;Entiérralo (a) en un muro;;;;;;;;;;;;x;
EVTOPTYimprisoned.10;Have [From.GetHerHim] drowned in a vat of wine;Noyez-[From.GetHerHim] dans une cuve de vin;;;Haz que se ahogue en una cuba de vino;;;;;;;;;;;;x;
EVTOPTZimprisoned.10;Impale [From.GetHerHim] slowly;Empalez-[From.GetHerHim] lentement;;;Impalelo (a) lentamente;;;;;;;;;;;;x;
EVTOPTAAimprisoned.10;[From.GetSheHeCap] will make a feast for the tigers;[From.GetSheHeCap] fera un mets de fête pour les tigres;;;[From.GetSheHeCap] hará una fiesta para los tigres;;;;;;;;;;;;x;
EVTOPTABimprisoned.10;Trample [From.GetHerHim] with elephants!;Faites-[From.GetHerHim] piétiner par les éléphants !;;;¡Arróllalo (a) con elefantes!;;;;;;;;;;;;x;
EVTOPTACimprisoned.10;Torture [From.GetHerHim] with bamboo;Torturez-[From.GetHerHim] avec des bambous;;;Torturalo (a) con bambú;;;;;;;;;;;;x;
EVTOPTADimprisoned.10;[Root.Religion.GetHighGodName] commands [From.GetSheHe] must be stoned;[Root.Religion.GetHighGodName] commande qu'[From.GetSheHe] soit lapidé(e) !;;;[Root.Religion.GetHighGodName] ordena que se coloque!;;;;;;;;;;;;x;
EVTOPTAEimprisoned.10;Have [From.GetHerHim] carved into a blood eagle;découpez [From.GetHerHim] en aigle de sang;;;Hazle la antigua tortura del Águila de sangre;;;;;;;;;;;;x;
EVTOPTAFimprisoned.10;[From.GetSheHeCap] will be trampled to death by horses;[From.GetSheHeCap] sera piétiné(e) à mort par des chevaux;;;[From.GetSheHeCap] será pisoteado hasta la muerte por los caballos;;;;;;;;;;;;x;
EVTOPTAGimprisoned.10;Break [From.GetHerHis] back;Brisez-lui le dos;;;Romper su espalda;;;;;;;;;;;;x;
EVTOPTAHimprisoned.10;Break [From.GetHerHim] on the wheel;Brisez-[From.GetHerHim] sur la roue;;;Ponlo (a) en la rueda;;;;;;;;;;;;x;
EVTOPTAIimprisoned.10;Have [From.GetHerHim] gored to death by boars;Faites-[From.GetHerHim] écorcher à mort par des sangliers;;;Haga que corra hasta la muerte por jabalíes;;;;;;;;;;;;x;
EVTOPTAJimprisoned.10;My wolf will ravage [From.GetHerHim]!;Mon loup va [From.GetHerHim] ravager !;;;!Mi lobo lo matara!;;;;;;;;;;;;x;
EVTOPTAKimprisoned.10;My shadowcat will tear [From.GetHerHim] to pieces!;Mon lynx des fumées va l'écorcher !;;;!Mi lobo te hara pedazos!;;;;;;;;;;;;x;
EVTOPTALimprisoned.10;My snowbear will make short work of [From.GetHerHim];Mon ours des neiges va [From.GetHerHim] mettre en pièces !;;;¡Mi oso de nieve te destrozara!;;;;;;;;;;;;x;
EVTOPTAMimprisoned.10;Set my direwolf upon [From.GetHerHim]!;Envoyez mon loup-garou sur [From.GetHerHim] !;;;¡Envíare a mi Lobo huargo a despedazarlo!;;;;;;;;;;;;x;
EVTOPTANimprisoned.10;Maul [From.GetHerHim] to death with my bear!;Mon ours va l'écraser !;;;Mi oso lo destrozara!;;;;;;;;;;;;x;
EVTOPTAOimprisoned.10;Feed [From.GetHerHim] to my boar!;Mon loup va [From.GetHerHim] ravager !;;;!Alimentaras a mi jabalí!;;;;;;;;;;;;x;
EVTOPTAPimprisoned.10;[From.GetSheHeCap] will make a meal for my dog!;Donnez [From.GetHerHim] à manger à mon sanglier !;;;![From.GetSheHeCap] sera comida para mi perro!;;;;;;;;;;;;x;
DEATH_EXECUTION_WOLF;was ravaged to death by $KILLER$'s wolf;a été tué(e) par un loup $TUEUR$;;;fue asesinado (a) por un lobo $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_WOLF_NO_KILLER;was ravaged to death by a wolf;a été tué(e) par un loup;;;fue asesinado (a) por un lobo;;;;;;;;;;;;x;
DEATH_EXECUTION_SHADOWCAT;was ravaged to death by $KILLER$'s shadowcat;a été tué(e) par un lynx des fumées $TUEUR$;;;fue asesinado (a) por un gatosombra $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_SHADOWCAT_NO_KILLER;was ravaged to death by a shadowcat;a été tué(e) par un a lynx des fumées;;;fue asesinado (a) por un gatosombra;;;;;;;;;;;;x;
DEATH_EXECUTION_SNOWBEAR;was mauled to death by $KILLER$'s snowbear;a été tué(e) par un ours des neiges $TUEUR$;;;fue asesinado (a) por un oso de nieve $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_SNOWBEAR_NO_KILLER;was mauled to death by a snowbear;a été tué(e) par un ours des neiges;;;fue asesinado (a) por un oso de nieve;;;;;;;;;;;;x;
DEATH_EXECUTION_DIREWOLF;was eaten alive by $KILLER$'s direwolf;a été dévoré(e) par un loup-garou $TUEUR$;;;fue asesinado (a) por un lobo huargo $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_DIREWOLF_NO_KILLER;was eaten alive by a direwolf;a été dévoré(e) par un loup-garou $TUEUR$;;;fue asesinado (a) por un lobo huargo;;;;;;;;;;;;x;
DEATH_EXECUTION_BROWNBEAR;was mauled to death by $KILLER$'s bear;a été tué(e) par un ours $TUEUR$;;;fue asesinado (a) por un oso $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_BROWNBEAR_NO_KILLER;was mauled to death by a bear;a été tué(e) par un ours;;;fue asesinado (a) por un oso;;;;;;;;;;;;x;
DEATH_EXECUTION_BOAR_TRAIT;was killed and eaten by $KILLER$'s boar;a été tué(e) et mangé(e) par un sanglier $TUEUR$;;;fue asesinado (a) por un jabali $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_BOAR_TRAIT_NO_KILLER;was killed and eaten by a boar;a été tué(e) et mangé(e) par un sanglier;;;fue asesinado (a) por un jabali;;;;;;;;;;;;x;
DEATH_EXECUTION_DOG;was killed and eaten by $KILLER$'s dog;a été tué(e) et mangé(e) par un chien $TUEUR$;;;fue asesinado (a) por un perro $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_DOG_NO_KILLER;was killed and eaten by a dog;a été tué(e) et mangé(e) par un chien;;;fue asesinado (a) por un perro;;;;;;;;;;;;x;
DEATH_EXECUTION_BEYOND_WALL;was banished to die in the lands beyond The Wall by $KILLER$;;;;fue desterrado (a) a morir en las tierras más allá del Muro por $KILLER$;;;;;;;;;;;;x;
DEATH_EXECUTION_BEYOND_WALL_NO_KILLER;was banished to die in the lands beyond The Wall;;;;fue desterrado (a) a morir en las tierras más allá del Muro;;;;;;;;;;;;x;
DEATH_duel_trial_by_seven;was slayed by $KILLER$ during a trial of seven;;;;fue asesinado (a) por $KILLER$ durante un juicio de los siete;;;;;;;;;;;;x;
DEATH_duel_battle;was killed in personal combat in the midst of battle by $KILLER$;;;;fue asesinado (a) por $KILLER$ en combate personal en medio de una batalla;;;;;;;;;;;;x;
DEATH_duel_trial_by_combat;was slayed by $KILLER$ during a trial by combat;;;;fue asesinado (a) por $KILLER$ durante un juicio por combate;;;;;;;;;;;;x;
DEATH_duel_melee;was killed in a melee by $KILLER$;;;;fue asesinado (a) en un combate cuerpo a cuerpo por $KILLER$;;;;;;;;;;;;x;
DEATH_duel_regency;was killed in a duel of honour for the regency by $KILLER$;;;;fue asesinado (a) en un duelo de honor por la regencia por $KILLER$;;;;;;;;;;;;x;
DEATH_duel_rogue_kg;was killed in an attempt to break their vows by $KILLER$;;;;fue asesinado (a) en un intento de romper sus votos por $KILLER$;;;;;;;;;;;;x;
DEATH_duel_vs_rogue_kg;was shockingly slain by the rogue kingsguard $KILLER$;;;;fue sorprendentemente asesinado (a) por el guarda real renegado $KILLER$;;;;;;;;;;;;x;
DEATH_duel_kingsmoot;was killed in a duel of honour during a kingsmoot by $KILLER$;;;;fue asesinado (a) en un duelo de honor durante un Asamblea de sucesión por $KILLER$;;;;;;;;;;;;x;
DEATH_duel_honour;was slayed by $KILLER$ in a duel of honour;;;;fue asesinado (a) por $KILLER$ en un duelo de honor;;;;;;;;;;;;x;
DEATH_battle_bloodrider;died a glorious death at the hands of $KILLER$ for their dead khal;;;;murió en una muerte gloriosa por $KILLER$ en la batalla por su khal;;;;;;;;;;;;x;
DEATH_battle_bloodrider_NO_KILLER;died a glorious death in battle for their dead khal;;;;murió en una muerte gloriosa en la batalla por su khal;;;;;;;;;;;;x;
death_text_excommunicated;Known to have angered the High Septon, [GetFirstName] was declared an anathema of the faith. A wicked [GetManWoman], [GetFirstName] will surely have to answer for [GetHerHis] crimes before The Seven;;;;Conocido (a) por haber enojado al Septon Supremo, [GetFirstName] fue declarado un anatema de la fe y un malvado [GetManWoman], [GetFirstName] seguramente tendrá que responder por los crímenes [GetHerHis] ante los Siete;;;;;;;;;;;;x;
death_text_kinslayer;Guilty of the most heinous crime, [GetFirstName] will be forever be known as a kinslayer. May [Religion.GetHighGodName] have mercy on [GetHerHim], for no man is so accursed as the kinslayer;;;;Culpable del crimen más atroz, [GetFirstName] siempre será conocido (a) como un Matasangre. Puede [Religion.GetHighGodName] tener piedad de el, porque ningún hombre esta tanmaldito como el Matasangre;;;;;;;;;;;;;
death_text_crazy;Unstable of mind and unpredictable, [GetHerHis] reign was marred by [GetHerHis] bouts of insanity. May [GetSheHe] finally find peace of mind with [Religion.GetHighGodName];;;;Inestable en su mente e imprevisible, su reinado de se vio empañado por episodios de locura. Que finalmente encuentre la paz mental con [Religion.GetHighGodName];;;;;;;;;;;;;
death_text_good_knight;Just and true, [GetFirstName] was a Knight of great virtue. May [GetSheHe] be forever held up as an example of a chivalrous warrior of The Seven.;;;;Justo y honrado, era un Caballero de gran virtud. Que su virtud sea ejemplo para siempre de la caballerosidad de los guerreros de Los Siete;;;;;;;;;;;;x;
death_text_virtuous;A fine example of righteousness, [GetFirstName] was known throughout the realm for [GetHerHis] virtue and honour. A truly good [GetManWoman], [GetSheHe] is with [Religion.GetHighGodName] now;;;;Un buen ejemplo de rectitud, era conocido (a) en todo el reino por su virtud y honor. Una persona realmente buena [GetManWoman], ahora esta con [Religion.GetHighGodName];;;;;;;;;;;;x;
death_text_chosen_by_rhllor;Destined to stand against the Others, [GetFirstName] was Azor Ahai reborn again, the chosen champion sent by R'hllor. Let not it be said [GetSheHe] failed, but that the darkness fled before [GetHerHim];;;;Destinado a oponerse a los Otros, fue Azor Ahai quien renació de nuevo, el campeón (a) fue enviado por R'hllor. Que no se diga que fondo, sino que la oscuridad huyo a su paso;;;;;;;;;;;;x;
