#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NW_government;Night's Watch;Garde de Nuit;;;Guardia de la Noche;;;;;;;;;x
LP_job_castellan_andal_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_job_castellan_dornish_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_job_castellan_first_men_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_job_castellan_iron_isles_culture_female;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
LP_king_job_castellan_female;Seneschal;Sénéchal;;;Senescal ;;;;;;;;;x
LP_king_job_chancellor_female;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
LP_king_job_treasurer_female;Lord Treasurer;Lord Trésorier;;;Tesorero Mayor;;;;;;;;;x
LP_king_job_marshal_female;Chief General;Général en chef;;;Comandante en Jefe;;;;;;;;;x
LP_king_job_spymaster_female;Spymaster;Maître Espion;;;Maestro de espías;;;;;;;;;x
LP_king_job_marshal_andal_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_king_job_marshal_dornish_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_king_job_marshal_first_men_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
LP_king_job_marshal_iron_isles_culture_female;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la Flota;;;;;;;;;x
LP_king_job_castellan_andal_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_king_job_castellan_dornish_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_king_job_castellan_first_men_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
LP_king_job_castellan_iron_isles_culture_female;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
LORD_PROTECTOR;Lord Protector;Lord Suzerain;Lord Paramount;Lord Paramount;Señor Supremo;;;;;;;;;x
LADY_PROTECTOR;Lady Protector;Lady Suzerain;Lady Paramount;Lady Paramount;Señora Suprema;;;;;;;;;x
wildling_feudal_government;Tribal;Organisation tribale;Stammesregierung;;Tribal;;;;;;;;;x
wildling_feudal_government_desc;Tribes are settled but agrarian. They only respect the strongest of rulers and a son is not guranteed to inherit all of their parent's titles upon succession if they are a weak ruler. Tribal rulers are limited to the 'Open', 'Tanistry' or 'Elective Monarchy' Succession Laws, which allow the strongest child to inherit or the one that your vassals choose as the strongest from your family or from amongst themselves.;Les tribus ne respectent que le plus fort de ses dirigeants et un fils n'a pas l'assurance d'hériter de tous les titres de ses parents lors de la succession si c'est un dirigeant faible. Les dirigeants tribaux sont limitées au lois de succession suivantes : 'Ouverte', 'Tanistrie' ou 'Monarchie Elective', qui permettent à l'enfant le plus fort d'hériter ou celui que les vassaux choisissent comme étant le plus fort au sein de la famille ou d'eux-mêmes.;"Las tribus están establecidas pero son agrarias. Solo respetan al más fuerte de los gobernantes y un hijo no está seguro de heredar todos los títulos de sus padres tras la sucesión si es un gobernante débil. Los gobernantes tribales están limitados a las Leyes de Sucesión ""Abierto"", ""Tanístico"" o ""Monarquía Electiva"", que permiten heredar al niño más fuerte o al que tus vasallos eligen como el más fuerte de tu familia o de entre ellos mismos.";;;;;;;;;x;;
wildling_feudal_government_FEATURES;§Y*§! May freely invade neighbours if independent\n§Y*§! Vassals may renounce weak heirs\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes;;;§Y*§! uede invadir libremente a los vecinos si es independiente\n§Y*§! Vasallos pueden renunciar a herederos débiles\n§Y*§! Este gobierno cuenta como §Yfeudal§! para impuestos y otros propósitos;;;;;;;;;x;
;;;;;;;;;;;;;;x
noble_oligarchy;Noble Oligarchy;;;;Oligarquía noble;;;;;;;;;x
noble_oligarchy_desc;The realm is ruled by an oligarchy of important noblemen. They collectively decide on all matters of civic importance. The Pureborn of Qarth, descendants of Qarth's ancient kings and queens, are the most famous example of an Oligarchy.;;;;El reino está gobernado por una oligarquía de nobles importantes. Ellos deciden colectivamente sobre todos los asuntos de importancia cívica. Los Pueblos de Qarth, descendientes de los antiguos reyes y reinas de Qarth, son el ejemplo más famoso de una Oligarquía.;;;;;;;;;x
noble_oligarchy_FEATURES;§Y*§! Succession is always elective\n§Y*§! The council is always fully empowered\n§Y*§! Feudal and Republic vassal opinion §G+10§!\n§Y*§! Most government types accept liege oligarchies (excludes tribal and nomadic)\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes;;;;§Y*§! La sucesión es siempre electiva\n§Y*§! El concilio siempre está completamente autorizado\n§Y*§! Opinión vasalla feudal y de la República §G+10§!\n§Y*§! La mayoría de los tipos de gobierno aceptan las oligarquías señoriales (excluye las tribales y las nómadas)\n§Y*§! Este gobierno cuenta como §Yfeudal§! para impuestos y otros fines.;;;;;;;;;x
republic_law_oligarchy;Noble Oligarchy;Magistrature élective;Magistrature élective;Magistrature élective;Magistratura Electiva;;;;;;;;;x
republic_law_oligarchy_option;Oligarchy;Elective;Elective;Elective;Electiva;;;;;;;;;x
republic_law_oligarchy_desc;The realm is ruled by an oligarchy of important noblemen. They collectively decide on all matters of civic importance. The Pureborn of Qarth, descendants of Qarth's ancient kings and queens, are the most famous example of an Oligarchy.;C'est le système d'élection traditionnel de la République où les [Root.Holder.GetTitle]s sont élus.;C'est le système d'élection traditionnel de la République où les [Root.Holder.GetTitle]s sont élus.;C'est le système d'élection traditionnel de la République où les [Root.Holder.GetTitle]s sont élus.;Es el sistema de elección tradicional de la República donde los [Root.Holder.GetTitle]s son elegido.;;;;;;;;;x
oligarchy_empire;Empire;Empire;;;Imperio;;;;;;;;;x
oligarchy_empire_of;Empire of;Empire de;;;Imperio de;;;;;;;;;x
oligarchy_empire_andal;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_empire_of_andal;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_empire_dornish;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_empire_of_dornish;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_empire_first_men;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_empire_of_first_men;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_empire_iron_isles_culture;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_empire_of_iron_isles_culture;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_empire_free_folk;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_empire_of_free_folk;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_empire_summer_islander;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_empire_of_summer_islander;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_emperor;Prince;Prince;Prince;Prince;Príncipe;;;;;;;;;x
oligarchy_emperor_female;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
oligarchy_emperor_foa;My Prince;Mon Prince;My Prince;My Prince;Su Alteza;;;;;;;;;x
oligarchy_emperor_foa_female;My Princess;Ma Princesse;My Princess;My Princess;Su Alteza;;;;;;;;;x
oligarchy_emperor_title_prince;Prince;Prince;Prince;Prince;Príncipe;;;;;;;;;x
oligarchy_emperor_title_prince_female;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
oligarchy_emperor_andal;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_female_andal;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_dornish;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_female_dornish;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_first_men;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_female_first_men;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_iron_isles_culture;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_female_iron_isles_culture;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_free_folk;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_female_free_folk;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_summer_islander;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_female_summer_islander;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_andal;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_andal;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_andal;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_dornish;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_dornish;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_dornish;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_first_men;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_first_men;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_first_men;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_iron_isles_culture;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_iron_isles_culture;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_iron_isles_culture;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_free_folk;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_free_folk;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_free_folk;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_summer_islander;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_summer_islander;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_summer_islander;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_prince_valyrian;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_emperor_title_prince_female_valyrian;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_emperor_title_queen_mother_female_valyrian;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_kingdom;Principality;Principauté;;;Principado;;;;;;;;;x
oligarchy_kingdom_of;Principality of;Principauté de;;;Principado de;;;;;;;;;x
oligarchy_kingdom_andal;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_kingdom_of_andal;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_kingdom_dornish;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_kingdom_of_dornish;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_kingdom_first_men;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_kingdom_of_first_men;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_kingdom_iron_isles_culture;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_kingdom_of_iron_isles_culture;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_kingdom_free_folk;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_kingdom_of_free_folk;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_kingdom_summer_islander;Protectorate;Royaume;;;Reino;;;;;;;;;x
oligarchy_kingdom_of_summer_islander;Protectorate of;Royaume de;;;Reino de;;;;;;;;;x
oligarchy_king;Prince;Prince;Prince;Prince;Príncipe;;;;;;;;;x
oligarchy_king_female;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
oligarchy_king_foa;My Prince;Mon Prince;My Prince;My Prince;Su Alteza;;;;;;;;;x
oligarchy_king_foa_female;My Princess;Ma Princesse;My Princess;My Princess;Su Alteza;;;;;;;;;x
oligarchy_king_title_prince;Prince;Prince;Prince;Prince;Príncipe;;;;;;;;;x
oligarchy_king_title_prince_female;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
oligarchy_king_title_queen_mother_female;Princess;Princesse;Princess;Princess;Princesa;;;;;;;;;x
oligarchy_king_andal;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_female_andal;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_dornish;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_female_dornish;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_first_men;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_female_first_men;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_iron_isles_culture;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_female_iron_isles_culture;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_free_folk;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_female_free_folk;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_summer_islander;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_female_summer_islander;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_free_cities;Archon;Archonte;;;Arconte;;;;;;;;;x
oligarchy_king_female_free_cities;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_andal;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_andal;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_andal;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_dornish;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_dornish;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_dornish;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_first_men;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_first_men;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_first_men;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_iron_isles_culture;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_iron_isles_culture;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_iron_isles_culture;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_free_folk;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_free_folk;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_free_folk;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_summer_islander;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_summer_islander;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_summer_islander;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_prince_valyrian;Lord;Lord;Lord;Lord;Señor;;;;;;;;;x
oligarchy_king_title_prince_female_valyrian;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_king_title_queen_mother_female_valyrian;Lady;Lady;Lady;Lady;Señora;;;;;;;;;x
oligarchy_job_marshal_andal;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_job_marshal_dornish;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_job_marshal_first_men;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_job_marshal_iron_isles_culture;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la flota;;;;;;;;;x
oligarchy_job_castellan_andal;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_job_castellan_dornish;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_job_castellan_first_men;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_job_castellan_iron_isles_culture;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
oligarchy_king_job_castellan;Seneschal;Sénéchal;;;Senescal ;;;;;;;;;x
oligarchy_king_job_chancellor;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
oligarchy_king_job_treasurer;Lord Treasurer;Lord Trésorier;;;Tesorero Mayor;;;;;;;;;x
oligarchy_king_job_marshal;Chief General;Général en chef;;;Comandante en Jefe;;;;;;;;;x
oligarchy_king_job_spymaster;Spymaster;Maître Espion;;;Maestro de espías;;;;;;;;;x
oligarchy_king_job_marshal_andal;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_king_job_marshal_dornish;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_king_job_marshal_first_men;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_king_job_marshal_iron_isles_culture;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la Flota;;;;;;;;;x
oligarchy_king_job_castellan_andal;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_dornish;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_first_men;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_iron_isles_culture;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
oligarchy_job_marshal_andal_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_job_marshal_dornish_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_job_marshal_first_men_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_job_marshal_iron_isles_culture_female;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la Flota;;;;;;;;;x
oligarchy_job_castellan_andal_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_job_castellan_dornish_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_job_castellan_first_men_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_job_castellan_iron_isles_culture_female;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
oligarchy_king_job_castellan_female;Seneschal;Sénéchal;;;Senescal ;;;;;;;;;x
oligarchy_king_job_chancellor_female;Justiciar;Justicier;;;Justicia Mayor;;;;;;;;;x
oligarchy_king_job_treasurer_female;Lord Treasurer;Lord Trésorier;;;Tesorero Mayor;;;;;;;;;x
oligarchy_king_job_marshal_female;Chief General;Général en chef;;;Comandante en Jefe;;;;;;;;;x
oligarchy_king_job_spymaster_female;Spymaster;Maître Espion;;;Maestro de espías;;;;;;;;;x
oligarchy_king_job_marshal_andal_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_king_job_marshal_dornish_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_king_job_marshal_first_men_female;Master-at-Arms;Maître d'Armes;Master-at-Arms;;Maestro de armas;;;;;;;;;x
oligarchy_king_job_marshal_iron_isles_culture_female;Captain of the Fleet;Maître d'Armes;Master-at-Arms;;Capitán de la Flota;;;;;;;;;x
oligarchy_king_job_castellan_andal_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_dornish_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_first_men_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_iron_isles_culture_female;Lord Steward;Lord Intendant;Castellan;Castellan;Primer Mayordomo;;;;;;;;;x
oligarchy_king_job_castellan_high_valyrian_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
oligarchy_king_job_castellan_western_valyrian_female;Castellan;Châtelain;Castellan;Castellan;Castellano;;;;;;;;;x
;;;;;;;;;;;;;;x
outlaw_government;Outlaw Band;;;;Banda Fuera de la ley;;;;;;;;;x
outlaw_government_desc;This group are what may be considered 'outlaws'. They gain gold and recognition by kidnapping nobles and looting the lands of what they see as their enemies.;;;;Este grupo es lo que se puede considerar 'fuera de la ley'. Ganan oro y reconocimiento secuestrando a nobles y saqueando las tierras de lo que ven como sus enemigos.;;;;;;;;;x 
;;;;;;;;;;;;;;x 
colony_government;Colonial Governate;;;;;;;;;;;;;x 
colony_government_desc;This realm is ruled as a colony. It does not have self-rule and is instead governed by men and women sent from motherland. The colony is not inheritable, and will revert back to central control when either the governor dies or their term expires.;;;;;;;;;;;;;x 
colony_government_FEATURES;§Y*§! Succession is always by appointment\n§Y*§! This government counts as §Yfeudal§! for taxation and other purposes;;;;;;;;;;;;;x 
;;;;;;;;;;;;;;x 
### Government Flavour ###;;;;;;;;;;;;;;x 
gov_default;Anarchy;Anarchie;Anarchie;;Anarquía;;;;;;;;;x
gov_electorial_absolute_monarchy;Elective Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] électif(ve) absolu(e);[PrimaryTitle.GetTier] (Absolut und mit Elektorat);;[PrimaryTitle.GetTier] electivo absoluto ;;;;;;;;;x
gov_electorial_aristocratic_monarchy;Elective Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] électif(ve) aristocratique;[PrimaryTitle.GetTier] (Aristokratisch und mit Elektorat);;[PrimaryTitle.GetTier] electivo aristocrático;;;;;;;;;x
gov_electorial_despotic_monarchy;Elective Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] électif(ve) despotique;[PrimaryTitle.GetTier] (Despotisch und mit Elektorat);;[PrimaryTitle.GetTier] electivo despótico;;;;;;;;;x
gov_hereditary_absolute_monarchy;Hereditary Absolute [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] héréditaire absolu(e);[PrimaryTitle.GetTier] (Absolut und mit Erbfolge);;[PrimaryTitle.GetTier] hereditario absoluto;;;;;;;;;x
gov_hereditary_aristocratic_monarchy;Hereditary Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] héréditaire aristocratique;[PrimaryTitle.GetTier] (Aristokratisch und mit Erbfolge);;[PrimaryTitle.GetTier] hereditario aristocrático ;;;;;;;;;x
gov_hereditary_despotic_monarchy;Hereditary Despotic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] héréditaire despotique;[PrimaryTitle.GetTier] (Despotisch und mit Erbfolge);;[PrimaryTitle.GetTier] hereditario despótico;;;;;;;;;x
gov_aristocratic_republic;Aristocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] aristocratique;[PrimaryTitle.GetTier] (Aristokratisch);;[PrimaryTitle.GetTier] aristocrática;;;;;;;;;x
gov_plutocratic_republic;Plutocratic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] ploutocratique;[PrimaryTitle.GetTier] (Plutokratisch);;[PrimaryTitle.GetTier] plutocrática;;;;;;;;;x
gov_oligarchic_republic;Oligarchic [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] oligarchique;[PrimaryTitle.GetTier] (Oligarchisch);;[PrimaryTitle.GetTier] oligárquica;;;;;;;;;x
gov_patrician;[GetOnlyDynastyName] Patriciate;Patriarcat [GetOnlyDynastyName];Patrizierregierung der [GetOnlyDynastyName];;Patriciado de [GetOnlyDynastyName];;;;;;;;;x
gov_chiefdom;[Culture.GetName] [PrimaryTitle.GetTier]; [PrimaryTitle.GetTier] [Culture.GetName];[Religion.GetGroupName] [PrimaryTitle.GetTier];;[PrimaryTitle.GetTier] [Religion.GetGroupName];;;;;;;;;x
gov_noble_chiefdom;Noble [Culture.GetName] [PrimaryTitle.GetTier];[PrimaryTitle.GetTier] [Culture.GetName] noble;[Religion.GetGroupName] [PrimaryTitle.GetTier] (Adlige);;[PrimaryTitle.GetTier] [Religion.GetGroupName] noble;;;;;;;;;x
;;;;;;;;;;;;;;x
gov_pirate;Pirate Fleet of [PrimaryTitle.GetName];Flotte pirate de [PrimaryTitle.GetName];;;Flota pirata de [PrimaryTitle.GetName];;;;;;;;;x
gov_alliance;Alliance of [PrimaryTitle.GetName];Alliance de(')[PrimaryTitle.GetName];;;Alianza de [PrimaryTitle.GetName];;;;;;;;;x
gov_military_command;Military Command of [PrimaryTitle.GetName];Commandement militaire de [PrimaryTitle.GetName];;;Gobierno militar de [PrimaryTitle.GetName];;;;;;;;;x
gov_triarchy;[Culture.GetName] Triarchy;Triarchie [Culture.GetName];;;Triarquía [Culture.GetName];;;;;;;;;x
gov_lord_paramount;Lord Paramouncy of [PrimaryTitle.GetName];Seigneurie suzeraine de [PrimaryTitle.GetName];;;Señorío Supremo de [PrimaryTitle.GetName];;;;;;;;;x
gov_kingsguard;The Kingsguard;La Garde Royale;;;La Guardia Real;;;;;;;;;x
gov_nightswatch;The Night's Watch;La Garde de Nuit;;;La Guardia de la Noche;;;;;;;;;x
gov_deserter;[GetFirstName]'s Deserter Band;Bande de déserteurs de [GetFirstName];;;Banda de desertores de [GetFirstName];;;;;;;;;x
gov_three_daughters;Kingdom of The Three Daughters;Royaume des Trois Sœurs;;;Reino de las Tres Hijas;;;;;;;;;x
gov_volantis;Triarchy of Volantis;Triarchie de Volantis;;;Triarquía de Volantis;;;;;;;;;x
gov_kingsmoot;Ironborn Kingsmoot [PrimaryTitle.GetTier];Etats généraux fer-nés du [PrimaryTitle.GetTier];;;Asamblea de Sucesión de [PrimaryTitle.GetTier];;;;;;;;;x
gov_golden_empire;Golden Empire of Yi Ti;Empire Doré de Yi Ti;;;Imperio Dorado de Yi Ti;;;;;;;;;x
gov_interregnum;[PrimaryTitle.GetTier] in Interregnum;[PrimaryTitle.GetTier] en interrègne;;;[PrimaryTitle.GetTier] en interregno;;;;;;;;;x
gov_noble_oligarchy;Noble Oligarchy;;;;Oligarquía noble;;;;;;;;;x
