#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTBred_priest.3;I am not bothered;Je ne suis pas dérangé;;;No estoy preocupado;;;;;;;;;x
EVTDESCred_priest.26C;[red_priest.GetTitledFirstName] has you bathe in hot blood before starting to mutter unintelligible incantations. [red_priest.GetSheHeCap] then slits the throat of a lamb, spilling its blood over your wound. Immediately you feel relieved.;[red_priest.GetTitledFirstName] vous fait vous baigner dans du sang chaud avant de murmurer des incantations inintelligibles. [red_priest.GetSheHeCap] tranche ensuite la gorge d’un agneau, répandant son sang sur votre blessure. Vous vous sentez immédiatement soulagé(e).;;;;;;;;;;;;x
EVTOPTAred_priest.26;[Root.Religion.GetRandomGodName] favours me;J’ai les faveurs de [Root.Religion.GetRandomGodName];;;;;;;;;;;;x
EVTDESCred_priest.27;[red_priest.GetTitledFirstName] tried to call upon R'hllor to heal you of your ailment, chanting his name and bathing the aflicted area in fire. Nothing happened however, except a mild burning.;[red_priest.GetTitledFirstName] a tenté d'invoquer R'hllor pour vous soigner de vos maux, psalmodiant son nom et appliquant du feu sur les zones touchées. Mais rien ne s'est produit, à part de légères brûlures.;;;;;;;;;;;;x
EVTDESCred_priest.27B;[red_priest.GetTitledFirstName] tried to call upon all [red_priest.GetHerHis] power to heal you of your ailment, spilling the blood of a slaughtered lamb on your wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the shade-of-the-evening [red_priest.GetSheHe] made you drink.;[red_priest.GetTitledFirstName] a tenté d'invoquer son pouvoir pour vous soigner de vos maux, répandant du sang d’agneau sur vos blessures tout en récitant de vagues incantations. Mais rien ne s'est produit, à part quelques vagues visions venant de l’ombre-du-soir qu’[red_priest.GetSheHe] vous a fait boire.;;;;;;;;;;;;x
EVTDESCred_priest.27C;[red_priest.GetTitledFirstName] tried to call upon all [red_priest.GetHerHis] power to heal you of your ailment, spilling the blood of a slaughtered lamb on your wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the concotion of blood [red_priest.GetSheHe] made you drink.;[red_priest.GetTitledFirstName] a tenté d'invoquer son pouvoir pour vous soigner de vos maux, répandant du sang d’agneau sur vos blessures tout en récitant de vagues incantations. Mais rien ne s'est produit, à part quelques vagues visions venant de l’ombre-du-soir qu’[red_priest.GetSheHe] vous a fait boire.;;;;;;;;;;;;x
EVTOPTAred_priest.27;Why has [Root.Religion.GetRandomGodName] forsaken me?;Pourquoi [Root.Religion.GetRandomGodName] m'a-t-il abandonné(e) ?;;;;;;;;;;;;x
EVTDESCred_priest.28;The disfigurement you suffer is great, but [red_priest.GetTitledFirstName] is confident the Lord of Light can cure it from his chosen. The Red Priest erects a large pyre, and bids you enter it. As you do so the heat does not harm you, and instead frees you of your affliction!;La défiguration dont vous souffrez est grande, mais [red_priest.GetTitledFirstName] a confiance dans le Maître de la Lumière pour soigner son élu. Le Prêtre Rouge érige un grand bûcher, et vous invite à y entrer. Alors que vous obéissez, la chaleur ne vous pose pas de problème, mais vous libère de votre affliction!;;;;;;;;;;;;x
EVTDESCred_priest.28B;The disfigurement you suffer is great, but [red_priest.GetTitledFirstName] is confident you can be cured using the most powerful magic [red_priest.GetSheHe] possesses. The Warlock has you drink copious amounts of shade-of-the-evening to induce deep visions, whilst slaughtering a whole aurochs to start the spell. When you wake up from your trance you find you have been healed!;La défiguration dont vous souffrez est grande, mais [red_priest.GetTitledFirstName] a confiance que la magie qu’[red_priest.GetSheHe] détient peut vous guérir. Le Conjurateur vous fait boire énormément d’ombre-du-soir pour provoquer de profondes visions, tout en sacrifiant un aurochs en entier pour commencer le sort. Quand vous vous réveillez de votre transe, vous êtes guéri(e) ! ;;;;;;;;;;;;x
EVTDESCred_priest.28C;The disfigurement you suffer is great, but [red_priest.GetTitledFirstName] is confident you can be cured using the most powerful blood magic [red_priest.GetSheHe] possesses. The [Root.Religion.GetPriestTitle] has you drink vile tasting concoctions to induce deep visions, whilst slaughtering a whole aurochs to start the spell. When you wake up from your trance you find you have been healed!;La défiguration dont vous souffrez est grande, mais [red_priest.GetTitledFirstName] a confiance que la magie qu’[red_priest.GetSheHe] détient peut vous guérir. Le Conjurateur vous fait boire énormément d’ombre-du-soir pour provoquer de profondes visions, tout en sacrifiant un aurochs en entier pour commencer le sort. Quand vous vous réveillez de votre transe, vous êtes guéri(e) ! ;;;;;;;;;;;;x
EVTOPTAred_priest.28;This is miraculous!;C'est un miracle!;;;;;;;;;;;;x
EVTDESCred_priest.29;In an attempt to free you of your burdensome affliction, [red_priest.GetTitledFirstName] urged you to enter a large pyre that [red_priest.GetSheHe] erected. It does not work however. You try to resist the searing heat and let the flames heal you, but they burn too much...;Dans une tentative de vous libérer de vos pénibles souffrances, [red_priest.GetTitledFirstName] vous presse d'entrer dans un grand bûcher qu'[red_priest.GetSheHe] a érigé. Cela ne fonctionne pas. Vous tentez de résister à la chaleur torride et de laisser les flammes vous guérir, mais cela brûle trop...;;;;;;;;;;;;x
EVTDESCred_priest.29B;In an attempt to free you of your burdensome affliction, [red_priest.GetTitledFirstName] urges you to drink a large quanity of shade-of-the-evening to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the magic, you are not healed. The visions you suffer are intense, but only make your affliction feel a hundred times worse, making your head feel ready to explode...;Dans une tentative de vous libérer de vos pénibles souffrances, [red_priest.GetTitledFirstName] vous presse de boire de grande quantités d’ombre-du-soir pour provoquer un sort puissant. Malgré le grand nombre d’animaux qu’[red_priest.GetSheHe] sacrifie pour que la magie arrive, votre guérison ne vient pas. Les visions vous font atrocement souffrir et cela rend votre calvaire cent fois plus fort. Votre tête est sur le point d’exploser.;;;;;;;;;;;;x
EVTDESCred_priest.29C;In an attempt to free you of your burdensome affliction, [red_priest.GetTitledFirstName] urges you to drink a foul tasting potion to induce a powerful spell. Despite the many animals [red_priest.GetSheHe] sacrifices to enable the blood magic, you are not healed. The visions you suffer are intense, but only make your affliction feel a hundred times worse, making your head feel ready to explode...;Dans une tentative de vous libérer de vos pénibles souffrances, [red_priest.GetTitledFirstName] vous presse de boire de grande quantités d’ombre-du-soir pour provoquer un sort puissant. Malgré le grand nombre d’animaux qu’[red_priest.GetSheHe] sacrifie pour que la magie arrive, votre guérison ne vient pas. Les visions vous font atrocement souffrir et cela rend votre calvaire cent fois plus fort. Votre tête est sur le point d’exploser.;;;;;;;;;;;;x
EVTOPTAred_priest.29;Arrgh! Get me out!;Argh! Sortez-moi de là!;;;;;;;;;;;;x
EVTDESCred_priest.30;[red_priest.GetTitledFirstName] stands beside [From.GetTitledFirstNameNoRegnal] and calls upon the Lord of Light to lift the darkness from [From.GetHerHim] and heal [From.GetHerHim] of [From.GetHerHis] sickness. [red_priest.GetSheHeCap] uses fire to treat the afflicted areas, and immediately [From.GetTitledFirstNameNoRegnal] says [From.GetSheHe] feels relieved.;[red_priest.GetTitledFirstName] se tient aux côtés de [From.GetTitledFirstNameNoRegnal] et en appelle au Maître de la Lumière pour dissiper les ténèbres et [From.GetHerHim] soigner de sa maladie. [red_priest.GetSheHeCap] utilise le feu pour traiter les zones affectées, et [From.GetTitledFirstNameNoRegnal] se déclare immédiatement soulagé;;;;;;;;;;;;x
EVTDESCred_priest.30B;[From.GetTitledFirstNameNoRegnal] has agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the Red Priest calls upon the Lord of Light to lift the darkness from [From.GetHerHim] and heal [From.GetHerHim] of [From.GetHerHis] sickness. [red_priest.GetSheHeCap] uses fire to treat the afflicted areas, and immediately [From.GetTitledFirstNameNoRegnal] says [From.GetSheHe] feels relieved, and has so embraced the one true god.;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] soigner, aussi le Prêtre Rouge invoque-t-il le Maître de la Lumière pour dissiper les ténèbres et [From.GetHerHim] de sa maladie. [red_priest.GetSheHeCap] utilise le feu pour traiter les zones touchées, et [From.GetTitledFirstNameNoRegnal] se déclare immédiatement soulagé. Il donc rejoint le seul vrai Dieu.;;;;;;;;;;;;x
EVTDESCred_priest.30C;[red_priest.GetTitledFirstName] has [From.GetTitledFirstNameNoRegnal] bathe in hot blood before starting to mutter unintelligible incantations. [red_priest.GetSheHeCap] then slits the throat of a lamb, spilling its blood over the wound. Immediately [From.GetTitledFirstNameNoRegnal] says [From.GetSheHe] feels relieved.;[red_priest.GetTitledFirstName] a baigné [From.GetTitledFirstNameNoRegnal] dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [red_priest.GetSheHeCap] égorge ensuite un agneau, répandant le sang sur ses blessures. Immédiatement [From.GetTitledFirstNameNoRegnal] dit se sentir soulagé(e).;;;;;;;;;;;;x
EVTDESCred_priest.30D;[From.GetTitledFirstNameNoRegnal] has agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the warlock has [From.GetTitledFirstNameNoRegnal] bathe in hot blood before starting to mutter unintelligible incantations. [red_priest.GetSheHeCap] then slits the throat of a lamb, spilling its blood over the wound. Immediately [From.GetTitledFirstNameNoRegnal] says [From.GetSheHe] feels relieved, and has so embraced the ways of the warlocks.;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] soigner, et le Conjurateur a baigné [From.GetTitledFirstNameNoRegnal] dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [red_priest.GetSheHeCap] égorge ensuite un agneau, répandant le sang sur ses blessures. Immédiatement [From.GetTitledFirstNameNoRegnal] dit se sentir soulagé(e) et rejoint la voie des Conjurateurs. ;;;;;;;;;;;;x
EVTDESCred_priest.30E;[red_priest.GetTitledFirstName] has [From.GetTitledFirstNameNoRegnal] bathe in hot blood before starting to mutter unintelligible incantations. [red_priest.GetSheHeCap] then slits the throat of a lamb, spilling its blood over the wound. Immediately [From.GetTitledFirstNameNoRegnal] says [From.GetSheHe] feels relieved.;[red_priest.GetTitledFirstName] a baigné [From.GetTitledFirstNameNoRegnal] dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [red_priest.GetSheHeCap] égorge ensuite un agneau, répandant le sang sur ses blessures. Immédiatement [From.GetTitledFirstNameNoRegnal] dit se sentir soulagé(e).;;;;;;;;;;;;x
EVTDESCred_priest.30F;[From.GetTitledFirstNameNoRegnal] has agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the [Root.Religion.GetPriestTitle] has [From.GetTitledFirstNameNoRegnal] bathe in hot blood before starting to mutter unintelligible incantations. [red_priest.GetSheHeCap] then slits the throat of a lamb, spilling its blood over the wound. Immediately [From.GetTitledFirstNameNoRegnal] says [From.GetSheHe] feels relieved, and has so embraced the ways of [Root.Religion.GetName].;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] soigner, et le Conjurateur a baigné [From.GetTitledFirstNameNoRegnal] dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [red_priest.GetSheHeCap] égorge ensuite un agneau, répandant le sang sur ses blessures. Immédiatement [From.GetTitledFirstNameNoRegnal] dit se sentir soulagé(e) et rejoint la voie des Conjurateurs. ;;;;;;;;;;;;x
EVTOPTAred_priest.30;[Root.Religion.GetRandomGodName] favours [From.GetHerHim];[Root.Religion.GetRandomGodName] [From.GetHerHim] envoie ses faveurs.;;;;;;;;;;;;x
EVTDESCred_priest.31;[red_priest.GetTitledFirstName] tried to call upon R'hllor to heal [From.GetTitledFirstNameNoRegnal] of [From.GetHerHis] ailment, chanting his name and bathing the aflicted area in fire. Nothing happened however, except a mild burning.;[red_priest.GetTitledFirstName] a tenté d'en appeler à R'hllor pour soigner [From.GetTitledFirstNameNoRegnal] de ses blessures et maladies, psalmodiant son nom et appliquant du feu sur les zones touchées, mais rien ne s'est passé, sauf de légères brûlures.;;;;;;;;;;;;x
EVTDESCred_priest.31B;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the Red Priest tried to call upon R'hllor to heal [From.GetHerHim] of [From.GetHerHis] ailment, chanting his name and bathing the aflicted area in fire. Nothing happened however, except a mild burning.;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] essayer de [red_priest.GetTitledFirstName] soigner. Aussi le Prêtre Rouge a-t-il tenté d'invoquer R'hllor pour [From.GetHerHim] de ses maux, psalmodiant son nom et appliquant du feu sur les zones touchées, mais rien ne s'est produit, sauf de légères brûlures.;;;;;;;;;;;;x
EVTDESCred_priest.31C;[red_priest.GetTitledFirstName] tried to call upon all [red_priest.GetHerHis] power to heal [From.GetTitledFirstNameNoRegnal] of [From.GetHerHis] ailment, spilling the blood of a slaughtered lamb on the wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the shade-of-the-evening the warlock made [From.GetHerHim] drink.;[red_priest.GetTitledFirstName] a tenté d'invoquer son pouvoir pour vous soigner les maux de [From.GetTitledFirstNameNoRegnal], répandant du sang d’agneau sur [From.GetHerHis] blessures tout en récitant de vagues incantations. Mais rien ne s'est produit, à part quelques vagues visions venant de l’ombre-du-soir que le Conjurateur lui a fait boire.;;;;;;;;;;;;x
EVTDESCred_priest.31D;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the warlock tried to call upon all [red_priest.GetHerHis] power to heal [From.GetHerHim] of [From.GetHerHis] ailment, spilling the blood of a slaughtered lamb on the wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the shade-of-the-evening the warlock made [From.GetHerHim] drink.;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] essayer de [red_priest.GetTitledFirstName] soigner. Le Conjurateur a essayé d’appeler ses pouvoirs pour [From.GetHerHim] soigner de [From.GetHerHis] mal, répendant le sang d’un agneau égorgé sur les blessures tout en récitant de vagues incantations. Rien ne se passe cependant à part quelques visions diffuses provoquées par l’ombre-du-soir que le Conjurateur lui a fait boire. ;;;;;;;;;;;;x
EVTDESCred_priest.31E;[red_priest.GetTitledFirstName] tried to call upon all [red_priest.GetHerHis] power in blood magic to heal [From.GetTitledFirstNameNoRegnal] of [From.GetHerHis] ailment, spilling the blood of a slaughtered lamb on the wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the potion the [Root.Religion.GetPriestTitle] made [From.GetHerHim] drink.;[red_priest.GetTitledFirstName] a tenté d'invoquer son pouvoir pour vous soigner les maux de [From.GetTitledFirstNameNoRegnal], répandant du sang d’agneau sur [From.GetHerHis] blessures tout en récitant de vagues incantations. Mais rien ne s'est produit, à part quelques vagues visions venant de l’ombre-du-soir que le Conjurateur lui a fait boire.;;;;;;;;;;;;x
EVTDESCred_priest.31F;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the [Root.Religion.GetPriestTitle] tried to call upon all [red_priest.GetHerHis] power in blood magic to heal [From.GetHerHim] of [From.GetHerHis] ailment, spilling the blood of a slaughtered lamb on the wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the poiton the [Root.Religion.GetPriestTitle] made [From.GetHerHim] drink.;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] essayer de [red_priest.GetTitledFirstName] soigner. Le Conjurateur a essayé d’appeler ses pouvoirs pour [From.GetHerHim] soigner de [From.GetHerHis] mal, répendant le sang d’un agneau égorgé sur les blessures tout en récitant de vagues incantations. Rien ne se passe cependant à part quelques visions diffuses provoquées par l’ombre-du-soir que le Conjurateur lui a fait boire. ;;;;;;;;;;;;x
EVTOPTAred_priest.31;[Root.Religion.GetRandomGodName] forsakes [From.GetHerHim];[Root.Religion.GetRandomGodName] m’a abandonné(e);;;;;;;;;;;;x
EVTDESCred_priest.32;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your ailment, and so the Red Priest stands beside you and calls upon the Lord of Light to lift the darkness from you and heal you of your sickness. [From.job_spiritual.GetSheHeCap] uses fire to treat the afflicted areas, and immediately you feel relieved.;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner vos blessures et maladies, aussi le Prêtre Rouge se tient-il à vos côtés et en appelle au Maître de la Lumière pour dissiper les ténèbres autour de vous et vous soigner de vos maux. [From.job_spiritual.GetSheHeCap] utilise le feu pour traiter les zones touchées, et vous vous sentez immédiatement soulagé;;;;;;;;;;;;x
EVTDESCred_priest.32B;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s Red Priest try and heal your ailment, and so [From.job_spiritual.GetTitledFirstName] stands beside you and calls upon the Lord of Light to lift the darkness from you and heal you of your sickness. [From.job_spiritual.GetSheHeCap] uses fire to treat the afflicted areas, and immediately you feel relieved.;Vous laissez le Prêtre Rouge de [From.GetTitledFirstNameNoRegnal] tenter de soigner vos blessures et maladies, aussi [From.job_spiritual.GetTitledFirstName] se tient-il à vos côtés et en appelle au Maître de la Lumière pour dissiper les ténèbres autour de vous et vous soigner de vos maux. [From.job_spiritual.GetSheHeCap] utilise le feu pour traiter les zones touchées, et vous vous sentez immédiatement soulagé;;;;;;;;;;;;x
EVTDESCred_priest.32C;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your ailment, and so the warlock has you bathe in hot blood before starting to mutter unintelligible incantations. [From.job_spiritual.GetSheHeCap] then slits the throat of a lamb, spilling its blood over your wound. Immediately you feel relieved.;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner vos blessures et maladies, aussi le Conjurateur vous baigne dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [From.job_spiritual.GetSheHeCap] égorge alors un agneau, répandant son sang sur la blessure. Immédiatement, vous vous sentez soulagé(e). ;;;;;;;;;;;;x
EVTDESCred_priest.32D;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s warlock try and heal your ailment, and so [From.job_spiritual.GetTitledFirstName] has you bathe in hot blood before starting to mutter unintelligible incantations. [From.job_spiritual.GetSheHeCap] then slits the throat of a lamb, spilling its blood over your wound. Immediately you feel relieved.;Vous laissez le Conjurateur [From.GetTitledFirstNameNoRegnal] tenter de soigner votre mal et [From.job_spiritual.GetTitledFirstName] vous fait vous baigner dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [From.job_spiritual.GetSheHeCap] égorge alors un agneau, répandant le sang sur votre blessure. Immédiatement, vous vous sentez soulagé(e).;;;;;;;;;;;;x
EVTDESCred_priest.32E;[From.GetTitledFirstNameNoRegnal] has arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your ailment, and so the [From.Religion.GetPriestTitle] has you bathe in hot blood before starting to mutter unintelligible incantations. [From.job_spiritual.GetSheHeCap] then slits the throat of a lamb, spilling its blood over your wound. Immediately you feel relieved.;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner vos blessures et maladies, aussi le Conjurateur vous baigne dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [From.job_spiritual.GetSheHeCap] égorge alors un agneau, répandant son sang sur la blessure. Immédiatement, vous vous sentez soulagé(e). ;;;;;;;;;;;;x
EVTDESCred_priest.32F;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s [From.Religion.GetPriestTitle] try and heal your ailment with blood magic, and so [From.job_spiritual.GetTitledFirstName] has you bathe in hot blood before starting to mutter unintelligible incantations. [From.job_spiritual.GetSheHeCap] then slits the throat of a lamb, spilling its blood over your wound. Immediately you feel relieved.;Vous laissez le Conjurateur [From.GetTitledFirstNameNoRegnal] tenter de soigner votre mal et [From.job_spiritual.GetTitledFirstName] vous fait vous baigner dans du sang chaud avant de commencer à murmurer des incantations inintelligibles. [From.job_spiritual.GetSheHeCap] égorge alors un agneau, répandant le sang sur votre blessure. Immédiatement, vous vous sentez soulagé(e).;;;;;;;;;;;;x
EVTDESCred_priest.33;[From.GetTitledFirstNameNoRegnal] arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your ailment, and so the Red Priest tried to call upon R'hllor to heal you of your ailment, chanting his name and bathing the aflicted area in fire. Nothing happened however, except a mild burning.;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner vos blessures et maladies, aussi le Prêtre Rouge a-t-il tenté d'invoquer R'hllor pour vous soigner de vos maux, psalmodiant son nom et appliquant du feu sur les zones touchées, mais rien ne s'est passé, sauf de légères brûlures.;;;;;;;;;;;;x
EVTDESCred_priest.33B;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s Red Priest try and heal your ailment, and so [From.job_spiritual.GetTitledFirstName] tried to call upon R'hllor to heal you of your ailment, chanting his name and bathing the aflicted area in fire. Nothing happened however, except a mild burning.;Vous laissez le Prêtre Rouge de [From.GetTitledFirstNameNoRegnal] tenter de soigner vos blessures et maladies. Aussi [From.job_spiritual.GetTitledFirstName] a-t-il tenté d'invoquer R'hllor pour vous soigner de vos maux, psalmodiant son nom et appliquant du feu sur les zones touchées, mais rien ne s'est passé, sauf de légères brûlures.;;;;;;;;;;;;x
EVTDESCred_priest.33C;[From.GetTitledFirstNameNoRegnal] arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your ailment, and so the warlock tried to call upon all [red_priest.GetHerHis] power to heal you of your ailment, spilling the blood of a slaughtered lamb on your wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the shade-of-the-evening the warlock made you drink.;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner vos blessures et maladies, aussi le Conjurateur a tenter de faire appel à ses pouvoirs pour vous guérir, répandant le sang d’un agneau sacrifié sur vos blessures tout en récitant de vagues incantations. Rien ne se passe cependant, hormis de diffuses visions provoquées par l’ombre-du-soir que le Conjurateur vous a fait boire. ;;;;;;;;;;;;x
EVTDESCred_priest.33D;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s [From.Religion.GetPriestTitle] try and heal your ailment, and so the warlock tried to call upon all [red_priest.GetHerHis] power to heal you of your ailment, spilling the blood of a slaughtered lamb on your wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the shade-of-the-evening the warlock made you drink.;Vous laissez le Prêtre Rouge de [From.GetTitledFirstNameNoRegnal] tenter de soigner vos blessures et maladies. aussi le Conjurateur a tenter de faire appel à ses pouvoirs pour vous guérir, répandant le sang d’un agneau sacrifié sur vos blessures tout en récitant de vagues incantations. Rien ne se passe cependant, hormis de diffuses visions provoquées par l’ombre-du-soir que le Conjurateur vous a fait boire. ;;;;;;;;;;;;x
EVTDESCred_priest.33E;[From.GetTitledFirstNameNoRegnal] arranged for [From.job_spiritual.GetTitledFirstName] to try and heal your ailment with blood magic, and so the [From.Religion.GetPriestTitle] tried to call upon all [red_priest.GetHerHis] power to heal you of your ailment, spilling the blood of a slaughtered lamb on your wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the potion the [From.Religion.GetPriestTitle] made you drink.;[From.GetTitledFirstNameNoRegnal] s'est arrangé pour que [From.job_spiritual.GetTitledFirstName] tente de soigner vos blessures et maladies, aussi le Conjurateur a tenter de faire appel à ses pouvoirs pour vous guérir, répandant le sang d’un agneau sacrifié sur vos blessures tout en récitant de vagues incantations. Rien ne se passe cependant, hormis de diffuses visions provoquées par l’ombre-du-soir que le Conjurateur vous a fait boire. ;;;;;;;;;;;;x
EVTDESCred_priest.33F;You have agreed to let [From.GetTitledFirstNameNoRegnal]'s [From.Religion.GetPriestTitle] try and heal your ailment, and so the [From.Religion.GetPriestTitle] tried to call upon all [red_priest.GetHerHis] power to heal you of your ailment, spilling the blood of a slaughtered lamb on your wound whilst reciting vague incantations. Nothing happened however, except mind wretching visions from the potion the [From.Religion.GetPriestTitle] made you drink.;Vous laissez le Prêtre Rouge de [From.GetTitledFirstNameNoRegnal] tenter de soigner vos blessures et maladies. aussi le Conjurateur a tenter de faire appel à ses pouvoirs pour vous guérir, répandant le sang d’un agneau sacrifié sur vos blessures tout en récitant de vagues incantations. Rien ne se passe cependant, hormis de diffuses visions provoquées par l’ombre-du-soir que le Conjurateur vous a fait boire. ;;;;;;;;;;;;x
EVTOPTAred_priest.33;This was a stupid idea;C'était une idée stupide;;;;;;;;;;;;x
EVTDESCred_priest.34;The disfigurement [From.GetTitledFirstNameNoRegnal] suffers is great, but [red_priest.GetTitledFirstName] is confident the Lord of Light can cure it on behalf of his chosen one. The Red Priest erects a large pyre, and bids [From.GetTitledFirstNameNoRegnal] enter it. As [From.GetSheHe] does so the heat does not harm [From.GetHerHim], and instead frees [From.GetHerHim] of [From.GetHerHis] affliction!;La défiguration dont [From.GetTitledFirstNameNoRegnal] souffre est grande, mais [red_priest.GetTitledFirstName] a confiance dans le Maître de la Lumière pour soigner son élu. Le Prêtre Rouge érige un grand bûcher, et invite [From.GetTitledFirstNameNoRegnal] à y entrer. Alors qu'[From.GetSheHe] obéit, la chaleur ne l'affecte pas, mais [From.GetHerHim] libère de son affliction!;;;;;;;;;;;;x
EVTDESCred_priest.34B;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the Red Priest erected a large pyre, and bid [From.GetTitledFirstNameNoRegnal] enter it. As [From.GetSheHe] did so the heat did not harm [From.GetHerHim], and instead freed [From.GetHerHim] of [From.GetHerHis] affliction!;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] guérir. Le Prêtre Rouge a érigé un grand bûcher, et invité [From.GetTitledFirstNameNoRegnal] à y entrer. Alors qu'[From.GetSheHe] obéissait, la chaleur ne l'affectait pas, mais l'a libéré de son affliction!;;;;;;;;;;;;x
EVTDESCred_priest.34C;The disfigurement [From.GetTitledFirstNameNoRegnal] suffers is great, but [red_priest.GetTitledFirstName] is confident [From.GetSheHe] can be cured using the most powerful magic [red_priest.GetSheHe] possesses. The Warlock has [From.GetHerHim] drink copious amounts of shade-of-the-evening to induce deep visions, whilst slaughtering a whole aurochs to start the spell. When [From.GetTitledFirstNameNoRegnal] wakes up from [From.GetHerHis] trance you find [From.GetSheHe] has been healed!;La défiguration dont [From.GetTitledFirstNameNoRegnal] souffre est grande, mais [red_priest.GetTitledFirstName] a confiance dans le Maître de la Lumière pour soigner son élu. Le Prêtre Rouge érige un grand bûcher, et invite [From.GetTitledFirstNameNoRegnal] à y entrer. Alors qu'[From.GetSheHe] obéit, la chaleur ne l'affecte pas, mais [From.GetHerHim] libère de son affliction!;;;;;;;;;;;;x
EVTDESCred_priest.34D;[From.GetTitledFirstNameNoRegnal] agreed to let [red_priest.GetTitledFirstName] try and heal [From.GetHerHim], and so the warlock has [From.GetHerHim] drink copious amounts of shade-of-the-evening to induce deep visions, whilst slaughtering a whole aurochs to start a powerful spell. When [From.GetTitledFirstNameNoRegnal] wakes up from [From.GetHerHis] trance you find [From.GetSheHe] has been healed!;[From.GetTitledFirstNameNoRegnal] a laissé [red_priest.GetTitledFirstName] tenter de [From.GetHerHim] guérir. Le Prêtre Rouge a érigé un grand bûcher, et invité [From.GetTitledFirstNameNoRegnal] à y entrer. Alors qu'[From.GetSheHe] obéissait, la chaleur ne l'affectait pas, mais l'a libéré de son affliction!;;;;;;;;;;;;x
